Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Unlocked Tear,Unlocked Circle,Unlocked Square,Unlocked Triangle,Locked Tear,Locked Circle,Locked Square,Locked Triangle,Source,Owned,Gear Set
House of Scales Talisman,60,115,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Wooden Key,False,None
Scales of Justice Charm,60,95,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Drop,False,None
Astute Archival Ampul (Level 170+),170,584,0,10,0,0,0,72,0,0,0,0,98,0,0,0,0,0,0,0,0,1,1,Gold Key/Gauntlet,False,None
Astute Archival Ampul (Level 160+),160,555,0,10,0,0,0,60,0,0,0,0,90,0,0,0,0,0,0,0,0,1,1,Crowns,False,None
Balanced Night Mire Amulet (Level 160+),160,555,0,10,0,0,0,60,0,0,0,0,180,0,0,0,0,0,0,0,0,2,0,Gold Key/Gauntlet,False,None
Unreal Ampul of Impossibility,170,511,0,9,0,0,0,63,244,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Raid,False,None
Hunhau's Vacuum Amulet (Level 170+),170,511,0,9,0,0,0,63,0,0,0,0,122,0,0,0,0,0,0,0,1,0,1,Raid,False,None
Xibalba Vacuum Amulet (Level 170+),170,511,0,9,0,0,0,63,0,0,0,0,98,0,0,0,0,0,0,0,1,0,1,Raid,False,None
Balanced Night Mire Amulet (Level 150+),150,508,0,9,0,0,0,56,0,0,0,0,167,0,0,0,0,0,0,0,0,2,0,Crowns,False,None
Ghoulish Cerberus Master Ampul (Level 150+),150,508,0,9,0,0,0,56,0,0,0,0,167,0,0,0,0,0,0,0,0,2,0,Crowns,False,None
Hunhau's Vacuum Amulet (Level 160+),160,486,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Raid,False,None
The Void's Balanced Totem (Level 160+),160,486,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Raid,False,None
The Void's Stable Totem,160,486,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Raid,False,None
