Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Sword Pins,Shield Pins,Power Pins,Source,Owned,Gear Set
Cute Fairy Kei Slippers (Level 170+),170,990,40,15,3,0,136,150,7,0,0,0,0,16,0,2,0,1,Crowns,False,False
Xibalba Vacuum Boots (Level 170+),170,990,40,15,3,0,136,150,7,0,0,0,0,16,0,2,0,1,Raid,False,False
Cute Fairy Kei Slippers (Level 160+),160,860,40,14,3,0,124,140,6,0,0,0,0,14,0,2,0,1,Crowns,False,False
Xibalba Vacuum Boots (Level 160+),160,860,40,14,3,0,124,140,6,0,0,0,0,14,0,2,0,1,Raid,False,False
Deft Dream Reaver Boots,170,1272,40,12,3,8,136,150,7,0,0,0,0,0,0,2,0,1,Drop/Vendor,False,False
Abstract Aeon Boots,160,1106,40,11,3,8,124,140,6,0,0,0,0,0,0,2,0,1,Drop/Vendor,False,False
Demiurge's Schemer Greaves,150,982,37,11,3,8,116,131,6,0,0,0,0,0,0,0,0,0,Crafting,False,False
Merciless Balance Boots,150,982,37,11,3,8,116,131,6,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,False
Burrower's Sorcery Boots (Level 160+),160,983,36,15,0,6,109,160,5,0,0,0,0,14,0,1,1,1,Gold Key/Gauntlet,False,False
Astute Page Treaders (Level 170+),170,1413,36,13,4,6,119,172,6,0,0,0,0,0,0,1,1,1,Gold Key/Gauntlet,False,False
Umbra Queen's Dusty Heels (Level 170+),170,848,36,13,4,10,119,0,6,0,0,0,0,16,0,2,0,1,Drop/Vendor,False,False
Wastelander's Dusty Boots (Level 170+),170,848,36,13,4,10,119,0,6,0,0,0,0,16,0,2,0,1,Crowns,False,False
Hunhau's Vacuum Boots (Level 170+),170,1272,36,12,0,7,119,150,6,0,0,0,0,18,0,2,0,1,Raid,False,False
Balanced Night Mire Boots (Level 160+),160,1228,36,12,4,6,109,160,5,0,0,0,0,0,0,1,1,1,Gold Key/Gauntlet,False,False
Astute Page Treaders (Level 160+),160,1228,36,12,4,6,109,160,5,0,0,0,0,0,0,1,1,1,Crowns,False,False
Malistaire's Harmonic Boots (Level 160+),160,737,36,12,4,10,109,0,5,0,0,0,0,14,0,2,0,1,Crafting,False,False
Stable Skyfarer's Boots (Level 160+),160,737,36,12,4,10,109,0,5,0,0,0,0,14,0,2,0,1,Crowns,False,False
Wastelander's Dusty Boots (Level 160+),160,737,36,12,4,10,109,0,5,0,0,0,0,14,0,2,0,1,Crowns,False,False
Hunhau's Vacuum Boots (Level 160+),160,1106,36,11,0,7,109,140,5,0,0,0,0,16,0,2,0,1,Raid,False,False
Abstract Masterpiece Boots,160,982,36,9,0,0,109,119,5,0,0,0,0,12,0,0,0,0,Drop/Vendor,False,False
Deft Dream Warper Boots,170,1131,36,0,3,7,119,129,6,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,False
Just Enforcer's Boots,165,1057,36,0,3,7,114,124,6,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,False
Elegant City Dweller Hoppers,160,983,36,0,3,7,109,120,5,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,False
Supreme Hex Shoes,148,869,36,0,3,0,124,0,0,0,0,0,0,15,0,0,0,0,Drop/Vendor,False,False
Burrower's Sorcery Boots (Level 150+),150,873,34,15,0,6,102,150,5,0,0,0,0,12,0,1,1,1,Crowns,False,False
Malevolent Balance Boots,150,1018,34,14,0,9,104,0,0,0,2,0,0,14,0,0,0,0,Drop/Vendor,False,False
Balanced Night Mire Boots (Level 150+),150,1091,34,12,4,6,102,150,5,0,0,0,0,0,0,1,1,1,Crowns,False,False
Stable Skyfarer's Boots (Level 150+),150,655,34,12,4,10,102,0,5,0,0,0,0,12,0,2,0,1,Crowns,False,False
Wastelander's Dusty Boots (Level 150+),150,655,34,12,4,10,102,0,5,0,0,0,0,12,0,2,0,1,Crowns,False,False
Supreme Teleological Shoes,148,994,34,11,0,0,111,0,0,0,0,0,0,14,0,0,0,0,Drop/Vendor,False,False
Grandfather Spider's Steady Boots (Level 150+),150,1528,34,0,4,10,102,0,0,0,0,0,0,12,0,0,0,0,Crowns,False,False
Hierarch's Hex Shoes,145,807,34,0,3,0,118,0,0,0,0,0,0,14,0,0,0,0,Drop/Vendor,False,False
Magician's Balance Boots,150,994,33,14,0,9,104,0,0,0,2,0,0,13,0,0,0,0,Drop/Vendor,False,False
Glistening Balance Boots,155,927,33,9,0,0,104,115,4,0,0,0,0,11,0,0,0,0,Drop/Vendor,False,False
Deft Dream Stalker Boots,170,1131,32,16,5,7,0,172,5,0,0,0,0,14,0,1,1,1,Crafting,False,False
Unreal Wraps of Impossibility,170,990,32,15,5,8,0,150,5,0,0,0,0,16,0,1,1,1,Raid,False,False
Eternal Abstract Boots,160,983,32,15,5,7,93,160,0,0,0,0,0,12,0,1,1,1,Crafting,False,False
Great Inventor's Balance Boots (Level 160+),160,983,32,15,5,7,93,160,0,0,0,0,0,12,0,1,1,1,Crowns,False,False
Supreme Stability Shoes,148,1118,32,14,0,8,0,0,0,0,0,0,0,14,0,0,0,0,Drop/Vendor,False,False
Balanced Boots of The Void (Level 160+),160,860,32,14,5,8,0,140,5,0,0,0,0,14,0,1,1,1,Raid,False,False
Floramancer Greaves of Cycles (Level 160+),160,860,32,14,5,8,0,140,5,0,0,0,0,14,0,1,1,1,Crowns,False,False
Ghoulish Cerberus Master Boots (Level 150+),150,1104,32,11,4,0,102,0,0,0,0,0,0,9,0,0,0,0,Crowns,False,False
Hierarch's Teleological Shoes,145,932,32,11,0,0,104,0,0,0,0,0,0,14,0,0,0,0,Drop/Vendor,False,False
Daemonic Wraps of Impossibility,170,1131,32,10,4,9,136,0,8,0,0,0,0,14,0,2,0,1,Raid,False,False
Balanced Boots of The Nullity (Level 160+),160,983,32,9,4,9,124,0,7,0,0,0,0,12,0,2,0,1,Raid,False,False
Scout Officer Footwear,150,883,32,8,0,0,102,112,4,0,0,0,0,11,0,0,0,0,Drop/Vendor,False,False
Balanced August Sage Shoes (Level 170+),170,1131,32,0,4,7,136,129,8,0,0,0,0,18,0,2,0,1,Gold Key/Gauntlet,False,False
Measured Chivalric Boots (Level 170+),170,1131,32,0,4,7,136,129,8,0,0,0,0,18,0,2,0,1,Gold Key/Gauntlet,False,False
Just Protector's Boots,165,925,32,0,0,6,98,104,5,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,False
Elegant Townie Hoppers,160,860,32,0,0,6,93,100,5,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,False
Lemurian Hex Shoes,142,745,32,0,2,0,118,0,0,0,0,0,0,14,0,0,0,0,Drop/Vendor,False,False
Delightful Dreamsearcher Boots,140,960,31,13,0,10,97,0,0,0,2,0,0,14,0,0,0,0,Crafting,False,False
Uber Dreamsearcher Boots,140,960,31,13,0,10,97,0,0,0,2,0,0,14,0,0,0,0,Drop/Vendor,False,False
Wunderbar Dreamsearcher Boots,140,926,31,13,0,9,97,0,0,0,2,0,0,13,0,0,0,0,Drop/Vendor,False,False
Balanced Night Mire Boots (Level 140+),140,952,31,12,4,6,96,144,0,0,0,0,0,0,0,0,0,0,Crowns,False,False
Wastelander's Dusty Boots (Level 140+),140,572,31,12,4,9,96,0,5,0,0,0,0,12,0,0,0,0,Crowns,False,False
Stable Skyfarer's Boots (Level 140+),140,572,31,12,4,9,96,0,0,0,0,8,0,12,0,0,0,0,Crowns,False,False
