Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Starting Pips,Unlocked Tear,Unlocked Circle,Unlocked Square,Unlocked Triangle,Locked Tear,Locked Circle,Locked Square,Locked Triangle,Source,Owned,Gear Set
LimeBlight's Gallery,93,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Drop,False,None
Astute Archival Array (Level 170+),170,220,0,0,0,0,77,78,0,0,0,0,0,0,55,1,0,0,0,0,0,0,1,0,"Housing Gauntlet, Crowns",False,None
Cute Fairy Kei Box (Level 170+),170,198,0,0,0,0,85,68,0,0,0,0,0,0,55,1,0,0,0,0,0,1,0,0,Crowns,False,None
Xibalba Vacuum Deck (Level 170+),170,198,0,0,0,0,85,68,0,0,0,0,0,0,55,1,0,0,0,0,0,1,0,0,Raid,False,None
Hunhau's Vacuum Deck (Level 170+),170,198,0,0,0,0,77,68,0,0,0,0,0,0,62,1,0,0,0,0,0,1,0,0,Raid,False,None
Unreal Deck of Impossibility,170,198,0,0,0,0,0,68,0,0,0,0,133,0,68,1,0,0,0,0,0,0,0,1,Raid,False,None
Daemonic Deck of Impossibility,170,176,0,0,0,0,85,0,0,0,0,0,120,0,62,1,0,0,0,0,0,1,0,0,Raid,False,None
Deft Dream Stalker Deck,170,176,0,0,0,0,0,97,0,0,0,0,120,0,62,1,0,0,0,0,0,0,1,0,Crafting,False,None
Astute Archival Array (Level 160+),160,158,0,0,0,0,61,66,0,0,0,0,0,0,52,1,0,0,0,0,0,0,1,0,Crowns,False,None
Balanced Night Mire Deck (Level 160+),160,158,0,0,0,0,61,66,0,0,0,0,0,0,52,1,0,0,0,0,0,0,1,0,"Housing Gauntlet, Crowns",False,None
Even Night Mire Deck,160,158,0,0,0,0,61,66,0,0,0,0,0,0,52,1,0,0,0,0,0,0,1,0,Housing Gauntlet,False,None
Unified Night Mire Deck,160,158,0,0,0,0,61,66,0,0,0,0,0,0,52,1,0,0,0,0,0,0,1,0,Housing Gauntlet,False,None
Deft Dream Reaver Deck,170,154,0,0,0,0,85,88,0,0,0,0,0,0,55,1,0,0,0,0,0,1,0,0,"Drop, Crafting, Crowns",False,None
Cute Fairy Kei Box (Level 160+),160,143,0,0,0,0,67,58,0,0,0,0,0,0,52,1,0,0,0,0,0,1,0,0,Crowns,False,None
Xibalba Vacuum Deck (Level 160+),160,143,0,0,0,0,67,58,0,0,0,0,0,0,52,1,0,0,0,0,1,0,0,0,Raid,False,None
Hunhau's Vacuum Deck (Level 160+),160,143,0,0,0,0,61,58,0,0,0,0,0,0,58,1,0,0,0,0,0,0,0,1,Raid,False,None
Floramancer Deck of Cycles (Level 160+),160,143,0,0,0,0,0,58,0,0,0,0,123,0,64,1,0,0,0,0,0,0,0,1,Crowns,False,None
The Void's Harmonic Cards,160,143,0,0,0,0,0,58,0,0,0,0,123,0,64,1,0,0,0,0,0,0,0,1,Raid,False,None
The Void's Balanced Cards (Level 160+),160,143,0,0,0,0,0,58,0,0,0,0,123,0,64,1,0,0,0,0,0,0,0,1,Raid,False,None
The Void's Stable Cards,160,143,0,0,0,0,0,58,0,0,0,0,123,0,64,1,0,0,0,0,0,0,0,1,Raid,False,None
Deft Dream Warper Deck,170,132,0,0,0,0,77,78,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Drop,False,None
Balanced Night Mire Deck (Level 150+),150,130,0,0,0,0,54,60,0,0,0,0,0,0,48,1,0,0,0,0,0,0,1,0,Crowns,False,None
Nullity's Harmonic Cards,160,127,0,0,0,0,67,0,0,0,0,0,111,0,58,1,0,0,0,0,1,0,0,0,Raid,False,None
Nullity's Balanced Cards (Level 160+),160,127,0,0,0,0,67,0,0,0,0,0,111,0,58,1,0,0,0,0,1,0,0,0,Raid,False,None
Nullity's Stable Cards,160,127,0,0,0,0,67,0,0,0,0,0,111,0,58,1,0,0,0,0,1,0,0,0,Raid,False,None
Burrower's Sorcery Deck (Level 160+),160,127,0,0,0,0,61,82,0,0,0,0,0,0,52,1,0,0,0,0,0,0,1,0,"Gold Key, Crowns",False,None
Eternal Abstract Deck,160,127,0,0,0,0,0,82,0,0,0,0,111,0,58,1,0,0,0,0,0,0,1,0,Crafting,False,None
Eternal Esoteric Deck,160,127,0,0,0,0,0,82,0,0,0,0,111,0,58,1,0,0,0,0,0,0,1,0,Crafting,False,None
Eternal Abstruse Deck,160,127,0,0,0,0,0,82,0,0,0,0,111,0,58,1,0,0,0,0,0,0,1,0,Crafting,False,None
Great Inventor's Balance Deck (Level 160+),160,127,0,0,0,0,0,82,0,0,0,0,111,0,58,1,0,0,0,0,0,0,1,0,Crowns,False,None
Supreme Ancient One Deck,148,125,0,0,0,0,0,52,0,0,0,0,69,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Supreme Stability Deck,148,124,0,0,0,0,0,55,0,0,0,0,94,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Supreme Old Judge Deck,148,119,0,0,0,0,41,0,0,0,0,0,73,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Supreme Founder's Deck,148,119,0,0,0,0,37,46,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Hierarch's Ancient One Deck,145,119,0,0,0,0,0,49,0,0,0,0,63,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Supreme Hex Deck,148,118,0,0,0,0,55,0,0,0,0,0,100,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Supreme Teleological Deck,148,118,0,0,0,0,50,50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Hierarch's Stability Deck,145,118,0,0,0,0,0,53,0,0,0,0,85,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
The Void's Balanced Cards (Level 150+),150,117,0,0,0,0,0,53,0,0,0,0,114,0,60,1,0,0,0,0,0,0,0,1,Drop,False,None
Just Enforcer's Deck,165,114,0,0,0,0,69,72,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Drop,False,None
Producer's Hazmat Box,138,114,0,0,0,0,0,47,0,0,0,0,64,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Hierarch's Old Judge Deck,145,113,0,0,0,0,40,0,0,0,0,0,67,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Hierarch's Founder's Deck,145,113,0,0,0,0,35,44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Producer's Protective Box,138,113,0,0,0,0,0,49,0,0,0,0,87,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Lemurian Ancient One Deck,142,113,0,0,0,0,0,46,0,0,0,0,57,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Hierarch's Hex Deck,145,112,0,0,0,0,53,0,0,0,0,0,92,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Hierarch's Teleological Deck,145,112,0,0,0,0,47,47,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar, Crowns",False,None
Lemurian Stability Deck,142,112,0,0,0,0,0,50,0,0,0,0,78,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Abstruse Aeon Deck,160,111,0,0,0,0,67,74,0,0,0,0,0,0,52,1,0,0,0,0,1,0,0,0,Crafting,False,None
Abstract Aeon Deck,160,111,0,0,0,0,67,74,0,0,0,0,0,0,52,1,0,0,0,0,1,0,0,0,"Drop, Crafting, Crowns",False,None
Esoteric Aeon Deck,160,111,0,0,0,0,67,74,0,0,0,0,0,0,52,1,0,0,0,0,1,0,0,0,Crafting,False,None
Executive Hazmat Box,138,108,0,0,0,0,38,0,0,0,0,0,68,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
