Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Unlocked Tear,Unlocked Circle,Unlocked Square,Unlocked Triangle,Locked Tear,Locked Circle,Locked Square,Locked Triangle,Source,Owned,Gear Set
Deft Dream Reaver Ring,170,561,18,0,0,19,104,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Drop, Crafting, Crowns",False,None
Daemonic Ring of Impossibility,170,0,18,0,0,21,104,0,0,0,0,12,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
Abstruse Aeon Ring,160,518,17,0,0,19,89,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crafting,False,None
Abstract Aeon Ring,160,518,17,0,0,19,89,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Drop, Crafting, Crowns",False,None
Esoteric Aeon Ring,160,518,17,0,0,19,89,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crafting,False,None
Nullity's Balanced Ring (Level 160+),160,460,17,0,0,21,89,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
Burrower's Sorcery Ring (Level 160+),160,575,16,0,0,19,78,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Gold Key, Crowns",False,None
Hunhau's Vacuum Ring (Level 170+),170,561,16,0,0,21,91,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
Hunhau's Vacuum Ring (Level 160+),160,518,16,0,0,21,78,0,0,0,0,9,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
Deft Dream Warper Ring,170,499,16,0,0,17,91,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop,False,None
Umbra Queen's Dusty Loop (Level 170+),170,499,16,0,0,23,91,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Rematch,False,None
Wastelander's Dusty Loop (Level 170+),170,499,16,0,0,23,91,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Crowns,False,None
Just Enforcer's Ring,165,480,16,0,0,17,84,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop,False,None
Abstract Masterpiece Ring,160,460,16,0,0,16,78,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop,False,None
Elegant City Dweller Ring,160,460,16,0,0,17,78,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop,False,None
Malistaire's Harmonic Band (Level 160+),160,460,16,0,0,23,78,0,0,0,0,10,0,0,0,0,0,0,0,1,1,1,0,Rematch,False,None
Wastelander's Dusty Loop (Level 160+),160,460,16,0,0,23,78,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Crowns,False,None
Stable Skyfarer's Band (Level 160+),160,460,16,0,0,23,78,0,0,0,0,10,0,0,0,0,0,0,0,1,1,1,0,Crowns,False,None
Executive Protective Ring,138,184,16,0,0,0,81,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Drop, Bazaar",False,None
Demiurge's Schemer Ring,150,507,15,0,0,18,83,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crafting,False,None
Merciless Balance Ring,150,507,15,0,0,18,83,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Drop, Crowns",False,None
Nullity's Balanced Ring (Level 150+),150,451,15,0,0,20,83,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop,False,None
Glistening Balance Ring,155,428,15,0,0,16,74,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop,False,None
Director Protective Ring,138,184,15,0,0,0,86,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"Drop, Bazaar",False,None
Chief's Protective Ring,135,173,15,0,0,0,74,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Drop, Bazaar",False,None
Cute Fairy Kei Ring (Level 170+),170,561,14,0,0,19,130,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crowns,False,None
Xibalba Vacuum Ring (Level 170+),170,561,14,0,0,19,130,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
Xibalba Vacuum Ring (Level 160+),160,518,14,0,0,19,111,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
Balanced August Sage Band (Level 170+),170,499,14,0,0,21,130,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Gold Key, Crowns",False,None
Measured Chivalric Ring (Level 170+),170,499,14,0,0,21,130,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Gold Key, Crowns",False,None
Stable Skyfarer's Band (Level 150+),150,451,14,0,0,22,73,0,0,0,0,10,0,0,0,0,0,0,0,1,1,1,0,Crowns,False,None
Wastelander's Dusty Loop (Level 150+),150,451,14,0,0,22,73,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Crowns,False,None
Just Protector's Ring,165,420,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"Drop, Bazaar",False,None
Scout Officer Band,150,407,14,0,0,16,72,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop,False,None
Elegant Townie Ring,160,403,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"Drop, Bazaar",False,None
Golden Balance Ring,155,374,14,0,0,14,63,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"Drop, Bazaar",False,None
Lead's Protective Ring,135,173,14,0,0,0,78,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"Drop, Bazaar",False,None
Specialist Protective Ring,132,163,14,0,0,0,71,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Drop, Bazaar",False,None
Consultant Protective Ring,132,163,14,0,0,0,68,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Drop, Bazaar",False,None
Balanced Liaison's Ring,130,163,14,0,0,0,64,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Quest,False,None
Burrower's Sorcery Ring (Level 140+),140,553,13,0,0,17,70,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crowns,False,None
Wastelander's Dusty Loop (Level 140+),140,443,13,0,0,21,70,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Crowns,False,None
Stable Skyfarer's Band (Level 140+),140,443,13,0,0,21,70,0,0,0,0,9,0,0,0,0,0,0,0,1,1,1,0,Crowns,False,None
Wastelander's Dusty Loop (Level 130+),130,435,13,0,0,21,63,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Crowns,False,None
Regulation Scout Band,150,356,13,0,0,14,62,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"Drop, Bazaar",False,None
Astute Archival Band (Level 170+),170,623,12,0,0,0,117,0,0,0,0,12,0,0,0,0,0,0,0,2,0,1,0,"Housing Gauntlet, Crowns",False,None
Balanced Night Mire Ring (Level 160+),160,575,12,0,0,19,100,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Housing Gauntlet, Crowns",False,None
Even Night Mire Ring,160,575,12,0,0,19,100,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Housing Gauntlet,False,None
Unified Night Mire Ring,160,575,12,0,0,19,100,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Housing Gauntlet,False,None
Signet of Carpathes,100,480,12,0,0,17,0,0,0,0,20,0,0,0,0,1,0,0,0,0,1,1,0,Stone Key,False,None
Balanced August Sage Band (Level 140+),140,443,12,0,0,19,100,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crowns,False,None
Stable Skyfarer's Band (Level 130+),130,435,12,0,0,21,63,0,0,0,0,9,0,0,0,0,0,0,0,1,1,1,0,Crowns,False,None
Malevolent Balance Ring,150,301,12,0,0,0,102,0,0,0,0,13,0,0,0,0,0,1,0,0,1,0,0,Drop,False,None
Supreme Hex Ring,148,279,12,0,0,0,88,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Drop, Bazaar",False,None
Director Hazmat Ring,138,179,12,0,0,0,64,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"Drop, Bazaar",False,None
Executive Hazmat Ring,138,179,12,0,0,0,60,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Drop, Bazaar",False,None
Chief's Hazmat Ring,135,169,12,0,0,0,57,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Drop, Bazaar",False,None
Eternal Abstruse Ring,160,575,11,0,0,21,89,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crafting,False,None
Eternal Abstract Ring,160,575,11,0,0,21,89,0,0,0,0,9,0,0,0,0,0,0,0,1,1,1,0,Crafting,False,None
Eternal Esoteric Ring,160,575,11,0,0,21,89,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crafting,False,None
Great Inventor's Balance Ring (Level 160+),160,575,11,0,0,21,89,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,Crowns,False,None
Ghoulish Cerberus Master Ring (Level 150+),150,563,11,0,0,18,93,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crowns,False,None
Burrower's Sorcery Ring (Level 120+),120,533,11,0,0,17,56,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crowns,False,None
Floramancer Ring of Cycles (Level 160+),160,518,11,0,0,23,89,0,0,0,0,10,0,0,0,0,0,0,0,1,1,1,0,Crowns,False,None
Nullity's Harmonic Ring,160,518,11,0,0,23,89,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
Nullity's Stable Ring,160,518,11,0,0,23,89,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
The Void's Stable Ring,160,518,11,0,0,23,89,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
The Void's Balanced Ring (Level 160+),160,518,11,0,0,23,89,0,0,0,0,10,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
The Void's Harmonic Ring,160,518,11,0,0,23,89,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
Stable Skyfarer's Band (Level 120+),120,427,11,0,0,21,56,0,0,0,0,9,0,0,0,0,0,0,0,1,1,1,0,Crowns,False,None
Wastelander's Dusty Loop (Level 120+),120,427,11,0,0,21,56,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Crowns,False,None
Shadow of the Land's Ring,96,355,11,0,0,14,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,Drop,False,None
Magician's Balance Ring,150,295,11,0,0,0,99,0,0,0,13,0,0,0,0,0,0,1,0,0,1,0,0,Drop,False,None
Delightful Dreamsearcher Ring,140,282,11,0,0,0,105,0,0,0,0,11,0,0,0,1,0,1,0,0,1,0,0,Crafting,False,None
Uber Dreamsearcher Ring,140,282,11,0,0,0,105,0,0,0,0,11,0,0,0,1,0,1,0,0,1,0,0,Drop,False,None
Supreme Teleological Ring,148,279,11,0,0,0,94,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"Drop, Bazaar",False,None
Hierarch's Teleological Ring,145,264,11,0,0,0,88,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"Drop, Bazaar",False,None
Hierarch's Hex Ring,145,264,11,0,0,0,83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Drop, Bazaar",False,None
Lemurian Hex Ring,142,248,11,0,0,0,77,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Drop, Bazaar",False,None
Lead's Hazmat Ring,135,169,11,0,0,0,58,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"Drop, Bazaar",False,None
Specialist Hazmat Ring,132,159,11,0,0,0,53,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Drop, Bazaar",False,None
Consultant Hazmat Ring,132,159,11,0,0,0,51,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Drop, Bazaar",False,None
Deft Dream Stalker Ring,170,0,11,0,0,21,104,0,0,0,0,14,0,0,0,0,0,0,0,2,0,1,0,Crafting,False,None
Unreal Ring of Impossibility,170,0,11,0,0,23,104,0,0,0,0,13,0,0,0,0,0,0,0,1,0,1,1,Raid,False,None
