Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Sword Pins,Shield Pins,Power Pins,Source,Owned,Gear Set
Daemonic Armor of Impossibility,170,1145,31,16,9,9,120,0,6,0,0,0,0,19,0,2,0,1,Raid,False,None
Balanced Robe of The Nullity (Level 160+),160,1138,30,15,9,9,106,0,6,0,0,0,0,18,0,2,0,1,Raid,False,None
Balanced Robe of The Nullity (Level 150+),150,1013,29,15,8,9,98,0,4,0,0,0,0,0,0,0,0,0,Raid,False,None
Astute Plot Armor (Level 170+),170,1526,28,19,6,10,105,137,5,0,0,0,0,0,0,2,0,1,Gold Key/Gauntlet,False,None
Hunhau's Vacuum Mail (Level 170+),170,1335,28,18,0,11,105,120,5,0,0,0,0,19,0,1,0,2,Raid,False,None
Umbra Queen's Dusty Garment (Level 170+),170,1526,28,12,9,10,105,0,5,0,0,0,0,22,0,1,0,2,Rematch,False,None
Wastelander's Dusty Armor (Level 170+),170,1526,28,12,9,10,105,0,5,0,0,0,0,22,0,1,0,2,Crowns,False,None
Astute Plot Armor (Level 160+),160,1517,27,18,6,10,93,125,5,0,0,0,0,0,0,2,0,1,Crowns,False,None
Balanced Night Mire Coat (Level 160+),160,1517,27,18,6,10,93,125,5,0,0,0,0,0,0,2,0,1,Gold Key/Gauntlet,False,None
Balanced Night Mire Coat (Level 150+),150,1350,27,18,5,10,86,117,4,0,0,0,0,0,0,2,0,1,Crowns,False,None
Astute Plot Armor (Level 150+),150,1350,27,18,5,10,86,117,4,0,0,0,0,0,0,2,0,1,Crowns,False,None
Ghoulish Cerberus Master Armor (Level 150+),150,1350,27,18,5,10,86,117,0,0,0,0,0,0,0,0,0,0,Crowns,False,None
Hunhau's Vacuum Mail (Level 160+),160,1707,27,13,7,0,93,110,5,0,0,0,0,23,0,1,0,2,Raid,False,None
Malistaire's Harmonic Vestment (Level 160+),160,1517,27,11,9,10,93,0,5,0,0,0,0,20,0,1,0,2,Rematch,False,None
Stable Skyfarer's Garb (Level 160+),160,1517,27,11,9,10,93,0,5,0,0,0,0,20,0,1,0,2,Crowns,False,None
Stable Skyfarer's Garb (Level 150+),150,1350,27,11,8,10,86,0,4,0,0,0,0,19,0,1,0,2,Crowns,False,None
Grandfather Spider's Steady Raiment (Level 150+),150,1350,27,11,8,10,86,0,0,0,0,0,0,19,0,0,0,0,Crowns,False,None
Astute Plot Armor (Level 140+),140,1180,26,17,5,10,84,114,4,0,0,0,0,0,0,2,0,1,Crowns,False,None
Wastelander's Dusty Armor (Level 140+),140,1180,26,11,8,10,84,0,4,0,0,0,0,17,0,0,0,0,Crowns,False,None
Grandfather Spider's Steady Raiment (Level 140+),140,1180,26,11,8,10,84,0,0,0,0,0,0,17,0,0,0,0,Crowns,False,None
Stable Skyfarer's Garb (Level 140+),140,1180,26,11,8,10,84,0,0,0,0,10,0,17,0,0,0,0,Crowns,False,None
Deft Dream Reaver Armor,170,1335,25,18,8,8,120,120,7,0,0,0,0,0,0,2,0,1,Drop,False,None
Deft Dream Stalker Armor,170,1907,25,16,7,11,0,137,5,0,0,0,0,19,0,1,0,2,Crafting,False,None
Astute Plot Armor (Level 130+),140,1010,25,16,5,9,76,108,4,0,0,0,0,0,0,2,0,1,Crowns,False,None
Balanced Night Mire Coat (Level 130+),130,1010,25,16,5,9,76,108,0,0,0,0,0,0,0,0,0,0,Crowns,False,None
Ghoulish Cerberus Master Armor (Level 130+),130,1010,25,16,5,9,76,108,0,0,0,0,0,0,0,0,0,0,Crowns,False,None
Cute Fairy Kei Dress (Level 170+),170,1717,25,14,8,0,120,120,7,0,0,0,0,17,0,2,0,1,Crowns,False,None
Xibalba Vacuum Mail (Level 170+),170,1717,25,14,8,0,120,120,7,0,0,0,0,17,0,2,0,1,Raid,False,None
Unreal Armor of Impossibility,170,1717,25,14,8,12,0,120,5,0,0,0,0,22,0,1,0,2,Raid,False,None
Wastelander's Dusty Armor (Level 130+),130,1010,25,10,8,9,76,0,4,0,0,0,0,16,0,0,0,0,Crowns,False,None
Grandfather Spider's Steady Raiment (Level 130+),130,1010,25,10,8,9,76,0,0,0,0,0,0,16,0,0,0,0,Crowns,False,None
Stable Skyfarer's Garb (Level 130+),130,1010,25,10,8,9,76,0,0,0,0,9,0,16,0,0,0,0,Crowns,False,None
Balanced August Sage Coat (Level 170+),170,1526,25,0,9,9,120,103,7,0,0,0,0,19,0,2,0,1,Gold Key/Gauntlet,False,None
Measured Chivalric Plate (Level 170+),170,1526,25,0,9,9,120,103,7,0,0,0,0,19,0,2,0,1,Gold Key/Gauntlet,False,None
Abstract Aeon Cape,160,1328,24,17,8,8,106,110,7,0,0,0,0,0,0,2,0,1,Drop,False,None
Demiurge's Schemer Armor,150,1181,24,17,7,8,98,103,5,0,0,0,0,0,0,0,0,0,Crafting,False,None
Merciless Balance Cloak,150,1181,24,17,7,8,98,103,5,0,0,0,0,0,0,0,0,0,Drop,False,None
Eternal Abstract Cape,160,1896,24,15,7,11,80,125,0,0,0,0,0,18,0,1,0,2,Crafting,False,None
Great Inventor's Balance Coat (Level 160+),160,1896,24,15,7,11,80,125,0,0,0,0,0,18,0,1,0,2,Crowns,False,None
Great Inventor's Balance Coat (Level 150+),150,1687,24,15,6,11,74,117,0,0,0,0,0,17,0,1,0,2,Crowns,False,None
Highlands Raider's Kit (Level 150+),150,1687,24,15,6,11,74,117,0,0,0,0,0,0,0,0,0,0,Gold Key/Gauntlet,False,None
Balanced Night Mire Coat (Level 120+),120,840,24,15,5,9,70,98,0,0,0,0,0,0,0,0,0,0,Crowns,False,None
Cute Fairy Kei Dress (Level 160+),160,1707,24,13,8,0,106,110,7,0,0,0,0,15,0,2,0,1,Crowns,False,None
Xibalba Vacuum Mail (Level 160+),160,1707,24,13,6,0,106,110,7,0,0,0,0,20,0,2,0,1,Raid,False,None
Balanced Robe of The Void (Level 160+),160,1707,24,13,8,12,0,110,5,0,0,0,0,20,0,1,0,2,Raid,False,None
Floramancer Armor of Cycles (Level 160+),160,1707,24,13,8,12,0,110,5,0,0,0,0,20,0,1,0,2,Crowns,False,None
Cute Fairy Kei Dress (Level 150+),150,1519,24,13,7,0,98,103,5,0,0,0,0,14,0,2,0,1,Crowns,False,None
Balanced Robe of The Void (Level 150+),150,1519,24,13,7,12,0,103,3,0,0,11,0,19,0,0,0,0,Raid,False,None
Floramancer Armor of Cycles (Level 150+),150,1519,24,13,7,12,0,103,3,0,0,0,0,19,0,1,0,2,Crowns,False,None
Wastelander's Dusty Armor (Level 120+),120,940,24,9,8,9,70,0,4,0,0,0,0,15,0,0,0,0,Crowns,False,None
Grandfather Spider's Steady Raiment (Level 120+),120,840,24,9,8,9,70,0,0,0,0,0,0,15,0,0,0,0,Crowns,False,None
Astute Plot Armor (Level 110+),110,669,23,13,5,9,70,93,4,0,0,0,0,0,0,2,0,1,Crowns,False,None
Balanced Night Mire Coat (Level 110+),110,669,23,13,5,9,70,93,0,0,0,0,0,0,0,0,0,0,Crowns,False,None
House of Scales Raiment,60,344,23,10,3,6,42,0,0,0,0,0,0,0,0,0,0,0,Drop,False,None
Wastelander's Dusty Armor (Level 110+),110,669,23,8,8,9,70,0,4,0,0,0,0,13,0,0,0,0,Crowns,False,None
Grandfather Spider's Steady Raiment (Level 110+),110,669,23,8,8,9,70,0,0,0,0,0,0,13,0,0,0,0,Crowns,False,None
Stable Skyfarer's Garb (Level 110+),110,669,23,8,8,9,70,0,0,0,0,9,0,13,0,0,0,0,Crowns,False,None
Balanced August Sage Coat (Level 140+),140,1180,23,0,8,9,96,86,5,0,0,0,0,15,0,2,0,1,Crowns,False,None
Principle Jerkin,58,432,23,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,Drop,False,None
Deft Dream Warper Armor,170,0,22,16,7,6,105,103,7,0,0,0,0,0,0,0,0,0,Drop,False,None
Just Enforcer's Uniform,165,0,22,15,7,6,99,99,7,0,0,0,0,0,0,0,0,0,Drop,False,None
Great Inventor's Balance Coat (Level 130+),130,1262,22,13,6,10,65,108,0,0,0,0,0,0,0,0,0,0,Crowns,False,None
Astute Plot Armor (Level 100+),100,499,22,13,0,9,68,85,0,0,0,0,0,0,0,0,0,0,Gold Key/Gauntlet,False,None
Balanced Night Mire Coat (Level 100+),100,499,22,13,6,0,68,85,0,0,0,0,0,0,0,0,0,0,Crowns,False,None
Ghoulish Cerberus Master Armor (Level 100+),100,499,22,13,6,0,68,85,0,0,0,0,0,0,0,0,0,0,Crowns,False,None
Lively Night Mire Coat (Level 100+),100,499,22,13,6,0,68,85,0,0,0,0,0,0,0,0,0,0,Crowns,False,None
Glider Armor of Stability,94,450,22,12,15,0,56,0,0,0,0,0,0,0,0,0,0,0,Crafting,False,None
Order of the Tygron Armor,100,669,22,8,4,0,0,25,3,0,0,0,0,0,0,0,0,0,Crowns,False,None
Transcendent Noble Toga,90,650,22,5,5,9,0,28,4,0,6,0,0,0,0,0,0,0,Crafting,False,None
Balanced August Sage Coat (Level 130+),130,1010,22,0,8,8,87,81,5,0,0,0,0,14,0,2,0,1,Crowns,False,None
Poseidon's Armor of Depths,90,625,22,0,0,11,65,0,3,0,0,0,0,0,0,0,0,0,Drop,False,None
Armor of Zeus' Law,90,585,22,0,4,10,84,0,4,0,0,20,0,0,0,0,0,0,Drop,False,None
Umbra Queen's Dusty Garment (Level 100+),100,499,22,0,7,9,68,0,4,0,0,0,0,0,0,0,0,0,Rematch,False,None
Malistaire's Harmonic Vestment (Level 100+),100,499,22,0,7,9,68,0,0,0,0,0,0,0,0,0,0,0,Rematch,False,None
Stable Skyfarer's Garb (Level 100+),100,499,22,0,7,9,68,0,0,0,0,0,0,0,0,0,0,0,Crowns,False,None
Burrower's Sorcery Robe (Level 160+),160,1896,21,15,0,8,93,125,7,0,0,0,0,20,0,2,0,1,Gold Key/Gauntlet,False,None
Elegant City Dweller Vest,160,0,21,15,7,6,93,94,7,0,0,0,0,0,0,0,0,0,Drop,False,None
Ghoulish Cerberus Master Armor (Level 120+),120,852,21,13,6,0,70,98,0,0,0,0,0,10,0,0,0,0,Crowns,False,None
Great Inventor's Balance Coat (Level 120+),120,1049,21,12,6,10,60,98,0,0,0,0,0,0,0,0,0,0,Crowns,False,None
Astute Plot Armor (Level 90+),90,456,21,12,0,8,59,80,0,0,0,0,0,0,0,0,0,0,Crowns,False,None
Cape of Judgment,60,363,21,12,0,8,30,13,0,0,3,0,0,0,0,0,0,0,Drop,False,None
Cute Fairy Kei Dress (Level 120+),120,945,21,11,7,0,80,86,5,0,0,0,0,11,0,2,0,1,Crowns,False,None
Floramancer Armor of Cycles (Level 120+),120,945,21,11,7,11,0,86,0,0,0,9,0,15,0,0,0,0,Crowns,False,None
