Level,Max Health,Power Pip Chance,Shadow Pip Rating,Archmastery Rating,Fire Pip Conversion Rating,Enchant Damage
1,415,0,0,0,0,0
2,437,0,0,0,0,0
3,459,0,0,0,0,0
4,481,0,0,0,0,0
5,503,0,0,0,0,0
6,525,0,0,0,0,0
7,547,0,0,0,0,0
8,569,0,0,0,0,0
9,591,0,0,0,0,0
10,613,10,0,0,0,0
11,635,11,0,0,0,0
12,657,12,0,0,0,0
13,679,12,0,0,0,0
14,706,13,0,0,0,0
15,723,14,0,0,0,0
16,745,15,0,0,0,0
17,767,15,0,0,0,0
18,791,16,0,0,0,0
19,814,17,0,0,0,0
20,833,18,0,0,0,0
21,858,18,0,0,0,0
22,877,19,0,0,0,0
23,902,20,0,0,0,0
24,924,21,0,0,0,0
25,946,21,0,0,0,0
26,969,22,0,0,0,0
27,991,23,0,0,0,0
28,1013,24,0,0,0,0
29,1035,24,0,0,0,0
30,1057,25,0,0,0,0
31,1079,26,0,0,0,0
32,1101,27,0,0,0,0
33,1119,27,0,0,0,0
34,1146,28,0,0,0,0
35,1168,29,0,0,0,0
36,1190,30,0,0,0,0
37,1212,30,0,0,0,0
38,1234,31,0,0,0,0
39,1256,32,0,0,0,0
40,1279,33,0,0,0,0
41,1301,33,0,0,0,0
42,1323,34,0,0,0,0
43,1345,35,0,0,0,0
44,1367,36,0,0,0,0
45,1389,36,0,0,0,0
46,1405,37,0,0,0,0
47,1434,38,0,0,0,0
48,1449,39,0,0,0,0
49,1471,39,0,0,0,0
50,1493,40,0,40,0,100
51,1515,40,0,40,0,100
52,1544,40,0,41,0,125
53,1565,40,0,42,0,125
54,1589,40,0,43,0,125
55,1611,40,0,44,0,125
56,1639,40,0,44,0,175
57,1664,40,0,45,0,175
58,1688,40,0,46,0,225
59,1713,40,0,47,0,225
60,1738,40,0,48,0,225
61,1763,40,0,48,0,225
62,1788,40,0,49,0,225
63,1812,40,0,50,0,225
64,1837,40,0,51,0,275
65,1832,40,0,52,0,275
66,1887,40,0,52,0,275
67,1911,40,0,53,0,275
68,1936,40,0,54,0,275
69,1961,40,0,55,0,275
70,1983,40,0,56,0,275
71,2008,40,0,56,0,275
72,2032,40,0,57,0,275
73,2057,40,0,58,0,275
74,2081,40,0,59,0,275
75,2106,40,0,60,0,275
76,2130,40,0,60,0,275
77,2155,40,0,61,0,275
78,2180,40,0,62,0,275
79,2142,40,0,63,0,275
80,2164,40,0,64,0,275
81,2186,40,0,64,0,275
82,2209,40,0,65,0,275
83,2302,40,0,66,0,275
84,2327,40,0,67,0,275
85,2351,40,0,68,0,275
86,2376,40,0,68,0,275
87,2401,40,0,69,0,275
88,2425,40,0,70,0,275
89,2450,40,0,71,0,275
90,2386,40,45,72,0,275
91,2499,40,46,72,0,275
92,2523,40,46,73,0,275
93,2548,40,47,74,0,275
94,2573,40,47,75,0,275
95,2597,40,48,76,0,275
96,2519,40,48,76,0,275
97,2541,40,49,77,0,275
98,2563,40,49,78,0,275
99,2585,40,50,79,0,275
100,2720,40,50,80,0,275
101,2619,40,51,80,0,275
102,2769,40,51,81,0,275
103,2794,40,52,82,0,275
104,2685,40,52,83,0,275
105,2707,40,53,84,0,275
106,2729,40,53,85,0,275
107,2749,40,54,86,0,275
108,2772,40,54,86,0,275
109,2794,40,55,87,0,275
110,2816,40,55,88,187,300
111,2828,40,56,88,190,300
112,2850,40,56,89,193,300
113,2872,40,57,90,196,300
114,2894,40,57,91,199,300
115,2916,40,58,92,202,300
116,2938,40,58,92,205,300
117,2960,40,59,93,208,300
118,2982,40,59,94,211,300
119,3004,40,60,95,214,300
120,3026,40,60,96,217,300
121,3048,40,61,96,219,300
122,3070,40,61,97,222,300
123,3092,40,62,98,225,300
124,3113,40,62,99,228,300
125,3135,40,63,100,231,300
126,3157,40,63,100,233,300
127,3179,40,64,101,237,300
128,3201,40,64,102,240,300
129,3223,40,65,103,243,300
130,3245,40,65,104,246,300
131,3267,40,66,104,249,300
132,3289,40,66,105,252,300
133,3311,40,67,106,255,300
134,3333,40,67,107,258,300
135,3355,40,68,108,260,300
136,3377,40,68,108,263,300
137,3399,40,69,109,266,300
138,3579,40,69,110,269,300
139,3443,40,70,111,272,300
140,3623,40,70,112,275,300
141,3645,40,71,112,278,300
142,3667,40,71,113,281,300
143,3689,40,72,114,283,300
144,3711,40,72,115,286,300
145,3733,40,73,116,289,300
146,3755,40,73,116,292,300
147,3777,40,74,117,295,300
148,3799,40,74,118,298,300
149,3821,40,75,119,301,300
150,3843,40,75,120,304,300
151,3865,40,76,120,307,300
152,3887,40,76,121,310,300
153,3909,40,77,122,313,300
154,3931,40,77,123,316,300
155,3953,40,78,124,319,300
156,3975,40,78,124,322,300
157,3997,40,79,125,325,300
158,4019,40,79,126,328,300
159,4041,40,80,127,331,300
160,4063,40,80,128,334,300
161,4087,40,81,128,337,300
162,4111,40,81,129,340,300
163,4135,40,82,130,343,300
164,4159,40,82,131,346,300
165,4183,40,83,132,349,300
166,4207,40,83,132,352,300
167,4231,40,84,133,355,300
168,4255,40,84,134,358,300
169,4279,40,85,135,361,300
170,4303,40,85,136,364,300
