Level,Max Health,Power Pip Chance,Shadow Pip Rating,Archmastery Rating,Storm Pip Conversion Rating,Enchant Damage
1,400,0,0,0,0,0
2,417,0,0,0,0,0
3,444,0,0,0,0,0
4,461,0,0,0,0,0
5,478,0,0,0,0,0
6,482,0,0,0,0,0
7,498,0,0,0,0,0
8,514,0,0,0,0,0
9,531,0,0,0,0,0
10,547,10,0,0,0,0
11,563,11,0,0,0,0
12,587,12,0,0,0,0
13,596,12,0,0,0,0
14,621,13,0,0,0,0
15,638,14,0,0,0,0
16,655,15,0,0,0,0
17,672,15,0,0,0,0
18,689,16,0,0,0,0
19,706,17,0,0,0,0
20,723,18,0,0,0,0
21,740,18,0,0,0,0
22,757,19,0,0,0,0
23,759,20,0,0,0,0
24,776,21,0,0,0,0
25,792,21,0,0,0,0
26,808,22,0,0,0,0
27,824,23,0,0,0,0
28,841,24,0,0,0,0
29,857,24,0,0,0,0
30,893,25,0,0,0,0
31,910,26,0,0,0,0
32,927,27,0,0,0,0
33,944,27,0,0,0,0
34,961,28,0,0,0,0
35,978,29,0,0,0,0
36,995,30,0,0,0,0
37,1012,30,0,0,0,0
38,1029,31,0,0,0,0
39,1046,32,0,0,0,0
40,1063,33,0,0,0,0
41,1080,33,0,0,0,0
42,1097,34,0,0,0,0
43,1114,35,0,0,0,0
44,1102,36,0,0,0,0
45,1118,36,0,0,0,0
46,1135,37,0,0,0,0
47,1151,38,0,0,0,0
48,1167,39,0,0,0,0
49,1184,39,0,0,0,0
50,1200,40,0,40,0,100
51,1216,40,0,40,0,100
52,1233,40,0,41,0,125
53,1249,40,0,42,0,125
54,1265,40,0,43,0,125
55,1281,40,0,44,0,125
56,1298,40,0,44,0,175
57,1314,40,0,45,0,175
58,1331,40,0,46,0,225
59,1347,40,0,47,0,225
60,1363,40,0,48,0,225
61,1380,40,0,48,0,225
62,1396,40,0,49,0,225
63,1412,40,0,50,0,225
64,1485,40,0,51,0,275
65,1445,40,0,52,0,275
66,1461,40,0,52,0,275
67,1478,40,0,53,0,275
68,1494,40,0,54,0,275
69,1575,40,0,55,0,275
70,1527,40,0,56,0,275
71,1543,40,0,56,0,275
72,1629,40,0,57,0,275
73,1647,40,0,58,0,275
74,1665,40,0,59,0,275
75,1683,40,0,60,0,275
76,1701,40,0,60,0,275
77,1719,40,0,61,0,275
78,1737,40,0,62,0,275
79,1755,40,0,63,0,275
80,1773,40,0,64,0,275
81,1791,40,0,64,0,275
82,1809,40,0,65,0,275
83,1827,40,0,66,0,275
84,1845,40,0,67,0,275
85,1863,40,0,68,0,275
86,1881,40,0,68,0,275
87,1899,40,0,69,0,275
88,1917,40,0,70,0,275
89,1935,40,0,71,0,275
90,1953,40,45,72,0,275
91,1971,40,46,72,0,275
92,1989,40,46,73,0,275
93,2007,40,47,74,0,275
94,2025,40,47,75,0,275
95,2043,40,48,76,0,275
96,2061,40,48,76,0,275
97,2079,40,49,77,0,275
98,2097,40,49,78,0,275
99,2115,40,50,79,0,275
100,2133,40,50,80,0,275
101,2151,40,51,80,0,275
102,2169,40,51,81,0,275
103,2187,40,52,82,0,275
104,2205,40,52,83,0,275
105,2223,40,53,84,0,275
106,2114,40,53,85,0,275
107,2131,40,54,86,0,275
108,2147,40,54,86,0,275
109,2163,40,55,87,0,275
110,2180,40,55,88,187,300
111,2196,40,56,88,190,300
112,2212,40,56,89,193,300
113,2229,40,57,90,196,300
114,2245,40,57,91,199,300
115,2261,40,58,92,202,300
116,2421,40,58,92,205,300
117,2439,40,59,93,208,300
118,2457,40,59,94,211,300
119,2475,40,60,95,214,300
120,2493,40,60,96,217,300
121,2511,40,61,96,219,300
122,2529,40,61,97,222,300
123,2547,40,62,98,225,300
124,2565,40,62,99,228,300
125,2583,40,63,100,231,300
126,2601,40,63,100,233,300
127,2619,40,64,101,237,300
128,2637,40,64,102,240,300
129,2655,40,65,103,243,300
130,2673,40,65,104,246,300
131,2691,40,66,104,249,300
132,2709,40,66,105,252,300
133,2727,40,67,106,255,300
134,2745,40,67,107,258,300
135,2588,40,68,108,260,300
136,2781,40,68,108,263,300
137,2620,40,69,109,266,300
138,2637,40,69,110,269,300
139,2744,40,70,111,272,300
140,2851,40,70,112,275,300
141,2871,40,71,112,278,300
142,2889,40,71,113,281,300
143,2907,40,72,114,283,300
144,2925,40,72,115,286,300
145,2943,40,73,116,289,300
146,2961,40,73,116,292,300
147,2979,40,74,117,295,300
148,2997,40,74,118,298,300
149,3015,40,75,119,301,300
150,3033,40,75,120,304,300
151,3051,40,76,120,307,300
152,3069,40,76,121,310,300
153,3087,40,77,122,313,300
154,3105,40,77,123,316,300
155,3123,40,78,124,319,300
156,3141,40,78,124,322,300
157,3159,40,79,125,325,300
158,3177,40,79,126,328,300
159,3195,40,80,127,331,300
160,3213,40,80,128,334,300
161,3233,40,81,128,337,300
162,3253,40,81,129,340,300
163,3273,40,82,130,343,300
164,3293,40,82,131,346,300
165,3313,40,83,132,349,300
166,3333,40,83,132,352,300
167,3353,40,84,133,355,300
168,3373,40,84,134,358,300
169,3393,40,85,135,361,300
170,3413,40,85,136,364,300
