Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Unlocked Tear,Unlocked Circle,Unlocked Square,Unlocked Triangle,Locked Tear,Locked Circle,Locked Square,Locked Triangle,Source,Owned,Gear Set
Charm of the Soul Devourer,60,115,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Drop/Vendor,False,None
Phylactery of the Wicked,60,95,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Drop/Vendor,False,None
Baleful Archival Ampul (Level 170+),170,566,0,10,0,0,0,77,0,0,0,0,98,0,0,0,0,0,0,0,0,1,1,Gold Key/Gauntlet,False,None
Deadly Night Mire Amulet (Level 160+),160,550,0,9,0,0,0,63,0,0,0,0,180,0,0,0,0,0,0,0,0,2,0,Gold Key/Gauntlet,False,None
Baleful Archival Ampul (Level 160+),160,550,0,9,0,0,0,63,0,0,0,0,90,0,0,0,0,0,0,0,0,1,1,Crowns,False,None
Baleful Archival Ampul (Level 150+),150,499,0,9,0,0,0,57,0,0,0,0,84,0,0,0,0,0,0,0,0,1,1,Crowns,False,None
Deadly Night Mire Amulet (Level 150+),150,499,0,9,0,0,0,57,0,0,0,0,167,0,0,0,0,0,0,0,0,2,0,Crowns,False,None
Ghostly Cerberus Master Ampul (Level 150+),150,499,0,9,0,0,0,57,0,0,0,0,167,0,0,0,0,0,0,0,0,2,0,Crowns,False,None
Unreal Ampul of Overwriting,170,495,0,9,0,0,0,68,244,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Raid,False,None
Hunhau's Singularity Amulet (Level 170+),170,495,0,9,0,0,0,68,0,0,0,0,122,0,0,0,0,0,0,0,1,0,1,Raid,False,None
Xibalba Singularity Amulet (Level 170+),170,495,0,9,0,0,0,68,0,0,0,0,98,0,0,0,0,0,0,0,1,0,1,Raid,False,None
Floramancer Amulet of Decay (Level 160+),160,481,0,9,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Crowns,False,None
Hunhau's Singularity Amulet (Level 160+),160,481,0,9,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Raid,False,None
The Void's Ghastly Totem,160,481,0,9,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Raid,False,None
The Void's Ghoulish Totem,160,481,0,9,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Raid,False,None
Xibalba Singularity Amulet (Level 160+),160,481,0,9,0,0,0,55,0,0,0,0,180,0,0,0,0,0,0,1,0,1,0,Raid,False,None
The Void's Deadly Totem (Level 160+),160,481,0,9,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Raid,False,None
Baleful Archival Ampul (Level 140+),140,449,0,9,0,0,0,52,0,0,0,0,78,0,0,0,0,0,0,0,0,1,1,Crowns,False,None
Deadly Night Mire Amulet (Level 140+),140,449,0,9,0,0,0,52,0,0,0,0,155,0,0,0,0,0,0,0,0,2,0,Crowns,False,None
The Void's Deadly Totem (Level 150+),150,437,0,9,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Drop/Vendor,False,None
Floramancer Amulet of Decay (Level 140+),140,393,0,9,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Crowns,False,None
Fell Dream Stalker Amulet,170,707,0,8,0,0,0,77,0,0,0,0,122,0,0,0,0,0,0,0,0,1,1,Crafting,False,None
Eternal Morbid Charm,160,687,0,8,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Crafting,False,None
