Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Unlocked Tear,Unlocked Circle,Unlocked Square,Unlocked Triangle,Locked Tear,Locked Circle,Locked Square,Locked Triangle,Source,Owned,Gear Set
Fell Dream Reaver Knife,170,1100,25,0,0,16,0,94,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,Drop/Vendor,False,False
Goth Fairy Kei Blade (Level 170+),170,1100,25,0,0,16,0,0,0,0,0,7,0,0,0,0,0,0,0,1,2,1,0,Crowns,False,False
Xibalba Singularity Athame (Level 170+),170,1100,25,0,0,16,0,0,0,0,0,7,0,0,0,0,0,0,0,1,2,1,0,Raid,False,False
Deadly August Sage Knife (Level 170+),170,978,25,0,0,18,0,81,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Gold Key/Gauntlet,False,False
Night King's Athame (Level 170+),170,978,25,0,0,18,0,81,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Gold Key/Gauntlet,False,False
Daemonic Dirk of Overwriting,170,0,25,0,0,18,0,81,0,0,0,8,0,0,0,0,0,0,0,1,2,0,1,Raid,False,False
Goth Fairy Kei Blade (Level 160+),160,1098,24,0,0,16,0,0,0,0,0,7,0,0,0,0,0,0,0,1,2,1,0,Crowns,False,False
Night King's Athame (Level 160+),160,976,24,0,0,18,0,70,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,False
Hunhau's Singularity Athame (Level 170+),170,1100,23,0,0,18,0,94,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Raid,False,False
Malignant Aeon Athame,160,1098,23,0,0,16,0,82,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crafting,False,False
Macabre Aeon Athame,160,1098,23,0,0,16,0,82,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Drop/Vendor,False,False
Morbid Aeon Athame,160,1098,23,0,0,16,0,82,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crafting,False,False
