Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Sword Pins,Shield Pins,Power Pins,Source,Owned,Gear Set
Goth Fairy Kei Shoes (Level 170+),170,896,43,14,3,0,133,159,5,0,0,0,0,16,0,2,0,1,Crowns,False,None
Xibalba Singularity Boots (Level 170+),170,896,43,14,3,0,133,159,5,0,0,0,0,16,0,2,0,1,Raid,False,None
Fell Dream Reaver Boots,170,1152,43,11,3,8,133,159,5,0,0,0,0,0,0,2,0,1,Drop/Vendor,False,None
Goth Fairy Kei Shoes (Level 160+),160,847,42,13,3,0,119,147,5,0,0,0,0,14,0,2,0,1,Crowns,False,None
Xibalba Singularity Boots (Level 160+),160,847,42,13,3,0,119,147,5,0,0,0,0,14,0,2,0,1,Raid,False,None
Macabre Aeon Boots,160,1089,42,10,3,8,119,147,5,0,0,0,0,0,0,2,0,1,Drop/Vendor,False,None
Baleful Page Treaders (Level 170+),170,1280,39,12,4,6,117,182,5,0,0,0,0,0,0,1,1,1,Gold Key/Gauntlet,False,None
Umbra Queen's Grim Heels (Level 170+),170,768,39,12,4,9,117,0,5,0,0,0,0,16,0,2,0,1,Rematch,False,None
Wastelander's Grim Boots (Level 170+),170,768,39,12,4,9,117,0,5,0,0,0,0,16,0,2,0,1,Crowns,False,None
Hunhau's Singularity Boots (Level 170+),170,1152,39,11,0,7,117,159,5,0,0,0,0,18,0,2,0,1,Raid,False,None
Demiurge's Destruction Greaves,150,961,39,10,3,8,113,139,4,0,0,0,0,0,0,0,0,0,Crafting,False,None
Merciless Death Boots,150,961,39,10,3,8,113,139,4,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,None
Fell Dream Warper Boots,170,1024,39,0,3,7,117,137,5,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,None
Morbid Enforcer's Boots,165,996,39,0,3,7,110,132,5,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,None
Burrower's Necromancy Boots (Level 160+),160,968,38,14,0,6,104,168,5,0,0,0,0,14,0,1,1,1,Gold Key/Gauntlet,False,None
Baleful Page Treaders (Level 160+),160,1209,38,12,4,6,104,168,5,0,0,0,0,0,0,1,1,1,Crowns,False,None
Deadly Night Mire Boots (Level 160+),160,1209,38,12,4,6,104,168,5,0,0,0,0,0,0,1,1,1,Gold Key/Gauntlet,False,None
Ominous Skyfarer's Boots (Level 160+),160,726,38,12,4,9,104,0,5,0,0,0,0,14,0,2,0,1,Crowns,False,None
Malistaire's Ghostly Boots (Level 160+),160,726,38,12,4,9,104,0,5,0,0,0,0,14,0,2,0,1,Rematch,False,None
Wastelander's Grim Boots (Level 160+),160,726,38,12,4,9,104,0,5,0,0,0,0,14,0,2,0,1,Crowns,False,None
Hunhau's Singularity Boots (Level 160+),160,1089,38,10,0,7,104,147,5,0,0,0,0,16,0,2,0,1,Raid,False,None
Macabre Masterpiece Boots,160,967,38,8,0,0,104,126,4,0,0,0,0,12,0,0,0,0,Drop/Vendor,False,None
Gothic City Dweller Hoppers,160,968,38,0,3,7,104,126,5,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,None
Baleful Page Treaders (Level 150+),150,1067,36,12,4,6,99,159,4,0,0,0,0,0,0,1,1,1,Crowns,False,None
Deadly Night Mire Boots (Level 150+),150,1067,36,12,4,6,99,159,4,0,0,0,0,0,0,1,1,1,Crowns,False,None
Ghostly Cerberus Master Boots (Level 150+),150,1067,36,12,4,6,99,159,0,0,0,0,0,0,0,0,0,0,Crowns,False,None
Ominous Skyfarer's Boots (Level 150+),150,641,36,12,4,9,99,0,4,0,0,0,0,12,0,2,0,1,Crowns,False,None
Wastelander's Grim Boots (Level 150+),150,641,36,12,4,9,99,0,4,0,0,0,0,12,0,2,0,1,Crowns,False,None
Malistaire's Deathly Boots (Level 150+),150,641,36,12,4,9,99,0,0,0,0,0,0,12,0,0,0,0,Crowns,False,None
Supreme Deadly Shoes,148,869,36,0,3,0,121,0,0,0,0,0,0,15,0,0,0,0,Drop/Vendor,False,None
Fell Dream Stalker Boots,170,1024,35,15,5,7,0,182,4,0,0,0,0,14,0,1,1,1,Crafting,False,None
Unreal Wraps of Overwriting,170,896,35,14,5,8,0,159,4,0,0,0,0,16,0,1,1,1,Raid,False,None
Daemonic Wraps of Overwriting,170,1024,35,9,4,9,133,0,6,0,0,0,0,14,0,2,0,1,Raid,False,None
Deadly August Sage Shoes (Level 170+),170,1024,35,0,4,7,133,137,6,0,0,0,0,18,0,2,0,1,Gold Key/Gauntlet,False,None
