Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Sword Pins,Shield Pins,Power Pins,Source,Owned,Gear Set
Goth Fairy Kei Conical (Level 170+),170,698,37,17,5,0,177,101,7,0,0,0,0,19,0,2,1,0,Crowns,False,None
Xibalba Singularity Helm (Level 170+),170,698,37,17,5,0,177,101,7,0,0,0,0,19,0,2,1,0,Raid,False,None
Fell Dream Reaver Hood,170,898,37,13,5,9,177,101,7,0,0,0,0,0,0,2,1,0,Drop/Vendor,False,None
Goth Fairy Kei Conical (Level 160+),160,665,35,16,5,0,163,89,6,0,0,0,0,17,0,2,1,0,Crowns,False,None
Xibalba Singularity Helm (Level 160+),160,665,35,16,5,0,163,89,6,0,0,0,0,17,0,2,1,0,Raid,False,None
Macabre Aeon Helm,160,855,35,12,5,9,163,89,6,0,0,0,0,0,0,2,1,0,Drop/Vendor,False,None
Baleful Hardback Helmet (Level 170+),170,997,34,15,6,7,155,116,6,0,0,0,0,0,0,2,1,0,Gold Key/Gauntlet,False,None
Umbra Queen's Grim Crown (Level 170+),170,599,34,15,6,11,155,0,6,0,0,0,0,19,0,2,0,1,Rematch,False,None
Wastelander's Grim Hat (Level 170+),170,599,34,15,6,11,155,0,6,0,0,0,0,19,0,2,0,1,Crowns,False,None
Hunhau's Singularity Helm (Level 170+),170,898,34,13,0,8,155,101,6,0,0,0,0,21,0,2,1,0,Raid,False,None
Fell Dream Warper Hood,170,798,34,0,4,8,155,87,6,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,None
Goth Fairy Kei Conical (Level 150+),150,608,33,15,5,0,155,83,6,0,0,0,0,16,0,2,1,0,Crowns,False,None
Demiurge's Destruction Helm,150,782,33,12,5,9,155,83,6,0,0,0,0,0,0,0,0,0,Crafting,False,None
Merciless Death Cap,150,782,33,12,5,9,155,83,6,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,None
Morbid Enforcer's Helmet,165,779,33,0,4,8,149,81,6,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,None
Burrower's Necromancy Hood (Level 160+),160,760,32,17,0,7,143,101,5,0,0,0,0,17,0,2,1,0,Gold Key/Gauntlet,False,None
Baleful Hardback Helmet (Level 160+),160,950,32,14,6,7,143,101,5,0,0,0,0,0,0,2,1,0,Crowns,False,None
Deadly Night Mire Top Hat (Level 160+),160,950,32,14,6,7,143,101,5,0,0,0,0,0,0,2,1,0,Gold Key/Gauntlet,False,None
Ominous Skyfarer's Douli Hat (Level 160+),160,570,32,14,6,11,143,0,5,0,0,0,0,17,0,2,0,1,Crowns,False,None
Malistaire's Ghostly Locks (Level 160+),160,570,32,14,6,11,143,0,5,0,0,0,0,17,0,2,0,1,Rematch,False,None
Wastelander's Grim Hat (Level 160+),160,570,32,14,6,11,143,0,5,0,0,0,0,17,0,2,0,1,Crowns,False,None
Hunhau's Singularity Helm (Level 160+),160,855,32,12,0,8,143,89,5,0,0,0,0,19,0,2,1,0,Raid,False,None
Macabre Masterpiece Helm,160,760,32,10,0,0,142,76,5,0,0,0,0,15,0,0,0,0,Drop/Vendor,False,None
Gothic City Dweller Kanga-Cap,160,760,32,0,4,8,143,76,5,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,None
Fell Dream Stalker Hood,170,798,30,18,7,8,0,116,5,0,0,0,0,17,0,2,1,0,Crafting,False,None
Unreal Crown of Overwriting,170,698,30,17,7,9,0,101,5,0,0,0,0,19,0,2,0,1,Raid,False,None
Burrower's Necromancy Hood (Level 150+),150,695,30,16,0,7,136,95,5,0,0,0,0,16,0,2,1,0,Crowns,False,None
Deadly Night Mire Top Hat (Level 150+),150,868,30,13,6,6,136,95,5,0,0,0,0,0,0,2,1,0,Crowns,False,None
Ghostly Cerberus Master Helm (Level 150+),150,868,30,13,6,7,136,95,0,0,0,0,0,0,0,0,0,0,Crowns,False,None
Ominous Skyfarer's Douli Hat (Level 150+),150,521,30,13,6,11,136,0,5,0,0,0,0,16,0,2,0,1,Crowns,False,None
Wastelander's Grim Hat (Level 150+),150,521,30,13,6,11,136,0,5,0,0,0,0,16,0,2,0,1,Crowns,False,None
