Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Flat Damage,Flat Resist,Unlocked Tear,Unlocked Circle,Unlocked Square,Unlocked Triangle,Locked Tear,Locked Circle,Locked Square,Locked Triangle,Source,Owned,Gear Set
Fell Dream Reaver Ring,170,546,20,0,0,19,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Drop, Crafting, Crowns",False,None
Daemonic Ring of Overwriting,170,0,20,0,0,21,102,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
Macabre Aeon Ring,160,528,19,0,0,19,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Drop, Crafting, Crowns",False,None
Malignant Aeon Ring,160,528,19,0,0,19,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crafting,False,None
Morbid Aeon Ring,160,528,19,0,0,19,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crafting,False,None
Nullity's Deadly Ring (Level 160+),160,469,19,0,0,21,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
Burrower's Necromancy Ring (Level 160+),160,586,18,0,0,19,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Gold Key, Crowns",False,None
Hunhau's Singularity Ring (Level 170+),170,546,18,0,0,21,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
Hunhau's Singularity Ring (Level 160+),160,528,18,0,0,21,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
Fell Dream Warper Ring,170,485,18,0,0,17,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop,False,None
Umbra Queen's Grim Loop (Level 170+),170,485,18,0,0,23,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Rematch,False,None
Wastelander's Grim Loop (Level 170+),170,485,18,0,0,23,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Crowns,False,None
Morbid Enforcer's Ring,165,477,18,0,0,17,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop,False,None
Gothic City Dweller Ring,160,469,18,0,0,17,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop,False,None
Malistaire's Ghostly Band (Level 160+),160,469,18,0,0,23,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Rematch,False,None
Ominous Skyfarer's Band (Level 160+),160,469,18,0,0,23,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crowns,False,None
Wastelander's Grim Loop (Level 160+),160,469,18,0,0,23,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Crowns,False,None
Macabre Masterpiece Ring,160,469,17,0,0,16,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop,False,None
Goth Fairy Kei Band (Level 170+),170,546,16,0,0,19,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crowns,False,None
Xibalba Singularity Ring (Level 170+),170,546,16,0,0,19,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
Xibalba Singularity Ring (Level 160+),160,528,16,0,0,19,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
Demiurge's Destruction Ring,150,508,16,0,0,19,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crafting,False,None
Merciless Death Ring,150,508,16,0,0,19,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Drop, Crowns",False,None
Deadly August Sage Band (Level 170+),170,485,16,0,0,21,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Gold Key, Crowns",False,None
Night King's Ring (Level 170+),170,485,16,0,0,21,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Gold Key, Crowns",False,None
Nullity's Deadly Ring (Level 150+),150,452,16,0,0,21,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop,False,None
Morbid Protector's Ring,165,418,16,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"Drop, Bazaar",False,None
Gothic Townie Ring,160,411,16,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"Drop, Bazaar",False,None
Executive Biohazard Ring,138,177,16,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Drop, Bazaar",False,None
Burrower's Necromancy Ring (Level 150+),150,564,15,0,0,19,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crowns,False,None
Ominous Skyfarer's Band (Level 150+),150,452,15,0,0,23,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crowns,False,None
Wastelander's Grim Loop (Level 150+),150,452,15,0,0,23,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Crowns,False,None
Glistening Death Ring,155,437,15,0,0,16,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop,False,None
Director Biohazard Ring,138,177,15,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"Drop, Bazaar",False,None
Chief's Biohazard Ring,135,167,15,0,0,0,74,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Drop, Bazaar",False,None
Baleful Archival Band (Level 170+),170,606,14,0,0,0,115,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,1,0,"Housing Gauntlet, Crowns",False,None
Deadly Night Mire Ring (Level 160+),160,586,14,0,0,19,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Housing Gauntlet, Crowns",False,None
Gloomy Night Mire Ring,160,586,14,0,0,19,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Housing Gauntlet,False,None
Murky Night Mire Ring,160,586,14,0,0,19,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Housing Gauntlet,False,None
Ominous Skyfarer's Band (Level 140+),140,435,14,0,0,22,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crowns,False,None
Wastelander's Grim Loop (Level 140+),140,435,14,0,0,22,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Crowns,False,None
Infantry Officer Band,150,416,14,0,0,16,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop,False,None
Lead's Biohazard Ring,135,167,14,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"Drop, Bazaar",False,None
Specialist Biohazard Ring,132,158,14,0,0,0,71,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Drop, Bazaar",False,None
Consultant Biohazard Ring,132,158,14,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Drop, Bazaar",False,None
Deathly Liaison's Ring,130,158,14,0,0,0,64,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Quest,False,None
Burrower's Necromancy Ring (Level 130+),130,522,13,0,0,18,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crowns,False,None
