Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Sword Pins,Shield Pins,Power Pins,Source,Owned,Gear Set
Daemonic Armor of Overwriting,170,1082,33,16,9,9,117,0,8,0,0,0,0,19,0,2,0,1,Raid,False,None
Deadly Robe of The Nullity (Level 160+),160,1070,32,16,9,9,101,0,8,0,0,0,0,18,0,2,0,1,Raid,False,None
Baleful Plot Armor (Level 170+),170,1443,30,20,6,10,103,146,7,0,0,0,0,0,0,2,0,1,Gold Key/Gauntlet,False,None
Hunhau's Singularity Mail (Level 170+),170,1263,30,18,0,11,103,128,7,0,0,0,0,19,0,1,0,2,Raid,False,None
Deadly Robe of The Nullity (Level 150+),150,947,30,15,8,8,0,0,7,0,0,0,0,14,0,0,0,0,Raid,False,None
Umbra Queen's Grim Garment (Level 170+),170,1443,30,12,9,10,103,0,7,0,0,0,0,22,0,1,0,2,Rematch,False,None
Wastelander's Grim Armor (Level 170+),170,1443,30,12,9,10,103,0,7,0,0,0,0,22,0,1,0,2,Crowns,False,None
Baleful Plot Armor (Level 160+),160,1427,29,19,6,10,89,132,7,0,0,0,0,0,0,2,0,1,Crowns,False,None
Deadly Night Mire Coat (Level 160+),160,1427,29,19,6,10,89,132,7,0,0,0,0,0,0,2,0,1,Gold Key/Gauntlet,False,None
Hunhau's Singularity Mail (Level 160+),160,1605,29,14,0,9,89,115,7,0,0,0,0,23,0,1,0,2,Raid,False,None
Ominous Skyfarer's Garb (Level 160+),160,1427,29,12,9,10,89,0,7,0,0,0,0,20,0,1,0,2,Crowns,False,None
Malistaire's Ghostly Vestment (Level 160+),160,1427,29,12,9,10,89,0,7,0,0,0,0,20,0,1,0,2,Rematch,False,None
Wastelander's Grim Armor (Level 160+),160,1427,29,12,9,10,89,0,7,0,0,0,0,20,0,1,0,2,Crowns,False,None
Fell Dream Reaver Armor,170,1263,27,18,8,8,117,128,9,0,0,0,0,0,0,2,0,1,Drop/Vendor,False,None
Baleful Plot Armor (Level 150+),150,1263,27,18,5,9,84,124,6,0,0,0,0,0,0,2,0,1,Crowns,False,None
Deadly Night Mire Coat (Level 150+),150,1263,27,18,5,9,84,124,6,0,0,0,0,0,0,2,0,1,Crowns,False,None
Ghostly Cerberus Master Armor (Level 150+),150,1263,27,18,5,9,84,124,0,0,0,0,0,0,0,0,0,0,Crowns,False,None
Deadly Night Mire Coat (Level 140+),140,1101,27,17,5,9,83,120,0,0,0,0,0,0,0,0,0,0,Crowns,False,None
Fell Dream Stalker Armor,170,1803,27,16,7,11,0,146,6,0,0,0,0,19,0,1,0,2,Crafting,False,None
Goth Fairy Kei Suit (Level 170+),170,1623,27,14,8,0,117,128,9,0,0,0,0,17,0,2,0,1,Crowns,False,None
Xibalba Singularity Mail (Level 170+),170,1623,27,14,8,0,117,128,9,0,0,0,0,17,0,2,0,1,Raid,False,None
Unreal Armor of Overwriting,170,1623,27,14,8,12,0,128,6,0,0,0,0,22,0,1,0,2,Raid,False,None
Ominous Skyfarer's Garb (Level 150+),150,1263,27,11,8,9,84,0,6,0,0,0,0,19,0,1,0,2,Crowns,False,None
Wastelander's Grim Armor (Level 150+),150,1263,27,11,8,9,84,0,6,0,0,0,0,19,0,1,0,2,Crowns,False,None
Malistaire's Deathly Vestment (Level 150+),150,1263,27,11,8,9,84,0,0,0,0,0,0,19,0,0,0,0,Crowns,False,None
Wastelander's Grim Armor (Level 140+),140,1101,27,11,8,9,83,0,5,0,0,0,0,17,0,0,0,0,Crowns,False,None
Malistaire's Deathly Vestment (Level 140+),140,1101,27,11,8,9,83,0,0,0,0,0,0,17,0,0,0,0,Crowns,False,None
Ominous Skyfarer's Garb (Level 140+),140,1101,27,11,8,9,83,0,0,0,0,0,0,17,0,0,0,0,Crowns,False,None
Deadly August Sage Coat (Level 170+),170,1443,27,0,9,9,117,110,9,0,0,0,0,19,0,2,0,1,Gold Key/Gauntlet,False,None
Night King's Plate (Level 170+),170,1443,27,0,9,9,117,110,9,0,0,0,0,19,0,2,0,1,Gold Key/Gauntlet,False,None
Macabre Aeon Cape,160,1249,26,18,8,8,101,115,9,0,0,0,0,0,0,2,0,1,Drop/Vendor,False,None
Baleful Plot Armor (Level 130+),130,940,26,17,5,8,75,112,5,0,0,0,0,0,0,2,0,1,Crowns,False,None
Deadly Night Mire Coat (Level 130+),130,940,26,17,5,8,75,112,0,0,0,0,0,0,0,0,0,0,Crowns,False,None
Great Inventor's Death Coat (Level 160+),160,1783,26,16,7,11,76,132,0,0,0,0,0,18,0,1,0,2,Crowns,False,None
Eternal Macabre Cape,160,1783,26,16,7,11,76,132,0,0,0,0,0,18,0,1,0,2,Crafting,False,None
Goth Fairy Kei Suit (Level 160+),160,1605,26,14,8,0,101,115,9,0,0,0,0,15,0,2,0,1,Crowns,False,None
Xibalba Singularity Mail (Level 160+),160,1605,26,14,6,0,101,99,9,0,0,0,0,20,0,2,0,1,Raid,False,None
Deadly Robe of The Void (Level 160+),160,1605,26,14,8,12,0,115,6,0,0,0,0,20,0,1,0,2,Raid,False,None
Wastelander's Grim Armor (Level 130+),130,940,26,11,8,8,75,0,5,0,0,0,0,16,0,0,0,0,Crowns,False,None
Malistaire's Deathly Vestment (Level 130+),130,940,26,11,8,8,75,0,0,0,0,0,0,16,0,0,0,0,Crowns,False,None
Baleful Plot Armor (Level 120+),120,778,25,17,5,8,70,103,5,0,0,0,0,0,0,2,0,1,Crowns,False,None
Deadly Night Mire Coat (Level 120+),120,778,25,17,5,8,70,103,0,0,0,0,0,0,0,0,0,0,Crowns,False,None
Ghostly Cerberus Master Armor (Level 120+),120,778,25,17,5,8,70,103,0,0,0,0,0,0,0,0,0,0,Crowns,False,None
Wastelander's Grim Armor (Level 120+),120,778,25,11,8,8,70,0,5,0,0,0,0,15,0,0,0,0,Crowns,False,None
Malistaire's Deathly Vestment (Level 120+),120,778,25,11,8,8,70,0,0,0,0,0,0,15,0,0,0,0,Crowns,False,None
Ominous Skyfarer's Garb (Level 120+),120,778,25,11,8,8,70,0,0,0,0,0,0,15,0,0,0,0,Crowns,False,None
Uniform of the Condemned,60,328,25,10,3,6,42,0,0,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,None
Demiurge's Destruction Armor,150,1105,24,17,7,7,96,108,8,0,0,0,0,0,0,0,0,0,Crafting,False,None
Merciless Death Cloak,150,1105,24,17,7,7,96,108,8,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,None
Baleful Plot Armor (Level 110+),110,616,24,16,5,8,68,97,4,0,0,0,0,0,0,2,0,1,Crowns,False,None
