Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Starting Pips,Unlocked Tear,Unlocked Circle,Unlocked Square,Unlocked Triangle,Locked Tear,Locked Circle,Locked Square,Locked Triangle,Source,Owned,Gear Set
Goth Fairy Kei Umbrella (Level 170+),170,0,29,0,3,0,135,95,8,0,0,0,0,19,0,2,0,0,0,0,1,0,0,0,Crowns,False,None
Xibalba Singularity Sword (Level 170+),170,0,29,0,3,0,135,95,8,0,0,0,0,19,0,2,0,0,0,0,1,0,0,0,Raid,False,None
Fell Dream Reaver Boomerang,170,0,29,0,3,0,68,95,8,0,0,0,243,0,0,2,0,0,0,0,1,0,0,0,"Drop, Crafting, Crowns",False,None
Goth Fairy Kei Umbrella (Level 160+),160,0,28,0,3,0,120,79,8,0,0,0,0,17,0,2,0,0,0,0,1,0,0,0,Crowns,False,None
Xibalba Singularity Sword (Level 160+),160,0,27,0,0,0,120,79,8,0,0,0,0,17,0,2,0,0,0,0,0,0,1,0,Raid,False,None
Demiurge's Destruction Sunderer,150,0,27,0,0,0,0,73,8,0,0,0,208,0,0,2,0,0,0,0,0,0,1,0,Crafting,False,None
Macabre Aeon Sword,160,0,27,0,0,0,0,79,8,0,0,0,225,0,0,2,0,0,0,0,0,0,1,0,"Drop, Crafting",False,None
Malignant Aeon Sword,160,0,27,0,0,0,0,79,8,0,0,0,225,0,0,2,0,0,0,0,0,0,1,0,Crafting,False,None
Merciless Death Wand,150,0,27,0,0,0,0,73,8,0,0,0,208,0,0,2,0,0,0,0,0,0,1,0,"Drop, Crowns",False,None
Morbid Aeon Sword,160,0,27,0,0,0,0,79,8,0,0,0,225,0,0,2,0,0,0,0,0,0,1,0,Crafting,False,None
Headmaster's Doom Staff (Level 150+),150,0,27,0,0,0,0,73,8,0,0,0,208,0,0,2,0,0,0,0,0,0,1,0,Crowns,False,None
Fell Dream Warper Boomerang,170,0,26,0,2,0,118,84,7,0,0,0,213,0,0,2,0,0,0,0,0,0,0,0,Drop,False,None
Hunhau's Singularity Sword (Level 170+),170,0,26,0,0,0,118,95,7,0,0,0,213,21,0,2,0,0,0,0,1,0,0,0,Raid,False,None
Baleful Archival Quill (Level 170+),170,0,26,0,4,0,51,105,7,0,0,0,182,0,0,2,0,0,0,0,0,0,1,0,"Housing Gauntlet, Crowns",False,None
Umbra Queen's Grim Staff (Level 170+),170,0,26,0,4,0,118,84,0,0,0,0,182,19,0,2,0,0,0,0,0,0,0,1,Rematch,False,None
Wastelander's Grim Crusher (Level 170+),170,0,26,0,4,0,118,84,0,0,0,0,182,19,0,2,0,0,0,0,0,0,0,1,Crowns,False,None
Morbid Enforcer's Gavel,165,0,25,0,2,0,112,77,7,0,0,0,205,0,0,2,0,0,0,0,0,0,0,0,Drop,False,None
Deadly Night Mire Staff (Level 160+),160,0,25,0,4,0,105,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,"Housing Gauntlet, Crowns",False,None
