Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Unlocked Tear,Unlocked Circle,Unlocked Square,Unlocked Triangle,Locked Tear,Locked Circle,Locked Square,Locked Triangle,Source,Owned,Gear Set
Fervid Dream Reaver Knife,170,1074,25,0,0,17,0,89,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,Drop/Vendor,False,None
Fire Fairy Kei Knife (Level 170+),170,1074,25,0,0,17,0,0,0,0,0,7,0,0,0,0,0,0,0,1,2,1,0,Crowns,False,None
Xibalba Meteoric Athame (Level 170+),170,1074,25,0,0,17,0,0,0,0,0,7,0,0,0,0,0,0,0,1,2,1,0,Raid,False,None
Fiery Chrysanthemum Knife (Level 170+),170,955,25,0,0,19,0,76,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Gold Key/Gauntlet,False,None
Flaming Chivalric Athame (Level 170+),170,955,25,0,0,19,0,76,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Gold Key/Gauntlet,False,None
Daemonic Dirk of Overheating,170,0,25,0,0,19,0,76,0,0,0,8,0,0,0,0,0,0,0,1,2,0,1,Raid,False,None
Primal Aeon Athame,160,1056,24,0,0,17,0,77,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crafting,False,None
Primeval Aeon Athame,160,1056,24,0,0,17,0,77,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crafting,False,None
Primordial Aeon Athame,160,1056,24,0,0,17,0,77,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Drop/Vendor,False,None
Xibalba Meteoric Athame (Level 160+),160,1056,24,0,0,17,0,77,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Raid,False,None
Fire Fairy Kei Knife (Level 150+),150,950,24,0,0,16,0,0,0,0,0,7,0,0,0,0,0,0,0,1,2,1,0,Crowns,False,None
Nullity's Fiery Athame (Level 160+),160,704,24,0,0,19,0,88,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Raid,False,None
Hunhau's Meteoric Athame (Level 170+),170,1074,23,0,0,19,0,89,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Raid,False,None
Fervid Dream Warper Knife,170,955,23,0,0,15,0,76,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,Drop/Vendor,False,None
Illuminated Archival Dirk (Level 170+),170,955,23,0,0,0,0,126,0,0,0,8,0,0,0,0,0,0,0,1,2,1,0,Gold Key/Gauntlet,False,None
Wastelander's Scorched Dirk (Level 170+),170,955,23,0,0,21,0,0,0,0,0,6,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Demiurge's Rage Athame,150,950,23,0,0,16,0,55,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crafting,False,None
Merciless Fire Athame,150,950,23,0,0,16,0,55,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Drop/Vendor,False,None
Furious Enforcer's Athame,165,947,23,0,0,15,0,71,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,Drop/Vendor,False,None
Nullity's Fiery Athame (Level 150+),150,633,23,0,0,18,0,84,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Drop/Vendor,False,None
Burrower's Pyromancy Athame (Level 160+),160,1173,22,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Gold Key/Gauntlet,False,None
Hunhau's Meteoric Athame (Level 160+),160,1056,22,0,0,19,0,77,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Raid,False,None
Blazing Skyfarer's Athame (Level 160+),160,939,22,0,0,21,0,66,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Charred Night Mire Athame,160,939,22,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crafting,False,None
Flashy City Dweller Athame,160,939,22,0,0,15,0,66,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,Drop/Vendor,False,None
Fiery Night Mire Athame (Level 160+),160,939,22,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Gold Key/Gauntlet,False,None
Singed Night Mire Athame,160,939,22,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crafting,False,None
Wastelander's Scorched Dirk (Level 160+),160,939,22,0,0,21,0,0,0,0,0,6,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Primordial Masterpiece Athame,160,938,22,0,0,14,0,65,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Drop/Vendor,False,None
Wastelander's Scorched Dirk (Level 150+),150,844,22,0,0,20,0,0,0,0,0,6,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Malevolent Fire Athame,150,1060,21,0,0,0,0,129,0,0,0,5,0,0,0,1,0,0,0,0,2,0,0,Drop/Vendor,False,None
Burrower's Pyromancy Athame (Level 150+),150,1055,21,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Supreme Eruption Athame,148,984,21,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,1,Drop/Vendor,False,None
Blazing Skyfarer's Athame (Level 150+),150,844,21,0,0,20,0,63,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Fiery Night Mire Athame (Level 150+),150,844,21,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Grim Cerberus Master Dirk (Level 150+),150,844,21,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Eternal Primordial Athame,160,1173,20,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crafting,False,None
Eternal Primeval Athame,160,1173,20,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crafting,False,None
Eternal Primal Athame,160,1173,20,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crafting,False,None
Great Inventor's Fire Dirk (Level 160+),160,1173,20,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Magician's Fire Athame,150,1038,20,0,0,0,0,125,0,0,0,5,0,0,0,1,0,0,0,0,2,0,0,Drop/Vendor,False,None
Delightful Freshbaker Knife,140,994,20,0,0,0,0,122,0,0,0,5,0,0,0,1,0,0,0,0,2,0,1,Crafting,False,None
Uber Freshbaker Knife,140,994,20,0,0,0,0,122,0,0,0,5,0,0,0,1,0,0,0,0,2,0,1,Drop/Vendor,False,None
Fervid Dream Stalker Knife,170,955,20,0,0,19,0,0,0,0,0,10,0,0,0,0,0,0,0,1,1,1,1,Crafting,False,None
Hierarch's Eruption Athame,145,929,20,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,Drop/Vendor,False,None
Glistening Fire Dagger,155,885,20,0,0,14,0,64,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Drop/Vendor,False,None
Furious Protector's Athame,165,829,20,0,0,13,0,59,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,Drop/Vendor,False,None
Floramancer Blade of Rashes (Level 160+),160,822,20,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Flashy Townie Athame,160,822,20,0,0,13,0,55,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,Drop/Vendor,False,None
