Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Sword Pins,Shield Pins,Power Pins,Source,Owned,Gear Set
Fire Fairy Kei Slippers (Level 170+),170,903,43,12,4,0,146,146,8,0,0,0,0,16,0,2,0,1,Crowns,False,False
Xibalba Meteoric Boots (Level 170+),170,903,43,12,4,0,146,146,8,0,0,0,0,16,0,2,0,1,Raid,False,False
Fervid Dream Reaver Boots,170,1161,43,10,4,8,146,146,8,0,0,0,0,0,0,2,0,1,Drop/Vendor,False,False
Xibalba Meteoric Boots (Level 160+),160,805,42,11,4,0,130,134,8,0,0,0,0,14,0,2,0,1,Raid,False,False
Primordial Aeon Boots,160,1035,42,9,4,8,130,134,8,0,0,0,0,0,0,2,0,1,Drop/Vendor,False,False
Supreme Eruption Shoes,148,850,41,0,3,0,132,0,0,0,0,0,0,15,0,0,0,0,Drop/Vendor,False,False
Illuminated Page Treaders (Level 170+),170,1290,39,11,5,6,128,167,7,0,0,0,0,0,0,1,1,1,Gold Key/Gauntlet,False,False
Umbra Queen's Scorched Heels (Level 170+),170,774,39,11,5,9,128,0,7,0,0,0,0,16,0,2,0,1,Drop/Vendor,False,False
Wastelander's Scorched Boots (Level 170+),170,774,39,11,5,9,128,0,7,0,0,0,0,16,0,2,0,1,Crowns,False,False
Hunhau's Meteoric Boots (Level 170+),170,1161,39,10,0,7,128,146,7,0,0,0,0,18,0,2,0,1,Raid,False,False
Malevolent Fire Boots,150,996,39,10,0,8,110,0,0,0,2,0,0,14,0,0,0,0,Drop/Vendor,False,False
Supreme Volcanic Shoes,148,972,39,8,0,0,117,0,0,0,0,0,0,14,0,0,0,0,Drop/Vendor,False,False
Fervid Dream Warper Boots,170,1032,39,0,3,7,128,125,7,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,False
Furious Enforcer's Boots,165,976,39,0,3,7,121,120,7,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,False
Hierarch's Eruption Shoes,145,789,39,0,3,0,124,0,0,0,0,0,0,14,0,0,0,0,Drop/Vendor,False,False
Burrower's Pyromancy Boots (Level 160+),160,920,38,12,0,6,114,153,7,0,0,0,0,14,0,1,1,1,Gold Key/Gauntlet,False,False
Fiery Night Mire Boots (Level 160+),160,1149,38,10,5,6,114,153,7,0,0,0,0,0,0,1,1,1,Gold Key/Gauntlet,False,False
Illuminated Page Treaders (Level 160+),160,1149,38,10,5,6,114,153,7,0,0,0,0,0,0,1,1,1,Crowns,False,False
Magician's Fire Boots,150,972,38,10,0,8,110,0,0,0,2,0,0,13,0,0,0,0,Drop/Vendor,False,False
