Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Starting Pips,Unlocked Tear,Unlocked Circle,Unlocked Square,Unlocked Triangle,Locked Tear,Locked Circle,Locked Square,Locked Triangle,Source,Owned,Gear Set
Case of Engulfing Flames,93,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Drop,False,None
Illuminated Archival Array (Level 170+),170,200,0,0,0,0,79,76,0,0,0,0,0,0,55,1,0,0,0,0,0,0,1,0,"Housing Gauntlet, Crowns",False,None
Fire Fairy Kei Box (Level 170+),170,180,0,0,0,0,87,67,0,0,0,0,0,0,55,1,0,0,0,0,0,1,0,0,Crowns,False,None
Xibalba Meteoric Deck (Level 170+),170,180,0,0,0,0,87,67,0,0,0,0,0,0,55,1,0,0,0,0,0,1,0,0,Raid,False,None
Hunhau's Meteoric Deck (Level 170+),170,180,0,0,0,0,79,67,0,0,0,0,0,0,62,1,0,0,0,0,0,1,0,0,Raid,False,None
Unreal Deck of Overheating,170,180,0,0,0,0,0,67,0,0,0,0,133,0,68,1,0,0,0,0,0,0,0,1,Raid,False,None
Daemonic Deck of Overheating,170,160,0,0,0,0,87,0,0,0,0,0,120,0,62,1,0,0,0,0,0,1,0,0,Raid,False,None
Fervid Dream Stalker Deck,170,160,0,0,0,0,0,95,0,0,0,0,120,0,62,1,0,0,0,0,0,0,1,0,Crafting,False,None
Charred Night Mire Deck,160,142,0,0,0,0,61,63,0,0,0,0,0,0,52,1,0,0,0,0,0,0,1,0,Housing Gauntlet,False,None
Fiery Night Mire Deck (Level 160+),160,142,0,0,0,0,61,63,0,0,0,0,0,0,52,1,0,0,0,0,0,0,1,0,"Housing Gauntlet, Crowns",False,None
Illuminated Archival Array (Level 160+),160,142,0,0,0,0,61,63,0,0,0,0,0,0,52,1,0,0,0,0,0,0,1,0,Crowns,False,None
Singed Night Mire Deck,160,142,0,0,0,0,61,63,0,0,0,0,0,0,52,1,0,0,0,0,0,0,1,0,Housing Gauntlet,False,None
Fervid Dream Reaver Deck,170,140,0,0,0,0,87,86,0,0,0,0,0,0,55,1,0,0,0,0,0,1,0,0,"Drop, Crafting, Crowns",False,None
Fire Fairy Kei Box (Level 160+),160,128,0,0,0,0,67,55,0,0,0,0,0,0,52,1,0,0,0,0,0,1,0,0,Crowns,False,None
Xibalba Meteoric Deck (Level 160+),160,128,0,0,0,0,67,55,0,0,0,0,0,0,52,1,0,0,0,0,1,0,0,0,Raid,False,None
Hunhau's Meteoric Deck (Level 160+),160,128,0,0,0,0,61,55,0,0,0,0,0,0,58,1,0,0,0,0,0,0,0,1,Raid,False,None
Floramancer Deck of Rashes (Level 160+),160,128,0,0,0,0,0,55,0,0,0,0,123,0,64,1,0,0,0,0,0,0,0,1,Crowns,False,None
The Void's Burning Cards,160,128,0,0,0,0,0,55,0,0,0,0,123,0,64,1,0,0,0,0,0,0,0,1,Raid,False,None
The Void's Fiery Cards (Level 160+),160,128,0,0,0,0,0,55,0,0,0,0,123,0,64,1,0,0,0,0,0,0,0,1,Raid,False,None
The Void's Blazing Cards,160,128,0,0,0,0,0,55,0,0,0,0,123,0,64,1,0,0,0,0,0,0,0,1,Raid,False,None
Supreme Ancient One Deck,148,125,0,0,0,0,0,52,0,0,0,0,69,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Supreme Firewall Deck,148,121,0,0,0,0,0,52,0,0,0,0,91,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Fervid Dream Warper Deck,170,120,0,0,0,0,79,76,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Drop,False,None
