Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Sword Pins,Shield Pins,Power Pins,Source,Owned,Gear Set
Fire Fairy Kei Broadbrim (Level 170+),170,698,36,11,6,0,188,94,8,0,0,0,0,19,0,2,1,0,Crowns,False,False
Xibalba Meteoric Helm (Level 170+),170,698,36,11,6,0,188,94,8,0,0,0,0,19,0,2,1,0,Raid,False,False
Fervid Dream Reaver Hood,170,898,36,9,6,9,188,94,8,0,0,0,0,0,0,2,1,0,Drop/Vendor,False,False
Xibalba Meteoric Helm (Level 160+),160,606,35,10,6,0,172,82,8,0,0,0,0,17,0,2,1,0,Raid,False,False
Primordial Aeon Helm,160,779,35,8,6,9,172,82,8,0,0,0,0,0,0,2,1,0,Drop/Vendor,False,False
Demiurge's Rage Helm,150,720,34,7,5,9,162,82,7,0,0,0,0,0,0,0,0,0,Crafting,False,False
Merciless Fire Cap,150,720,34,7,5,9,162,82,7,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,False
Supreme Eruption Hat,148,638,34,0,0,9,184,0,0,0,0,0,0,19,0,0,0,0,Drop/Vendor,False,False
Illuminated Hardback Helmet (Level 170+),170,997,33,10,8,7,164,108,7,0,0,0,0,0,0,2,1,0,Gold Key/Gauntlet,False,False
Wastelander's Scorched Hat (Level 170+),170,599,33,10,8,11,164,0,7,0,0,0,0,19,0,2,0,1,Crowns,False,False
Umbra Queen's Scorched Crown (Level 170+),170,599,33,10,8,11,164,0,7,0,0,0,0,19,0,2,0,1,Drop/Vendor,False,False
Hunhau's Meteoric Helm (Level 170+),170,898,33,9,0,8,164,94,7,0,0,0,0,21,0,2,1,0,Raid,False,False
Fervid Dream Warper Hood,170,798,33,0,5,8,164,81,7,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,False
Malevolent Fire Cap,150,747,33,0,6,13,132,0,5,0,0,0,0,18,0,0,0,0,Drop/Vendor,False,False
Supreme Volcanic Hat,148,729,33,0,8,11,0,0,0,0,0,0,0,18,0,0,0,0,Drop/Vendor,False,False
Hierarch's Eruption Hat,145,592,33,0,0,9,174,0,0,0,0,0,0,18,0,0,0,0,Drop/Vendor,False,False
Burrower's Pyromancy Hood (Level 160+),160,692,32,11,0,7,150,93,7,0,0,0,0,17,0,2,1,0,Gold Key/Gauntlet,False,False
Fiery Night Mire Top Hat (Level 160+),160,865,32,9,8,7,150,93,7,0,0,0,0,0,0,2,1,0,Gold Key/Gauntlet,False,False
Illuminated Hardback Helmet (Level 160+),160,865,32,9,8,7,150,93,7,0,0,0,0,0,0,2,1,0,Crowns,False,False
Blazing Skyfarer's Douli Hat (Level 160+),160,519,32,9,8,11,150,0,7,0,0,0,0,17,0,2,0,1,Crowns,False,False
Malistaire's Vengeance Locks (Level 160+),160,519,32,9,8,11,150,0,7,0,0,0,0,17,0,2,0,1,Crafting,False,False
Wastelander's Scorched Hat (Level 160+),160,519,32,9,8,11,150,0,7,0,0,0,0,17,0,2,0,1,Crowns,False,False
Hunhau's Meteoric Helm (Level 160+),160,779,32,8,0,8,150,82,7,0,0,0,0,19,0,2,1,0,Raid,False,False
Primordial Masterpiece Helm,160,692,32,7,0,0,150,70,6,0,0,0,0,15,0,0,0,0,Drop/Vendor,False,False
Furious Enforcer's Helmet,165,745,32,0,5,8,157,75,7,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,False
Magician's Fire Cap,150,729,32,0,6,12,132,0,5,0,0,0,0,17,0,0,0,0,Drop/Vendor,False,False
Flashy City Dweller Kanga-Cap,160,692,32,0,5,8,150,70,7,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,False
Burrower's Pyromancy Hood (Level 150+),150,640,31,10,0,7,142,88,6,0,0,0,0,16,0,2,1,0,Crowns,False,False
Fiery Night Mire Top Hat (Level 150+),150,799,31,8,7,6,142,88,6,0,0,0,0,0,0,2,1,0,Crowns,False,False
Illuminated Hardback Helmet (Level 150+),150,799,31,8,7,7,142,88,6,0,0,0,0,0,0,2,1,0,Crowns,False,False
Grim Cerberus Master Helm (Level 150+),150,799,31,8,7,7,142,93,0,0,0,0,0,0,0,0,0,0,Crowns,False,False
Blazing Skyfarer's Douli Hat (Level 150+),150,480,31,8,7,11,142,0,6,0,0,0,0,16,0,2,0,1,Crowns,False,False
Wastelander's Scorched Hat (Level 150+),150,480,31,8,7,11,142,0,6,0,0,0,0,16,0,2,0,1,Crowns,False,False
Morganthe's Fiery Arachna Crown (Level 150+),150,480,31,8,7,11,142,0,0,0,0,0,0,16,0,0,0,0,Crowns,False,False
Supreme Firewall Hat,148,820,31,0,0,13,0,0,0,0,3,0,0,17,0,0,0,0,Drop/Vendor,False,False
Delightful Freshbaker Cap,140,704,31,0,6,14,123,0,5,0,0,0,0,18,0,0,0,0,Crafting,False,False
Uber Freshbaker Cap,140,704,31,0,6,14,123,0,5,0,0,0,0,18,0,0,0,0,Drop/Vendor,False,False
Hierarch's Volcanic Hat,145,683,31,0,8,11,0,0,0,0,0,0,0,17,0,0,0,0,Drop/Vendor,False,False
Wunderbar Freshbaker Cap,140,679,31,0,6,13,123,0,5,0,0,0,0,17,0,0,0,0,Drop/Vendor,False,False
Lemurian Eruption Hat,142,546,31,0,0,8,174,0,0,0,0,0,0,17,0,0,0,0,Drop/Vendor,False,False
Glistening Fire Helmet,155,650,30,7,0,0,145,68,5,0,0,0,0,14,0,0,0,0,Drop/Vendor,False,False
Dragoon's Fiery Helm,130,788,30,0,8,13,162,0,5,0,0,0,0,14,0,0,0,0,Drop/Vendor,False,True
Alphoi Trooper Helm,130,704,30,0,8,12,144,0,0,0,0,0,0,14,0,0,0,0,Crafting,False,False
Fiery Paradox Conical,130,704,30,0,8,12,144,0,0,0,0,0,0,14,0,0,0,0,Drop/Vendor,False,False
Guten Freshbaker Cap,140,662,30,0,6,12,123,0,5,0,0,0,0,16,0,0,0,0,Drop/Vendor,False,False
Fervid Dream Stalker Hood,170,798,29,12,9,8,0,108,6,0,0,0,0,17,0,2,1,0,Crafting,False,False
Unreal Crown of Overheating,170,698,29,11,9,9,0,94,6,0,0,0,0,19,0,2,0,1,Raid,False,False
Burrower's Pyromancy Hood (Level 140+),140,587,29,9,0,7,0,87,5,0,0,0,0,14,0,0,0,0,Crowns,False,False
Daemonic Crown of Overheating,170,798,29,8,7,10,188,0,10,0,0,0,0,17,0,2,0,1,Raid,False,False
Illuminated Hardback Helmet (Level 140+),140,733,29,8,7,7,134,87,5,0,0,0,0,0,0,2,1,0,Crowns,False,False
Blazing Skyfarer's Douli Hat (Level 140+),140,440,29,8,7,11,134,0,0,0,0,0,0,14,0,0,0,0,Crowns,False,False
Cavalry Officer Hat,150,619,29,7,0,0,141,66,5,0,0,0,0,13,0,0,0,0,Drop/Vendor,False,False
Fiery Chrysanthemum Cowl (Level 170+),170,798,29,0,7,8,188,81,10,0,0,0,0,21,0,2,0,1,Gold Key/Gauntlet,False,False
Flaming Chivalric Crown (Level 170+),170,798,29,0,7,8,188,81,10,0,0,0,0,21,0,2,0,1,Gold Key/Gauntlet,False,False
Hierarch's Firewall Hat,145,774,29,0,0,13,0,0,0,0,3,0,0,16,0,0,0,0,Drop/Vendor,False,False
Vanguard's Fiery Helm,130,771,29,0,8,12,162,0,5,0,0,0,0,14,0,0,0,0,Drop/Vendor,False,False
Blazing Zanadu Helm,130,697,29,0,7,11,139,0,0,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,False
Cabalist Cleansing Hood,125,690,29,0,0,11,133,0,4,0,0,0,0,14,0,0,0,0,Drop/Vendor,False,False
Fierce Alphoi Mantle,125,690,29,0,6,0,129,0,4,0,0,0,0,14,0,0,0,0,Crafting,False,False
Furious Protector's Helmet,165,652,29,0,0,7,135,63,6,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,False
Lemurian Volcanic Hat,142,638,29,0,7,11,0,0,0,0,0,0,0,16,0,0,0,0,Drop/Vendor,False,False
Executive Thermal Hood,138,580,29,0,0,9,168,0,0,0,0,0,0,18,0,0,0,0,Drop/Vendor,False,False
Eternal Primordial Helm,160,692,28,11,9,8,129,93,0,0,0,0,0,15,0,2,1,0,Crafting,False,False
Great Inventor's Fire Hat (Level 160+),160,692,28,11,9,8,129,93,0,0,0,0,0,15,0,2,1,0,Crowns,False,False
Great Inventor's Fire Hat (Level 150+),150,640,28,10,8,8,122,88,0,0,0,0,0,14,0,2,1,0,Crowns,False,False
Fiery Conical of The Void (Level 160+),160,606,28,10,9,9,0,82,6,0,0,0,0,17,0,2,0,1,Raid,False,False
Floramancer Helm of Rashes (Level 160+),160,606,28,10,9,9,0,82,6,0,0,0,0,17,0,2,0,1,Crowns,False,False
Grim Cerberus Master Helm (Level 140+),140,744,28,9,6,0,134,86,0,0,0,0,0,10,0,0,0,0,Crowns,False,False
