Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Unlocked Tear,Unlocked Circle,Unlocked Square,Unlocked Triangle,Locked Tear,Locked Circle,Locked Square,Locked Triangle,Source,Owned,Gear Set
Executive Thermal Ring,138,167,19,0,0,0,85,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Drop/Vendor,False,None
Director Thermal Ring,138,167,18,0,0,0,90,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Drop/Vendor,False,None
Chief's Thermal Ring,135,157,18,0,0,0,78,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Drop/Vendor,False,None
Fervid Dream Reaver Ring,170,513,17,0,0,18,115,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop/Vendor,False,None
Lead's Thermal Ring,135,157,17,0,0,0,82,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Drop/Vendor,False,None
Consultant Thermal Ring,132,148,17,0,0,0,72,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Drop/Vendor,False,None
Daemonic Ring of Overheating,170,0,17,0,0,20,115,0,0,0,0,12,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
Specialist Thermal Ring,132,148,16,0,0,0,74,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Drop/Vendor,False,None
Fiery Liaison's Ring,130,148,16,0,0,0,67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Drop/Vendor,False,None
Hunhau's Meteoric Ring (Level 170+),170,513,15,0,0,20,101,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
Primeval Aeon Ring,160,495,15,0,0,18,99,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crafting,False,None
Primordial Aeon Ring,160,495,15,0,0,18,99,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop/Vendor,False,None
Primal Aeon Ring,160,495,15,0,0,18,99,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crafting,False,None
Fervid Dream Warper Ring,170,456,15,0,0,16,101,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop/Vendor,False,None
Wastelander's Scorched Loop (Level 170+),170,456,15,0,0,22,101,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Crowns,False,None
Nullity's Fiery Ring (Level 160+),160,439,15,0,0,20,99,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
Burrower's Pyromancy Ring (Level 160+),160,549,14,0,0,18,87,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Gold Key/Gauntlet,False,None
Hunhau's Meteoric Ring (Level 160+),160,495,14,0,0,20,87,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
Demiurge's Rage Ring,150,483,14,0,0,18,92,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crafting,False,None
Merciless Fire Ring,150,483,14,0,0,18,92,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop/Vendor,False,None
Furious Enforcer's Ring,165,448,14,0,0,16,94,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop/Vendor,False,None
Blazing Skyfarer's Band (Level 160+),160,440,14,0,0,22,87,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crowns,False,None
Flashy City Dweller Ring,160,440,14,0,0,16,87,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop/Vendor,False,None
Wastelander's Scorched Loop (Level 160+),160,440,14,0,0,22,87,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Crowns,False,None
Primordial Masterpiece Ring,160,439,14,0,0,15,86,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop/Vendor,False,None
Nullity's Fiery Ring (Level 150+),150,429,14,0,0,20,92,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop/Vendor,False,None
Malevolent Fire Ring,150,294,14,0,0,0,106,0,0,0,0,13,0,0,0,0,0,1,0,0,1,0,0,Drop/Vendor,False,None
Supreme Eruption Ring,148,273,14,0,0,0,94,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Drop/Vendor,False,None
