Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Sword Pins,Shield Pins,Power Pins,Source,Owned,Gear Set
Daemonic Armor of Overheating,170,1045,30,12,9,8,128,0,10,0,0,0,0,19,0,2,0,1,Raid,False,False
Fiery Robe of The Nullity (Level 160+),160,1033,30,12,9,8,112,0,8,0,0,0,0,18,0,2,0,1,Raid,False,False
Illuminated Plot Armor (Level 170+),170,1393,27,14,6,9,112,134,9,0,0,0,0,0,0,2,0,1,Gold Key/Gauntlet,False,False
Fiery Night Mire Coat (Level 160+),160,1377,27,14,6,9,98,120,7,0,0,0,0,0,0,2,0,1,Gold Key/Gauntlet,False,False
Illuminated Plot Armor (Level 160+),160,1377,27,14,6,9,98,120,7,0,0,0,0,0,0,2,0,1,Crowns,False,False
Hunhau's Meteoric Mail (Level 170+),170,1219,27,13,0,10,112,117,9,0,0,0,0,19,0,1,0,2,Raid,False,False
Fiery Robe of The Nullity (Level 150+),150,917,27,11,9,8,0,0,8,0,0,0,0,14,0,0,0,0,Raid,False,False
Hunhau's Meteoric Mail (Level 160+),160,1549,27,10,0,8,98,105,7,0,0,0,0,23,0,1,0,2,Raid,False,False
Umbra Queen's Scorched Garment (Level 170+),170,1393,27,9,10,9,112,0,9,0,0,0,0,22,0,1,0,2,Drop/Vendor,False,False
Wastelander's Scorched Armor (Level 170+),170,1393,27,9,10,9,112,0,9,0,0,0,0,22,0,1,0,2,Crowns,False,False
Blazing Skyfarer's Garb (Level 160+),160,1377,27,9,10,9,98,0,7,0,0,0,0,20,0,1,0,2,Crowns,False,False
Malistaire's Vengeance Vestment (Level 160+),160,1377,27,9,10,9,98,0,7,0,0,0,0,20,0,1,0,2,Drop/Vendor,False,False
Wastelander's Scorched Armor (Level 160+),160,1377,27,9,10,9,98,0,7,0,0,0,0,20,0,1,0,2,Crowns,False,False
Fiery Night Mire Coat (Level 150+),150,1223,25,13,6,9,91,115,7,0,0,0,0,0,0,2,0,1,Crowns,False,False
Illuminated Plot Armor (Level 150+),150,1223,25,13,6,9,91,115,7,0,0,0,0,0,0,2,0,1,Crowns,False,False
Grim Cerberus Master Armor (Level 150+),150,1223,25,13,6,9,91,124,0,0,0,0,0,0,0,0,0,0,Crowns,False,False
Blazing Skyfarer's Garb (Level 150+),150,1223,25,8,10,9,91,0,7,0,0,0,0,19,0,1,0,2,Crowns,False,False
Wastelander's Scorched Armor (Level 150+),150,1223,25,8,10,9,91,0,7,0,0,0,0,19,0,1,0,2,Crowns,False,False
Morganthe's Fiery Trappings (Level 150+),150,1223,25,8,10,9,91,0,0,0,0,0,0,19,0,0,0,0,Crowns,False,False
Fire-Forged Paladin Mail,95,550,25,0,0,8,70,28,5,0,5,0,0,0,0,0,0,0,Crowns,False,False
Fervid Dream Reaver Armor,170,1219,24,13,8,7,128,117,12,0,0,0,0,0,0,2,0,1,Drop/Vendor,False,False
Primordial Aeon Cape,160,1205,24,13,8,7,112,105,10,0,0,0,0,0,0,2,0,1,Drop/Vendor,False,False
Illuminated Plot Armor (Level 140+),140,1070,24,13,6,9,89,112,7,0,0,0,0,0,0,2,0,1,Crowns,False,False
Fiery Night Mire Coat (Level 140+),140,1070,24,13,6,9,89,112,0,0,0,0,0,0,0,0,0,0,Crowns,False,False
Fervid Dream Stalker Armor,170,1741,24,12,7,10,0,134,8,0,0,0,0,19,0,1,0,2,Crafting,False,False
Eternal Primordial Cape,160,1721,24,12,7,10,84,120,0,0,0,0,0,18,0,1,0,2,Crafting,False,False
Great Inventor's Fire Coat (Level 160+),160,1721,24,12,7,10,84,120,0,0,0,0,0,18,0,1,0,2,Crowns,False,False
Fire Fairy Kei Dress (Level 170+),170,1567,24,10,8,0,128,117,12,0,0,0,0,17,0,2,0,1,Crowns,False,False
Xibalba Meteoric Mail (Level 170+),170,1567,24,10,8,0,128,117,12,0,0,0,0,17,0,2,0,1,Raid,False,False
Unreal Armor of Overheating,170,1567,24,10,8,11,0,117,8,0,0,0,0,22,0,1,0,2,Raid,False,False
Fire Fairy Kei Dress (Level 160+),160,1549,24,10,8,0,112,105,10,0,0,0,0,15,0,2,0,1,Crowns,False,False
Xibalba Meteoric Mail (Level 160+),160,1549,24,10,6,0,112,90,10,0,0,0,0,20,0,2,0,1,Raid,False,False
Fiery Robe of The Void (Level 160+),160,1549,24,10,8,11,0,105,6,0,0,0,0,20,0,1,0,2,Raid,False,False
Floramancer Armor of Rashes (Level 160+),160,1549,24,10,8,11,0,105,6,0,0,0,0,20,0,1,0,2,Crowns,False,False
Flaming Chivalric Plate (Level 170+),170,1393,24,0,9,8,128,101,12,0,0,0,0,19,0,2,0,1,Gold Key/Gauntlet,False,False
Fiery Chrysanthemum Coat (Level 170+),170,1393,24,0,9,8,128,101,12,0,0,0,0,19,0,2,0,1,Gold Key/Gauntlet,False,False
Radiant Light Brigade Armor,125,799,23,15,10,6,110,0,0,0,0,0,0,16,0,0,0,0,Drop/Vendor,False,False
Illuminated Plot Armor (Level 130+),130,918,23,12,6,8,80,105,7,0,0,0,0,0,0,2,0,1,Crowns,False,False
Fiery Night Mire Coat (Level 130+),130,918,23,12,6,8,80,105,0,0,0,0,0,0,0,0,0,0,Crowns,False,False
Blazing Skyfarer's Garb (Level 130+),130,918,23,8,9,8,80,0,0,0,0,0,0,16,0,0,0,0,Crowns,False,False
Morganthe's Fiery Trappings (Level 130+),130,918,23,8,9,8,80,0,0,0,0,0,0,16,0,0,0,0,Crowns,False,False
Bonesmasher Robe of Flame,100,696,22,15,12,5,107,0,0,0,0,0,0,11,0,0,0,0,Drop/Vendor,False,False
Grim Cerberus Master Armor (Level 140+),140,1150,22,13,8,0,89,111,0,0,0,0,0,13,0,0,0,0,Crowns,False,False
Demiurge's Rage Armor,150,1070,22,12,8,7,104,109,10,0,0,0,0,0,0,0,0,0,Crafting,False,False
Merciless Fire Cloak,150,1070,22,12,8,7,104,109,10,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,False
Fiery Night Mire Coat (Level 120+),120,766,22,12,6,8,77,96,0,0,0,0,0,0,0,0,0,0,Crowns,False,False
Great Inventor's Fire Coat (Level 150+),150,1528,22,11,7,10,78,115,0,0,0,0,0,17,0,1,0,2,Crowns,False,False
Highlands Fighter's Kit (Level 150+),150,1528,22,11,7,10,78,115,0,0,0,0,0,14,0,0,0,0,Gold Key/Gauntlet,False,False
Fire Fairy Kei Dress (Level 150+),150,1376,22,10,8,0,104,101,10,0,0,0,0,14,0,2,0,1,Crowns,False,False
