Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Starting Pips,Unlocked Tear,Unlocked Circle,Unlocked Square,Unlocked Triangle,Locked Tear,Locked Circle,Locked Square,Locked Triangle,Source,Owned,Gear Set
Fire Fairy Kei Parasol (Level 170+),170,0,30,0,3,0,145,88,12,0,0,0,0,19,0,2,0,0,0,0,1,0,0,0,Crowns,False,None
Xibalba Meteoric Sword (Level 170+),170,0,30,0,3,0,145,88,12,0,0,0,0,19,0,2,0,0,0,0,1,0,0,0,Raid,False,None
Fervid Dream Reaver Boomerang,170,0,30,0,3,0,73,88,11,0,0,0,243,0,0,2,0,0,0,0,1,0,0,0,Drop/Vendor,False,None
Fire Fairy Kei Parasol (Level 160+),160,0,29,0,3,0,129,72,10,0,0,0,0,17,0,2,0,0,0,0,1,0,0,0,Crowns,False,None
Xibalba Meteoric Sword (Level 160+),160,0,28,0,0,0,129,72,9,0,0,0,0,17,0,2,0,0,0,0,0,0,1,0,Raid,False,None
Demiurge's Rage Sunderer,150,0,28,0,0,0,0,70,9,0,0,0,208,0,0,2,0,0,0,0,0,0,1,0,Crafting,False,None
Merciless Fire Wand,150,0,28,0,0,0,0,70,9,0,0,0,208,0,0,2,0,0,0,0,0,0,1,0,Drop/Vendor,False,None
Primeval Aeon Sword,160,0,28,0,0,0,0,72,9,0,0,0,225,0,0,2,0,0,0,0,0,0,1,0,Crafting,False,None
Primal Aeon Sword,160,0,28,0,0,0,0,72,9,0,0,0,225,0,0,2,0,0,0,0,0,0,1,0,Crafting,False,None
Primordial Aeon Sword,160,0,28,0,0,0,0,72,9,0,0,0,225,0,0,2,0,0,0,0,0,0,1,0,Drop/Vendor,False,None
Supreme Volcanic Staff,148,0,28,0,0,0,79,0,0,0,0,0,231,18,0,2,0,0,0,0,0,0,1,0,Drop/Vendor,False,None
Fervid Dream Warper Boomerang,170,0,27,0,2,0,127,78,10,0,0,0,213,0,0,2,0,0,0,0,0,0,0,0,Drop/Vendor,False,None
Hunhau's Meteoric Sword (Level 170+),170,0,27,0,0,0,127,88,10,0,0,0,213,21,0,2,0,0,0,0,1,0,0,0,Raid,False,None
Illuminated Archival Quill (Level 170+),170,0,27,0,4,0,55,97,10,0,0,0,182,0,0,2,0,0,0,0,0,0,1,0,Gold Key/Gauntlet,False,None
Furious Enforcer's Gavel,165,0,27,0,2,0,120,71,9,0,0,0,205,0,0,2,0,0,0,0,0,0,0,0,Drop/Vendor,False,None
Wastelander's Scorched Crusher (Level 170+),170,0,27,0,4,0,127,78,0,0,0,0,182,19,0,2,0,0,0,0,0,0,0,1,Crowns,False,None
Fiery Night Mire Staff (Level 160+),160,0,26,0,4,0,113,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,Gold Key/Gauntlet,False,None
Charred Night Mire Staff,160,0,26,0,4,0,113,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Crafting,False,None
Flashy City Dweller Cane,160,0,26,0,2,0,113,64,8,0,0,0,197,0,0,2,0,0,0,0,0,0,0,0,Drop/Vendor,False,None
Hunhau's Meteoric Sword (Level 160+),160,0,26,0,0,0,113,0,8,0,0,0,197,19,0,2,0,0,0,0,0,0,1,0,Raid,False,None
Singed Night Mire Staff,160,0,26,0,4,0,113,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Crafting,False,None
Fiery Night Mire Staff (Level 150+),150,0,26,0,4,0,106,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,Crowns,False,None
Grim Cerberus Master Wand (Level 150+),150,0,26,0,4,0,106,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,Crowns,False,None
Illuminated Archival Quill (Level 160+),160,0,26,0,4,0,49,80,8,0,0,0,169,0,0,2,0,0,0,0,0,0,1,0,Crowns,False,None
