Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Flat Damage,Flat Resist,Starting Pips,Unlocked Tear,Unlocked Circle,Unlocked Square,Unlocked Triangle,Locked Tear,Locked Circle,Locked Square,Locked Triangle,Source,Owned,Gear Set
Cute Fairy Kei Parasol (Level 170+),170,0,30,0,3,0,138,90,8,0,0,0,0,19,0,0,0,2,0,0,0,0,1,0,0,0,Crowns,False,None
Xibalba Vacuum Sword (Level 170+),170,0,30,0,3,0,138,90,8,0,0,0,0,19,0,0,0,2,0,0,0,0,1,0,0,0,Raid,False,None
Deft Dream Reaver Boomerang,170,0,30,0,3,0,138,90,8,0,0,0,243,0,0,0,0,2,0,0,0,0,1,0,0,0,"Drop, Crafting, Crowns",False,None
Cute Fairy Kei Parasol (Level 160+),160,0,29,0,3,0,124,77,8,0,0,0,0,17,0,0,0,2,0,0,0,0,1,0,0,0,Crowns,False,None
Xibalba Vacuum Sword (Level 160+),160,0,28,0,0,0,124,77,8,0,0,0,0,17,0,0,0,2,0,0,0,0,0,0,1,0,Raid,False,None
Abstract Aeon Sword,160,0,28,0,0,0,124,77,8,0,0,0,225,0,0,0,0,2,0,0,0,0,0,0,1,0,"Drop, Crafting, Crowns",False,None
Abstruse Aeon Sword,160,0,28,0,0,0,124,77,8,0,0,0,225,0,0,0,0,2,0,0,0,0,0,0,1,0,Crafting,False,None
Esoteric Aeon Sword,160,0,28,0,0,0,124,77,8,0,0,0,225,0,0,0,0,2,0,0,0,0,0,0,1,0,Crafting,False,None
Demiurge's Schemer Sunderer,150,0,28,0,0,0,116,71,8,0,0,0,208,0,0,0,0,2,0,0,0,0,0,0,1,0,Crafting,False,None
Headmaster's Law Staff (Level 150+),150,0,28,0,0,0,116,71,8,0,0,0,208,0,0,0,0,2,0,0,0,0,0,0,1,0,Crowns,False,None
Merciless Balance Wand,150,0,28,0,0,0,116,71,8,0,0,0,208,0,0,0,0,2,0,0,0,0,0,0,1,0,"Drop, Crowns",False,None
Cute Fairy Kei Parasol (Level 140+),140,0,27,0,3,0,113,69,8,0,0,0,0,14,0,0,0,2,0,0,0,0,1,0,0,0,Crowns,False,None
Astute Archival Quill (Level 170+),170,0,27,0,4,0,121,100,7,0,0,0,182,0,0,0,0,2,0,0,0,0,0,0,1,0,"Housing Gauntlet, Crowns",False,None
Hunhau's Vacuum Sword (Level 170+),170,0,27,0,0,0,121,90,7,0,0,0,213,21,0,0,0,2,0,0,0,0,1,0,0,0,Raid,False,None
Deft Dream Warper Boomerang,170,0,27,0,2,0,121,80,7,0,0,0,213,0,0,0,0,2,0,0,0,0,0,0,0,0,Drop,False,None
Just Enforcer's Gavel,165,0,27,0,2,0,115,74,7,0,0,0,205,0,0,0,0,2,0,0,0,0,0,0,0,0,Drop,False,None
Umbra Queen's Dusty Staff (Level 170+),170,0,27,0,4,0,121,80,0,0,0,0,304,19,0,0,0,2,0,0,0,0,0,0,0,1,Rematch,False,None
Wastelander's Dusty Crusher (Level 170+),170,0,27,0,4,0,121,80,0,0,0,0,304,19,0,0,0,2,0,0,0,0,0,0,0,1,Crowns,False,None
Headmaster's Law Staff (Level 140+),140,0,26,0,0,0,113,69,7,0,0,0,192,0,0,0,0,2,0,0,0,0,0,0,1,0,Crowns,False,None
Astute Archival Quill (Level 160+),160,0,26,0,4,0,109,85,7,0,0,0,169,0,0,0,0,2,0,0,0,0,0,0,1,0,Crowns,False,None
Balanced Night Mire Staff (Level 160+),160,0,26,0,4,0,108,85,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,"Housing Gauntlet, Crowns",False,None
Even Night Mire Staff,160,0,26,0,4,0,108,85,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Housing Gauntlet,False,None
Unified Night Mire Staff,160,0,26,0,4,0,108,85,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Housing Gauntlet,False,None
Hunhau's Vacuum Sword (Level 160+),160,0,26,0,0,0,108,77,7,0,0,0,197,19,0,0,0,2,0,0,0,0,0,0,1,0,Raid,False,None
Elegant City Dweller Cane,160,0,26,0,2,0,108,68,7,0,0,0,197,0,0,0,0,2,0,0,0,0,0,0,0,0,Drop,False,None
Balanced Night Mire Staff (Level 150+),150,0,26,0,4,0,101,78,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,Crowns,False,None
Ghoulish Cerberus Master Wand (Level 150+),150,0,26,0,4,0,101,78,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,Crowns,False,None
Wastelander's Dusty Crusher (Level 160+),160,0,26,0,4,0,108,68,0,0,0,0,282,17,0,0,0,2,0,0,0,0,0,0,0,1,Crowns,False,None
Malistaire's Harmonic Staff (Level 160+),160,0,26,0,4,0,108,68,0,0,0,0,281,17,0,0,0,2,0,0,0,0,0,0,1,0,Rematch,False,None
Stable Skyfarer's Kris (Level 160+),160,0,26,0,4,0,108,68,0,0,0,0,281,17,0,0,0,2,0,0,0,0,0,0,1,0,Crowns,False,None
Wastelander's Dusty Crusher (Level 150+),150,0,26,0,4,0,101,63,0,0,0,0,260,16,0,0,0,2,0,0,0,0,0,0,0,1,Crowns,False,None
Grandfather Spider's Steady Staff (Level 150+),150,0,26,0,4,0,101,63,0,0,0,0,260,16,0,0,0,2,0,0,0,0,0,0,1,0,Crowns,False,None
Stable Skyfarer's Kris (Level 150+),150,0,26,0,4,0,101,63,0,0,0,0,260,16,0,0,0,2,0,0,0,0,0,0,1,0,Crowns,False,None
Abstract Masterpiece Sword,160,0,25,0,0,0,108,68,6,0,0,0,197,0,0,0,0,2,0,0,0,0,0,0,0,0,Drop,False,None
Balanced Sweeping Longspear (Level 170+),170,0,24,0,3,0,138,80,10,0,0,0,0,21,0,0,0,2,0,0,0,0,1,0,0,0,"Gold Key, Crowns",False,None
