Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Flat Damage,Flat Resist,Starting Pips,Unlocked Tear,Unlocked Circle,Unlocked Square,Unlocked Triangle,Locked Tear,Locked Circle,Locked Square,Locked Triangle,Source,Owned,Gear Set
Bumbler's Sleetfall Pack,93,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Drop,False,None
Chilling Archival Array (Level 170+),170,238,0,0,0,0,54,91,0,0,0,0,0,0,55,0,0,1,0,0,0,0,0,0,1,0,"Housing Gauntlet, Crowns",False,None
Cool Fairy Kei Box (Level 170+),170,215,0,0,0,0,59,80,0,0,0,0,0,0,55,0,0,1,0,0,0,0,0,1,0,0,Crowns,False,None
Xibalba Comet Deck (Level 170+),170,215,0,0,0,0,59,80,0,0,0,0,0,0,55,0,0,1,0,0,0,0,0,1,0,0,Raid,False,None
Hunhau's Comet Deck (Level 170+),170,215,0,0,0,0,54,80,0,0,0,0,0,0,62,0,0,1,0,0,0,0,0,1,0,0,Raid,False,None
Unreal Deck of Freezing,170,215,0,0,0,0,0,80,0,0,0,0,133,0,68,0,0,1,0,0,0,0,0,0,0,1,Raid,False,None
Daemonic Deck of Freezing,170,191,0,0,0,0,59,0,0,0,0,0,120,0,62,0,0,1,0,0,0,0,0,1,0,0,Raid,False,None
Cruel Dream Stalker Deck,170,191,0,0,0,0,0,113,0,0,0,0,120,0,62,0,0,1,0,0,0,0,0,0,1,0,Crafting,False,None
Cruel Dream Reaver Deck,170,167,0,0,0,0,59,102,0,0,0,0,0,0,55,0,0,1,0,0,0,0,0,1,0,0,"Drop, Crafting, Crowns",False,None
Brisk Night Mire Deck,160,147,0,0,0,0,48,73,0,0,0,0,0,0,52,0,0,1,0,0,0,0,0,0,1,0,Housing Gauntlet,False,None
Chill Night Mire Deck,160,147,0,0,0,0,48,73,0,0,0,0,0,0,52,0,0,1,0,0,0,0,0,0,1,0,Housing Gauntlet,False,None
Icy Night Mire Deck (Level 160+),160,147,0,0,0,0,48,73,0,0,0,0,0,0,52,0,0,1,0,0,0,0,0,0,1,0,"Housing Gauntlet, Crowns",False,None
Cruel Dream Warper Deck,170,143,0,0,0,0,54,91,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Drop,False,None
Xibalba Comet Deck (Level 160+),160,133,0,0,0,0,53,64,0,0,0,0,0,0,52,0,0,1,0,0,0,0,1,0,0,0,Raid,False,None
Hunhau's Comet Deck (Level 160+),160,133,0,0,0,0,48,64,0,0,0,0,0,0,58,0,0,1,0,0,0,0,0,0,0,1,Raid,False,None
Floramancer Deck of Bark (Level 160+),160,133,0,0,0,0,0,64,0,0,0,0,123,0,64,0,0,1,0,0,0,0,0,0,0,1,Crowns,False,None
The Void's Freezing Cards,160,133,0,0,0,0,0,64,0,0,0,0,123,0,64,0,0,1,0,0,0,0,0,0,0,1,Raid,False,None
The Void's Frigid Cards (Level 160+),160,133,0,0,0,0,0,64,0,0,0,0,123,0,64,0,0,1,0,0,0,0,0,0,0,1,Raid,False,None
The Void's Glacial Cards,160,133,0,0,0,0,0,64,0,0,0,0,123,0,64,0,0,1,0,0,0,0,0,0,0,1,Raid,False,None
Supreme Cold Steel Deck,148,128,0,0,0,0,0,66,0,0,0,0,90,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Chilling Archival Array (Level 150+),150,125,0,0,0,0,46,70,0,0,0,0,0,0,48,0,0,1,0,0,0,0,0,0,1,0,Crowns,False,None
Icy Night Mire Deck (Level 150+),150,125,0,0,0,0,46,70,0,0,0,0,0,0,48,0,0,1,0,0,0,0,0,0,1,0,Crowns,False,None
Supreme Ancient One Deck,148,125,0,0,0,0,0,52,0,0,0,0,69,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Supreme Freezer Deck,148,122,0,0,0,0,44,0,0,0,0,0,96,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Supreme Detective Deck,148,122,0,0,0,0,40,59,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Hierarch's Cold Steel Deck,145,122,0,0,0,0,0,63,0,0,0,0,83,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Supreme Old Judge Deck,148,119,0,0,0,0,41,0,0,0,0,0,73,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Supreme Founder's Deck,148,119,0,0,0,0,37,46,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Hierarch's Ancient One Deck,145,119,0,0,0,0,0,49,0,0,0,0,63,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Nullity's Freezing Cards,160,118,0,0,0,0,53,0,0,0,0,0,111,0,58,0,0,1,0,0,0,0,1,0,0,0,Raid,False,None
Nullity's Frigid Cards (Level 160+),160,118,0,0,0,0,53,0,0,0,0,0,111,0,58,0,0,1,0,0,0,0,1,0,0,0,Raid,False,None
Nullity's Glacial Cards,160,118,0,0,0,0,53,0,0,0,0,0,111,0,58,0,0,1,0,0,0,0,1,0,0,0,Raid,False,None
Burrower's Thaumaturgy Deck (Level 160+),160,118,0,0,0,0,48,91,0,0,0,0,0,0,52,0,0,1,0,0,0,0,0,0,1,0,"Gold Key, Crowns",False,None
Eternal Crystalline Deck,160,118,0,0,0,0,0,91,0,0,0,0,111,0,58,0,0,1,0,0,0,0,0,0,1,0,Crafting,False,None
Eternal Glimmering Deck,160,118,0,0,0,0,0,91,0,0,0,0,111,0,58,0,0,1,0,0,0,0,0,0,1,0,Crafting,False,None
Eternal Glistening Deck,160,118,0,0,0,0,0,91,0,0,0,0,111,0,58,0,0,1,0,0,0,0,0,0,1,0,Crafting,False,None
Great Inventor's Ice Deck (Level 160+),160,118,0,0,0,0,0,91,0,0,0,0,111,0,58,0,0,1,0,0,0,0,0,0,1,0,Crowns,False,None
Producer's Cryo Box,138,117,0,0,0,0,0,54,0,0,0,0,83,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Steely Enforcer's Deck,165,116,0,0,0,0,51,82,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Drop,False,None
Hierarch's Freezer Deck,145,116,0,0,0,0,42,0,0,0,0,0,89,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Hierarch's Detective Deck,145,116,0,0,0,0,37,56,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar, Crowns",False,None
Lemurian Cold Steel Deck,142,116,0,0,0,0,0,59,0,0,0,0,75,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Producer's Hazmat Box,138,114,0,0,0,0,0,47,0,0,0,0,64,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Hierarch's Old Judge Deck,145,113,0,0,0,0,40,0,0,0,0,0,67,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Hierarch's Founder's Deck,145,113,0,0,0,0,35,44,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Floramancer Deck of Bark (Level 150+),150,113,0,0,0,0,0,61,0,0,0,0,114,0,60,0,0,1,0,0,0,0,0,0,0,1,Crowns,False,None
The Void's Frigid Cards (Level 150+),150,113,0,0,0,0,0,61,0,0,0,0,114,0,60,0,0,1,0,0,0,0,0,0,0,1,Drop,False,None
