Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Flat Damage,Flat Resist,Sword Pins,Shield Pins,Power Pins,Source,Owned,Gear Set
Cool Fairy Kei Broadbrim (Level 170+),170,830,31,18,5,0,148,111,4,0,0,0,0,19,0,0,0,2,1,0,Crowns,False,None
Xibalba Comet Helm (Level 170+),170,830,31,18,5,0,148,111,4,0,0,0,0,19,0,0,0,2,1,0,Raid,False,None
Cool Fairy Kei Broadbrim (Level 160+),160,807,31,16,5,0,144,95,4,0,0,0,0,17,0,0,0,2,1,0,Crowns,False,None
Xibalba Comet Helm (Level 160+),160,807,31,16,5,0,144,95,4,0,0,0,0,17,0,0,0,2,1,0,Raid,False,None
Cruel Dream Reaver Hood,170,1067,31,14,5,9,148,111,4,0,0,0,0,0,0,0,0,2,1,0,"Drop, Crafting, Crowns",False,None
Crystalline Aeon Helm,160,1037,31,12,5,9,144,95,4,0,0,0,0,0,0,0,0,2,1,0,"Drop, Crafting, Crowns",False,None
Beekeeper's Veil Hat (Level 170+),170,647,31,9,5,0,148,77,4,0,0,0,0,19,0,0,0,0,0,0,Gift Card,False,None
Beekeeper's Veil Hat (Level 160+),160,583,31,9,5,0,144,74,4,0,0,0,0,17,0,0,0,0,0,0,Gift Card,False,None
Cool Fairy Kei Broadbrim (Level 150+),150,738,30,16,5,0,136,91,4,0,0,0,0,16,0,0,0,2,1,0,Crowns,False,None
Demiurge's Frigid Helm,150,948,30,12,5,9,136,91,4,0,0,0,0,0,0,0,0,0,0,0,Crafting,False,None
Lydia's Frigid Hat (Level 150+),150,948,30,12,5,9,136,91,4,0,0,0,0,0,0,0,0,0,0,0,Crowns,False,None
Merciless Ice Cap,150,948,30,12,5,9,136,91,4,0,0,0,0,0,0,0,0,0,0,0,"Drop, Crowns",False,None
Beekeeper's Veil Hat (Level 150+),150,536,30,9,5,0,136,70,4,0,0,0,0,16,0,0,0,0,0,0,Gift Card,False,None
Shadoe's Hat of the Night (Level 150+),150,880,30,0,0,0,99,0,0,9,0,0,0,19,0,0,0,0,0,0,Crowns,False,None
Shadoe's Hat of Justice (Level 150+),150,660,30,0,0,0,132,0,3,0,0,0,0,19,0,0,0,0,0,0,Crowns,False,None
Glorious Chivalric Crown (Level 140+),140,810,29,0,8,0,90,0,3,0,0,0,0,12,0,0,0,0,0,0,Crowns,False,None
Supreme Freezer Hat,148,674,29,0,0,9,139,0,0,0,0,0,0,19,0,0,0,0,0,0,"Drop, Bazaar",False,None
Burrower's Thaumaturgy Hood (Level 160+),160,922,28,17,0,7,126,108,4,0,0,0,0,17,0,0,0,2,1,0,"Gold Key, Crowns",False,None
Chilling Hardback Helmet (Level 170+),170,1185,28,16,6,7,129,127,4,0,0,0,0,0,0,0,0,2,1,0,"Housing Gauntlet, Crowns",False,None
Umbra Queen's Chill Crown (Level 170+),170,711,28,16,6,11,129,0,4,0,0,0,0,19,0,0,0,2,0,1,Rematch,False,None
Wastelander's Chill Hat (Level 170+),170,711,28,16,6,11,129,0,4,0,0,0,0,19,0,0,0,2,0,1,Crowns,False,None
Chilling Hardback Helmet (Level 160+),160,1152,28,14,6,7,126,108,4,0,0,0,0,0,0,0,0,2,1,0,Crowns,False,None
Icy Night Mire Top Hat (Level 160+),160,1152,28,14,6,7,126,108,4,0,0,0,0,0,0,0,0,2,1,0,"Housing Gauntlet, Crowns",False,None
Hunhau's Comet Helm (Level 170+),170,1067,28,14,0,8,129,111,4,0,0,0,0,21,0,0,0,2,1,0,Raid,False,None
Arctic Skyfarer's Douli Hat (Level 160+),160,692,28,14,6,11,126,0,4,0,0,0,0,17,0,0,0,2,0,1,Crowns,False,None
Malistaire's Chilly Locks (Level 160+),160,692,28,14,6,11,126,0,4,0,0,0,0,17,0,0,0,2,0,1,Rematch,False,None
Wastelander's Chill Hat (Level 160+),160,692,28,14,6,11,126,0,4,0,0,0,0,17,0,0,0,2,0,1,Crowns,False,None
Hunhau's Comet Helm (Level 160+),160,1037,28,12,0,8,126,95,4,0,0,0,0,19,0,0,0,2,1,0,Raid,False,None
