Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Flat Damage,Flat Resist,Sword Pins,Shield Pins,Power Pins,Source,Owned,Gear Set
Daemonic Armor of Freezing,170,1283,30,17,9,8,94,0,5,0,0,0,0,19,0,0,0,2,0,1,Raid,False,None
Frigid Robe of The Nullity (Level 160+),160,1271,30,16,9,8,89,0,4,0,0,0,0,18,0,0,0,2,0,1,Raid,False,None
Lightkeeper's Dive Suit (Level 160+),160,988,30,11,8,8,89,0,4,0,0,0,0,15,0,0,0,0,0,0,Gift Card,False,None
Frigid Robe of The Nullity (Level 150+),150,1124,29,16,8,8,85,0,4,0,0,0,0,14,0,0,0,0,0,0,Raid,False,None
Chilling Plot Armor (Level 170+),170,1711,27,21,6,9,82,161,5,0,0,0,0,0,0,0,0,2,0,1,"Housing Gauntlet, Crowns",False,None
Icy Night Mire Coat (Level 160+),160,1695,27,20,6,9,78,144,4,0,0,0,0,0,0,0,0,2,0,1,"Housing Gauntlet, Crowns",False,None
Icy Night Mire Coat (Level 150+),150,1499,27,19,5,9,75,136,4,0,0,0,0,0,0,0,0,2,0,1,Crowns,False,None
Ghastly Cerberus Master Armor (Level 150+),150,1499,27,19,5,9,75,136,0,0,0,0,0,0,0,0,0,0,0,0,Crowns,False,None
Hunhau's Comet Mail (Level 170+),170,1497,27,19,0,10,82,141,5,0,0,0,0,19,0,0,0,1,0,2,Raid,False,None
Hunhau's Comet Mail (Level 160+),160,1907,27,14,0,8,78,126,4,0,0,0,0,23,0,0,0,1,0,2,Raid,False,None
Umbra Queen's Chill Garment (Level 170+),170,1711,27,13,9,9,82,0,5,0,0,0,0,22,0,0,0,1,0,2,Rematch,False,None
Wastelander's Chill Armor (Level 170+),170,1711,27,13,9,9,82,0,5,0,0,0,0,22,0,0,0,1,0,2,Crowns,False,None
Arctic Skyfarer's Garb (Level 160+),160,1695,27,12,9,9,78,0,4,0,0,0,0,20,0,0,0,1,0,2,Crowns,False,None
Malistaire's Chilly Vestment (Level 160+),160,1695,27,12,9,9,78,0,4,0,0,0,0,20,0,0,0,1,0,2,Rematch,False,None
Arctic Skyfarer's Garb (Level 150+),150,1499,27,12,8,9,75,0,4,0,0,0,0,19,0,0,0,1,0,2,Crowns,False,None
Wastelander's Chill Armor (Level 150+),150,1499,27,12,8,9,75,0,4,0,0,0,0,19,0,0,0,1,0,2,Crowns,False,None
Morganthe's Icy Trappings (Level 150+),150,1499,27,12,8,9,75,0,0,0,0,9,0,19,0,0,0,0,0,0,Crowns,False,None
Lightkeeper's Dive Suit (Level 150+),150,875,27,11,8,8,85,0,4,0,0,0,0,14,0,0,0,0,0,0,Gift Card,False,None
Ghastly Cerberus Master Armor (Level 140+),140,1309,26,18,5,8,73,132,0,0,0,0,0,0,0,0,0,0,0,0,Crowns,False,None
Icy Night Mire Coat (Level 140+),140,1309,26,18,5,8,73,132,0,0,0,0,0,0,0,0,0,0,0,0,Crowns,False,None
Wastelander's Chill Armor (Level 140+),140,1309,26,11,8,8,73,0,3,0,0,0,0,17,0,0,0,0,0,0,Crowns,False,None
Morganthe's Icy Trappings (Level 140+),140,1309,26,11,8,8,73,0,0,0,0,8,0,17,0,0,0,0,0,0,Crowns,False,None
Arctic Skyfarer's Garb (Level 140+),140,1309,26,11,8,8,73,0,0,0,0,0,0,17,0,0,0,0,0,0,Crowns,False,None
Lightkeeper's Dive Suit (Level 140+),140,762,26,10,8,7,83,0,4,0,0,0,0,13,0,0,0,0,0,0,Gift Card,False,None
Royal Fusilier's Dress Coat (Level 130+),130,690,26,0,5,10,55,0,6,0,0,0,0,0,0,0,0,0,0,0,Crowns,False,None
Royal Fusilier's Dress Coat (Level 120+),120,615,26,0,5,9,52,0,6,0,0,0,0,0,0,0,0,0,0,0,Crowns,False,None
Royal Fusilier's Dress Coat (Level 100+),100,465,26,0,4,8,45,0,6,0,0,0,0,0,0,0,0,0,0,0,Crowns,False,None
Chilling Plot Armor (Level 130+),130,1120,25,18,5,8,59,124,3,0,0,0,0,0,0,0,0,2,0,1,Crowns,False,None
Icy Night Mire Coat (Level 130+),130,1120,25,18,5,8,59,124,0,0,0,0,0,0,0,0,0,0,0,0,Crowns,False,None
Wastelander's Chill Armor (Level 130+),130,1120,25,11,8,8,59,0,3,0,0,0,0,16,0,0,0,0,0,0,Crowns,False,None
Morganthe's Icy Trappings (Level 130+),130,1120,25,11,8,8,59,0,0,0,0,8,0,16,0,0,0,0,0,0,Crowns,False,None
Arctic Skyfarer's Garb (Level 130+),130,1120,25,11,8,8,59,0,0,0,0,0,0,16,0,0,0,0,0,0,Crowns,False,None
Lightkeeper's Dive Suit (Level 130+),130,648,25,9,8,7,68,0,4,0,0,0,0,12,0,0,0,0,0,0,Gift Card,False,None
Royal Fusilier's Dress Coat (Level 90+),90,445,25,0,4,8,40,0,5,0,0,0,0,0,0,0,0,0,0,0,Crowns,False,None
Cruel Dream Reaver Armor,170,1497,24,19,8,7,94,141,6,0,0,0,0,0,0,0,0,2,0,1,"Drop, Crafting, Crowns",False,None
Crystalline Aeon Cape,160,1483,24,18,8,7,89,126,5,0,0,0,0,0,0,0,0,2,0,1,"Drop, Crafting, Crowns",False,None
