Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Flat Damage,Flat Resist,Unlocked Tear,Unlocked Circle,Unlocked Square,Unlocked Triangle,Locked Tear,Locked Circle,Locked Square,Locked Triangle,Source,Owned,Gear Set
Vibrant Archival Ampul (Level 170+),170,728,0,10,0,0,0,76,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,1,1,"Housing Gauntlet, Crowns",False,None
Lively Night Mire Amulet (Level 160+),160,672,0,10,0,0,0,62,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,2,0,"Housing Gauntlet, Crowns",False,None
Unreal Ampul of Health,170,637,0,9,0,0,0,66,244,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Raid,False,None
Hunhau's Xenoform Amulet (Level 170+),170,637,0,9,0,0,0,66,0,0,0,0,220,0,0,0,0,0,0,0,0,1,0,0,1,Raid,False,None
Lovely Fairy Kei Charm (Level 170+),170,637,0,9,0,0,0,66,0,0,0,0,196,0,0,0,0,0,0,0,0,0,1,0,1,Crowns,False,None
Xibalba Xenoform Amulet (Level 170+),170,637,0,9,0,0,0,66,0,0,0,0,196,0,0,0,0,0,0,0,0,0,1,0,1,Raid,False,None
Vibrant Archival Ampul (Level 150+),150,615,0,9,0,0,0,59,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,1,1,Crowns,False,None
Grisly Cerberus Master Ampul (Level 150+),150,615,0,9,0,0,0,59,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,2,0,Crowns,False,None
Lively Night Mire Amulet (Level 150+),150,615,0,9,0,0,0,59,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,2,0,Crowns,False,None
Floramancer Amulet of Life (Level 160+),160,588,0,9,0,0,0,54,0,0,0,0,225,0,0,0,0,0,0,0,0,1,0,1,0,Crowns,False,None
The Void's Joyful Totem,160,588,0,9,0,0,0,54,0,0,0,0,225,0,0,0,0,0,0,0,0,1,0,1,0,Raid,False,None
The Void's Lively Totem (Level 160+),160,588,0,9,0,0,0,54,0,0,0,0,225,0,0,0,0,0,0,0,0,1,0,1,0,Raid,False,None
The Void's Spritely Totem,160,588,0,9,0,0,0,54,0,0,0,0,225,0,0,0,0,0,0,0,0,1,0,1,0,Raid,False,None
Hunhau's Xenoform Amulet (Level 160+),160,588,0,9,0,0,0,54,0,0,0,0,203,0,0,0,0,0,0,0,0,1,0,1,0,Raid,False,None
Lovely Fairy Kei Charm (Level 160+),160,588,0,9,0,0,0,54,0,0,0,0,180,0,0,0,0,0,0,0,0,0,1,0,1,Crowns,False,None
Xibalba Xenoform Amulet (Level 160+),160,588,0,9,0,0,0,54,0,0,0,0,180,0,0,0,0,0,0,0,0,1,0,1,0,Raid,False,None
Vibrant Archival Ampul (Level 140+),140,559,0,9,0,0,0,57,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,1,1,Crowns,False,None
Lively Night Mire Amulet (Level 140+),140,559,0,9,0,0,0,57,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,2,0,Crowns,False,None
Floramancer Amulet of Life (Level 150+),150,538,0,9,0,0,0,52,0,0,0,0,208,0,0,0,0,0,0,0,0,1,0,1,0,Crowns,False,None
The Void's Lively Totem (Level 150+),150,538,0,9,0,0,0,52,0,0,0,0,208,0,0,0,0,0,0,0,0,1,0,1,0,Drop,False,None
Lovely Fairy Kei Charm (Level 150+),150,538,0,9,0,0,0,52,0,0,0,0,168,0,0,0,0,0,0,0,0,0,1,0,1,Crowns,False,None
Grisly Cerberus Master Ampul (Level 140+),140,509,0,9,0,0,0,57,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,2,0,Crowns,False,None
Bold Dream Stalker Amulet,170,909,0,8,0,0,0,76,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,1,1,Crafting,False,None
Eternal Impressive Charm,160,840,0,8,0,0,0,62,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,2,0,Crafting,False,None
