Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Flat Damage,Flat Resist,Unlocked Tear,Unlocked Circle,Unlocked Square,Unlocked Triangle,Locked Tear,Locked Circle,Locked Square,Locked Triangle,Source,Owned,Gear Set
Bold Dream Reaver Knife,170,1467,23,0,0,16,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,"Drop, Crafting, Crowns",False,None
Lovely Fairy Kei Blade (Level 170+),170,1467,23,0,0,16,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,2,1,0,Crowns,False,None
Xibalba Xenoform Athame (Level 170+),170,1467,23,0,0,16,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,2,1,0,Raid,False,None
Spring Palace Athame (Level 170+),170,1304,23,0,0,18,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,"Gold Key, Crowns",False,None
Vivid Imperial Court Knife (Level 170+),170,1304,23,0,0,18,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,"Gold Key, Crowns",False,None
Daemonic Dirk of Health,170,0,23,0,0,18,0,82,0,0,0,11,0,0,0,0,0,0,0,0,0,1,2,0,1,Raid,False,None
Impressive Aeon Athame,160,1288,21,0,0,16,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crafting,False,None
Inspired Aeon Athame,160,1288,21,0,0,16,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,"Drop, Crafting, Crowns",False,None
Inspirited Aeon Athame,160,1288,21,0,0,16,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crafting,False,None
Xibalba Xenoform Athame (Level 160+),160,1288,21,0,0,16,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Raid,False,None
Nullity's Lively Athame (Level 160+),160,859,21,0,0,18,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Raid,False,None
Hunhau's Xenoform Athame (Level 170+),170,1467,20,0,0,18,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Raid,False,None
Vibrant Archival Dirk (Level 170+),170,1304,20,0,0,0,0,136,0,0,0,11,0,0,0,0,0,0,0,0,0,1,2,1,0,"Housing Gauntlet, Crowns",False,None
Bold Dream Warper Knife,170,1304,20,0,0,14,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,Drop,False,None
Umbra Queen's Wild Dirk (Level 170+),170,1304,20,0,0,19,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,2,0,1,Rematch,False,None
Wastelander's Wild Dirk (Level 170+),170,1304,20,0,0,19,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Dynamic Enforcer's Athame,165,1225,20,0,0,14,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,Drop,False,None
Demiurge's Creation Athame,150,1165,20,0,0,15,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crafting,False,None
Merciless Life Athame,150,1165,20,0,0,15,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Drop,False,None
Vibrant Archival Dirk (Level 160+),160,1145,20,0,0,0,0,119,0,0,0,11,0,0,0,0,0,0,0,0,0,1,2,1,0,Crowns,False,None
Wastelander's Wild Dirk (Level 160+),160,1145,20,0,0,19,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Nullity's Lively Athame (Level 150+),150,777,20,0,0,17,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Drop,False,None
Burrower's Theurgy Athame (Level 160+),160,1431,19,0,0,16,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,"Gold Key, Crowns",False,None
Hunhau's Xenoform Athame (Level 160+),160,1288,19,0,0,18,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Raid,False,None
Lively Night Mire Athame (Level 160+),160,1145,19,0,0,16,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,"Housing Gauntlet, Crowns",False,None
Marshy Night Mire Athame,160,1145,19,0,0,16,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Housing Gauntlet,False,None
Swampy Night Mire Athame,160,1145,19,0,0,16,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Housing Gauntlet,False,None
Malistaire's Thorny Blade (Level 160+),160,1145,19,0,0,19,0,72,0,0,0,11,0,0,0,0,0,0,0,0,0,1,2,0,1,Rematch,False,None
Thrilling Skyfarer's Athame (Level 160+),160,1145,19,0,0,19,0,72,0,0,0,11,0,0,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Vibrant City Dweller Athame,160,1145,19,0,0,14,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,Drop,False,None
Lovely Fairy Kei Blade (Level 140+),140,1043,19,0,0,15,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,2,1,0,Crowns,False,None
Vivid Imperial Court Knife (Level 140+),140,927,19,0,0,17,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Bold Dream Stalker Knife,170,1304,18,0,0,18,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,1,1,1,Crafting,False,None
Burrower's Theurgy Athame (Level 150+),150,1294,18,0,0,15,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Inspired Masterpiece Athame,160,1145,18,0,0,13,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Drop,False,None
