Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Flat Damage,Flat Resist,Starting Pips,Unlocked Tear,Unlocked Circle,Unlocked Square,Unlocked Triangle,Locked Tear,Locked Circle,Locked Square,Locked Triangle,Source,Owned,Gear Set
Lightning Rider's Deck,93,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Drop,False,None
Fraught Archival Array (Level 170+),170,167,0,0,0,0,90,60,0,0,0,0,0,0,55,0,0,1,0,0,0,0,0,0,1,0,"Housing Gauntlet, Crowns",False,None
Electric Fairy Kei Box (Level 170+),170,151,0,0,0,0,99,52,0,0,0,0,0,0,55,0,0,1,0,0,0,0,0,1,0,0,Crowns,False,None
Xibalba Crying Sky Deck (Level 170+),170,151,0,0,0,0,99,52,0,0,0,0,0,0,55,0,0,1,0,0,0,0,0,1,0,0,Raid,False,None
Hunhau's Crying Sky Deck (Level 170+),170,151,0,0,0,0,90,52,0,0,0,0,0,0,62,0,0,1,0,0,0,0,0,1,0,0,Raid,False,None
Unreal Deck of Surging,170,151,0,0,0,0,0,52,0,0,0,0,133,0,68,0,0,1,0,0,0,0,0,0,0,1,Raid,False,None
Daemonic Deck of Surging,170,134,0,0,0,0,99,0,0,0,0,0,120,0,62,0,0,1,0,0,0,0,0,1,0,0,Raid,False,None
Fierce Dream Stalker Deck,170,134,0,0,0,0,0,74,0,0,0,0,120,0,62,0,0,1,0,0,0,0,0,0,1,0,Crafting,False,None
Crackling Night Mire Deck,160,129,0,0,0,0,66,56,0,0,0,0,0,0,52,0,0,1,0,0,0,0,0,0,1,0,Housing Gauntlet,False,None
Fraught Archival Array (Level 160+),160,129,0,0,0,0,66,56,0,0,0,0,0,0,52,0,0,1,0,0,0,0,0,0,1,0,Crowns,False,None
Stormy Night Mire Deck (Level 160+),160,129,0,0,0,0,66,56,0,0,0,0,0,0,52,0,0,1,0,0,0,0,0,0,1,0,"Housing Gauntlet, Crowns",False,None
Tormented Night Mire Deck,160,129,0,0,0,0,66,56,0,0,0,0,0,0,52,0,0,1,0,0,0,0,0,0,1,0,Housing Gauntlet,False,None
Supreme Ancient One Deck,148,125,0,0,0,0,0,52,0,0,0,0,69,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Supreme Old Judge Deck,148,119,0,0,0,0,41,0,0,0,0,0,73,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Supreme Founder's Deck,148,119,0,0,0,0,37,46,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Hierarch's Ancient One Deck,145,119,0,0,0,0,0,49,0,0,0,0,63,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Fierce Dream Reaver Deck,170,117,0,0,0,0,99,67,0,0,0,0,0,0,55,0,0,1,0,0,0,0,0,1,0,0,"Drop, Crafting, Crowns",False,None
Electric Fairy Kei Box (Level 160+),160,117,0,0,0,0,73,49,0,0,0,0,0,0,52,0,0,1,0,0,0,0,0,1,0,0,Crowns,False,None
Xibalba Crying Sky Deck (Level 160+),160,117,0,0,0,0,73,49,0,0,0,0,0,0,52,0,0,1,0,0,0,0,1,0,0,0,Raid,False,None
Hunhau's Crying Sky Deck (Level 160+),160,117,0,0,0,0,66,49,0,0,0,0,0,0,58,0,0,1,0,0,0,0,0,0,0,1,Raid,False,None
Floramancer Deck of Thorns (Level 160+),160,117,0,0,0,0,0,49,0,0,0,0,123,0,64,0,0,1,0,0,0,0,0,0,0,1,Crowns,False,None
The Void's Lightning Cards,160,117,0,0,0,0,0,49,0,0,0,0,123,0,64,0,0,1,0,0,0,0,0,0,0,1,Raid,False,None
The Void's Shocking Cards,160,117,0,0,0,0,0,49,0,0,0,0,123,0,64,0,0,1,0,0,0,0,0,0,0,1,Raid,False,None
The Void's Stormy Cards (Level 160+),160,117,0,0,0,0,0,49,0,0,0,0,123,0,64,0,0,1,0,0,0,0,0,0,0,1,Raid,False,None
Supreme Deflector Deck,148,117,0,0,0,0,0,44,0,0,0,0,94,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Producer's Hazmat Box,138,114,0,0,0,0,0,47,0,0,0,0,64,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Hierarch's Old Judge Deck,145,113,0,0,0,0,40,0,0,0,0,0,67,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Hierarch's Founder's Deck,145,113,0,0,0,0,35,44,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Lemurian Ancient One Deck,142,113,0,0,0,0,0,46,0,0,0,0,57,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Supreme Electric Deck,148,111,0,0,0,0,66,0,0,0,0,0,100,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Supreme Science Deck,148,111,0,0,0,0,59,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Hierarch's Deflector Deck,145,111,0,0,0,0,0,42,0,0,0,0,85,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Gloomy Cerberus Master Deck (Level 150+),150,110,0,0,0,0,63,53,0,0,0,0,0,0,48,0,0,1,0,0,0,0,0,0,1,0,Crowns,False,None
Stormy Night Mire Deck (Level 150+),150,110,0,0,0,0,63,53,0,0,0,0,0,0,48,0,0,1,0,0,0,0,0,0,1,0,Crowns,False,None
Executive Hazmat Box,138,108,0,0,0,0,38,0,0,0,0,0,68,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Director Hazmat Box,138,108,0,0,0,0,34,42,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Supervisor Hazmat Box,135,108,0,0,0,0,0,43,0,0,0,0,58,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Producer's Insulated Box,138,107,0,0,0,0,0,41,0,0,0,0,87,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Hierarch's Electric Deck,145,106,0,0,0,0,63,0,0,0,0,0,92,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Hierarch's Science Deck,145,106,0,0,0,0,56,37,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar, Crowns",False,None
Lemurian Old Judge Deck,142,106,0,0,0,0,37,0,0,0,0,0,62,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Lemurian Founder's Deck,142,106,0,0,0,0,33,41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Lemurian Deflector Deck,142,106,0,0,0,0,0,40,0,0,0,0,78,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Nullity's Lightning Cards,160,104,0,0,0,0,73,0,0,0,0,0,111,0,58,0,0,1,0,0,0,0,1,0,0,0,Raid,False,None
Nullity's Shocking Cards,160,104,0,0,0,0,73,0,0,0,0,0,111,0,58,0,0,1,0,0,0,0,1,0,0,0,Raid,False,None
Nullity's Stormy Cards (Level 160+),160,104,0,0,0,0,73,0,0,0,0,0,111,0,58,0,0,1,0,0,0,0,1,0,0,0,Raid,False,None
Burrower's Divination Deck (Level 160+),160,104,0,0,0,0,66,69,0,0,0,0,0,0,52,0,0,1,0,0,0,0,0,0,1,0,"Gold Key, Crowns",False,None
Eternal Fractal Deck,160,104,0,0,0,0,0,69,0,0,0,0,111,0,58,0,0,1,0,0,0,0,0,0,1,0,Crafting,False,None
Eternal Fractured Deck,160,104,0,0,0,0,0,69,0,0,0,0,111,0,58,0,0,1,0,0,0,0,0,0,1,0,Crafting,False,None
Eternal Fragmented Deck,160,104,0,0,0,0,0,69,0,0,0,0,111,0,58,0,0,1,0,0,0,0,0,0,1,0,Crafting,False,None
Great Inventor's Storm Deck (Level 160+),160,104,0,0,0,0,0,69,0,0,0,0,111,0,58,0,0,1,0,0,0,0,0,0,1,0,Crowns,False,None
Executive Insulated Box,138,102,0,0,0,0,58,0,0,0,0,0,93,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Director Insulated Box,138,102,0,0,0,0,52,37,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Chief's Hazmat Box,135,102,0,0,0,0,35,0,0,0,0,0,62,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Lead's Hazmat Box,135,102,0,0,0,0,31,38,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Supervisor Insulated Box,135,102,0,0,0,0,0,39,0,0,0,0,79,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Contractor Hazmat Box,132,102,0,0,0,0,0,39,0,0,0,0,53,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Fierce Dream Warper Deck,170,101,0,0,0,0,90,60,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Drop,False,None
Lemurian Electric Deck,142,100,0,0,0,0,59,0,0,0,0,0,84,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Lemurian Science Deck,142,100,0,0,0,0,53,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
The Void's Stormy Cards (Level 150+),150,99,0,0,0,0,0,47,0,0,0,0,114,0,60,0,0,1,0,0,0,0,0,0,0,1,Drop,False,None
Choice Kalamar Deck,127,98,0,0,0,0,0,35,0,0,0,0,45,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Consultant Hazmat Box,132,97,0,0,0,0,32,0,0,0,0,0,57,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Specialist Hazmat Box,132,97,0,0,0,0,28,34,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Demiurge's Temper Set,150,96,0,0,0,0,63,42,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Crafting,False,None
Demiurge's Temper Deck,150,96,0,0,0,0,63,42,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Crafting,False,None
Chief's Insulated Box,135,96,0,0,0,0,53,0,0,0,0,0,85,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Lead's Insulated Box,135,96,0,0,0,0,48,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Contractor Insulated Box,132,96,0,0,0,0,0,37,0,0,0,0,72,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
