Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Flat Damage,Flat Resist,Sword Pins,Shield Pins,Power Pins,Source,Owned,Gear Set
Electric Fairy Kei Broadbrim (Level 170+),170,647,37,9,6,0,209,77,7,0,0,0,0,19,0,0,0,2,1,0,Crowns,False,None
Xibalba Crying Sky Helm (Level 170+),170,647,37,9,6,0,209,77,7,0,0,0,0,19,0,0,0,2,1,0,Raid,False,None
Fierce Dream Reaver Hood,170,831,37,7,6,9,209,77,7,0,0,0,0,0,0,0,0,2,1,0,"Drop, Crafting, Crowns",False,None
Electric Fairy Kei Broadbrim (Level 160+),160,583,35,9,6,0,188,74,6,0,0,0,0,17,0,0,0,2,1,0,Crowns,False,None
Xibalba Crying Sky Helm (Level 160+),160,583,35,9,6,0,188,74,6,0,0,0,0,17,0,0,0,2,1,0,Raid,False,None
Fractal Aeon Helm,160,749,35,7,6,9,188,74,6,0,0,0,0,0,0,0,0,2,1,0,"Drop, Crafting, Crowns",False,None
Fraught Hardback Helmet (Level 170+),170,923,34,8,8,7,183,88,6,0,0,0,0,0,0,0,0,2,1,0,"Housing Gauntlet, Crowns",False,None
Umbra Queen's Shocked Crown (Level 170+),170,554,34,8,8,11,183,0,6,0,0,0,0,19,0,0,0,2,0,1,Rematch,False,None
Wastelander's Shocked Hat (Level 170+),170,554,34,8,8,11,183,0,6,0,0,0,0,19,0,0,0,2,0,1,Crowns,False,None
Hunhau's Crying Sky Helm (Level 170+),170,831,34,7,0,8,183,77,6,0,0,0,0,21,0,0,0,2,1,0,Raid,False,None
Fierce Dream Warper Hood,170,739,34,0,5,8,183,66,6,0,0,0,0,0,0,0,0,0,0,0,Drop,False,None
Demiurge's Temper Helm,150,689,33,7,6,9,180,70,6,0,0,0,0,0,0,0,0,0,0,0,Crafting,False,None
Halston's Eureka Hat (Level 150+),150,689,33,7,6,9,180,70,6,0,0,0,0,0,0,0,0,0,0,0,Crowns,False,None
Merciless Storm Cap,150,689,33,7,6,9,180,70,6,0,0,0,0,0,0,0,0,0,0,0,"Drop, Crowns",False,None
Thunderous Enforcer's Helmet,165,702,33,0,5,8,174,65,6,0,0,0,0,0,0,0,0,0,0,0,Drop,False,None
Burrower's Divination Hood (Level 160+),160,666,32,9,0,7,165,84,5,0,0,0,0,17,0,0,0,2,1,0,"Gold Key, Crowns",False,None
Fraught Hardback Helmet (Level 160+),160,832,32,8,8,7,165,84,5,0,0,0,0,0,0,0,0,2,1,0,Crowns,False,None
Stormy Night Mire Top Hat (Level 160+),160,832,32,8,8,7,165,84,5,0,0,0,0,0,0,0,0,2,1,0,"Housing Gauntlet, Crowns",False,None
Malistaire's Squall Locks (Level 160+),160,500,32,8,8,11,165,0,5,0,0,0,0,17,0,0,0,2,0,1,Rematch,False,None
Wastelander's Shocked Hat (Level 160+),160,500,32,8,8,11,165,0,5,0,0,0,0,17,0,0,0,2,0,1,Crowns,False,None
Wild Skyfarer's Douli Hat (Level 160+),160,500,32,8,8,11,165,0,5,0,0,0,0,17,0,0,0,2,0,1,Crowns,False,None
Hunhau's Crying Sky Helm (Level 160+),160,749,32,7,0,8,165,74,5,0,0,0,0,19,0,0,0,2,1,0,Raid,False,None
Fractal Masterpiece Helm,160,666,32,5,0,0,165,63,5,0,0,0,0,15,0,0,0,0,0,0,Drop,False,None
Striking City Dweller Kanga-Cap,160,666,32,0,5,8,165,63,5,0,0,0,0,0,0,0,0,0,0,0,Drop,False,None
Supreme Electric Hat,148,616,32,0,0,9,208,0,0,0,0,0,0,19,0,0,0,0,0,0,"Drop, Bazaar",False,None
Beekeeper's Veil Hat (Level 170+),170,647,31,9,5,0,148,77,4,0,0,0,0,19,0,0,0,0,0,0,Gift Card,False,None
Beekeeper's Veil Hat (Level 160+),160,583,31,9,5,0,144,74,4,0,0,0,0,17,0,0,0,0,0,0,Gift Card,False,None
Glistening Storm Helmet,155,635,31,6,0,0,161,62,5,0,0,0,0,14,0,0,0,0,0,0,Drop,False,None
Halston's Eureka Hat (Level 140+),140,630,31,6,6,9,168,67,5,0,0,0,0,0,0,0,0,0,0,0,Crowns,False,None
Gold New Year's Top Cloche (Level 150+),150,761,31,0,0,14,198,0,0,0,3,0,0,19,0,0,0,0,0,0,Crowns,False,None
Gold New Year's Top Hat (Level 150+),150,761,31,0,0,14,198,0,0,0,3,0,0,19,0,0,0,0,0,0,Crowns,False,None
Winter Sleeping Cap (Level 150+),150,690,31,0,0,13,178,0,0,10,0,0,0,19,0,0,0,0,0,0,Crowns,False,None
Fierce Dream Stalker Hood,170,739,30,10,9,8,0,88,5,0,0,0,0,17,0,0,0,2,1,0,Crafting,False,None
Unreal Crown of Surging,170,647,30,9,10,9,0,77,5,0,0,0,0,19,0,0,0,2,0,1,Raid,False,None
Burrower's Divination Hood (Level 150+),150,612,30,9,0,7,157,80,5,0,0,0,0,16,0,0,0,2,1,0,Crowns,False,None
Beekeeper's Veil Hat (Level 150+),150,536,30,9,5,0,136,70,4,0,0,0,0,16,0,0,0,0,0,0,Gift Card,False,None
Fraught Hardback Helmet (Level 150+),150,765,30,8,8,7,157,80,5,0,0,0,0,0,0,0,0,2,1,0,Crowns,False,None
Stormy Night Mire Top Hat (Level 150+),150,765,30,8,8,6,157,80,5,0,0,0,0,0,0,0,0,2,1,0,Crowns,False,None
Gloomy Cerberus Master Helm (Level 150+),150,765,30,8,8,7,157,80,0,0,0,0,0,0,0,0,0,0,0,0,Crowns,False,None
Wastelander's Shocked Hat (Level 150+),150,459,30,8,8,11,157,0,5,0,0,0,0,16,0,0,0,2,0,1,Crowns,False,None
Wild Skyfarer's Douli Hat (Level 150+),150,459,30,8,8,11,157,0,5,0,0,0,0,16,0,0,0,2,0,1,Crowns,False,None
Morganthe's Stormy Arachna Crown (Level 150+),150,459,30,8,8,11,157,0,0,0,0,0,0,16,0,0,0,0,0,0,Crowns,False,None
Daemonic Crown of Surging,170,739,30,6,7,10,209,0,8,0,0,0,0,17,0,0,0,2,0,1,Raid,False,None
Shadoe's Hat of the Night (Level 150+),150,880,30,0,0,0,99,0,0,9,0,0,0,19,0,0,0,0,0,0,Crowns,False,None
Shocking August Sage Cap (Level 170+),170,739,30,0,7,8,209,66,8,0,0,0,0,21,0,0,0,2,0,1,"Gold Key, Crowns",False,None
Squall King's Crown (Level 170+),170,739,30,0,7,8,209,66,8,0,0,0,0,21,0,0,0,2,0,1,"Gold Key, Crowns",False,None
Malevolent Storm Cap,150,721,30,0,6,13,149,0,6,0,0,0,0,18,0,0,0,0,0,0,Drop,False,None
Magician's Storm Cap,150,704,30,0,6,12,149,0,5,0,0,0,0,17,0,0,0,0,0,0,Drop,False,None
Odin's Helm (Level 140+),140,704,30,0,0,9,99,0,0,5,0,0,0,17,0,0,0,0,0,0,"Gold Key, Crowns",False,None
Supreme Science Hat,148,704,30,0,8,11,0,0,0,0,0,0,0,18,0,0,0,0,0,0,"Drop, Bazaar",False,None
Shadoe's Hat of Justice (Level 150+),150,660,30,0,0,0,132,0,3,0,0,0,0,19,0,0,0,0,0,0,Crowns,False,None
Drum Jungle Tribal Helm (Level 130+),130,599,30,0,8,10,139,0,0,0,0,0,0,16,0,0,0,0,0,0,Crowns,False,None
Hierarch's Electric Hat,145,572,30,0,0,9,196,0,0,0,0,0,0,18,0,0,0,0,0,0,"Drop, Bazaar",False,None
Artillery Officer Hat,150,605,29,6,0,0,157,60,5,0,0,0,0,13,0,0,0,0,0,0,Drop,False,None
Glorious Chivalric Crown (Level 140+),140,810,29,0,8,0,90,0,3,0,0,0,0,12,0,0,0,0,0,0,Crowns,False,None
Supreme Deflector Hat,148,792,29,0,0,13,0,0,0,0,3,0,0,17,0,0,0,0,0,0,"Drop, Bazaar",False,None
Stargazer's Cowl (Level 140+),140,745,29,0,0,15,148,0,0,0,0,0,0,18,0,0,0,0,0,0,Crowns,False,None
Delightful Sciencer Cap,140,680,29,0,6,14,138,0,5,0,0,0,0,18,0,0,0,0,0,0,Crafting,False,None
Uber Sciencer Cap,140,680,29,0,6,14,138,0,5,0,0,0,0,18,0,0,0,0,0,0,Drop,False,None
Alphoi Charger Helm,130,679,29,0,9,12,159,0,0,0,0,0,0,14,0,0,0,0,0,0,Crafting,False,None
Stormy Paradox Conical,130,679,29,0,9,12,159,0,0,0,0,0,0,14,0,0,0,0,0,0,Drop,False,None
Hierarch's Science Hat,145,660,29,0,8,11,0,0,0,0,0,0,0,17,0,0,0,0,0,0,"Drop, Bazaar",False,None
Desert Wrangler's Hat (Level 140+),140,618,29,0,8,13,226,0,0,0,0,0,0,18,0,0,0,0,0,0,Crowns,False,None
Thunderous Protector's Helmet,165,615,29,0,0,7,149,54,5,0,0,0,0,0,0,0,0,0,0,0,"Drop, Bazaar",False,None
Lemurian Electric Hat,142,528,29,0,0,8,196,0,0,0,0,0,0,17,0,0,0,0,0,0,"Drop, Bazaar",False,None
Outback Adventurer's Hat (Level 160+),160,666,28,9,0,8,126,84,4,0,0,0,0,17,0,0,0,0,0,0,Gift Card,False,None
Eternal Fractal Helm,160,666,28,9,9,8,141,84,0,0,0,0,0,15,0,0,0,2,1,0,Crafting,False,None
Great Inventor's Storm Hat (Level 160+),160,666,28,9,9,8,141,84,0,0,0,0,0,15,0,0,0,2,1,0,Crowns,False,None
Floramancer Helm of Thorns (Level 160+),160,583,28,9,10,9,0,74,5,0,0,0,0,17,0,0,0,2,0,1,Crowns,False,None
Stormy Conical of The Void (Level 160+),160,583,28,9,10,9,0,74,5,0,0,0,0,17,0,0,0,2,0,1,Raid,False,None
Burrower's Divination Hood (Level 140+),140,560,28,8,0,7,0,76,5,0,0,0,0,14,0,0,0,0,0,0,Crowns,False,None
Beekeeper's Veil Hat (Level 140+),140,514,28,8,5,0,131,67,4,0,0,0,0,14,0,0,0,0,0,0,Gift Card,False,None
Fraught Hardback Helmet (Level 140+),140,699,28,7,8,7,147,76,5,0,0,0,0,0,0,0,0,2,1,0,Crowns,False,None
Stormy Night Mire Top Hat (Level 140+),140,699,28,7,8,7,147,76,0,0,0,0,0,0,0,0,0,0,0,0,Crowns,False,None
Wastelander's Shocked Hat (Level 140+),140,420,28,7,8,11,147,0,5,0,0,0,0,14,0,0,0,0,0,0,Crowns,False,None
Stormy Conical of The Nullity (Level 160+),160,666,28,6,7,10,188,0,7,0,0,0,0,15,0,0,0,2,0,1,Raid,False,None
Veggilante Helmet,135,767,28,0,0,13,146,0,0,0,0,0,0,17,0,0,0,0,0,0,Crowns,False,None
Dragoon's Shocking Helm,130,761,28,0,8,13,176,0,5,0,0,0,0,14,0,0,0,0,0,0,"Crafting, Stone Key",False,Dragoon's Shocking Set
Ancient Druidic Cowl (Level 130+),130,749,28,0,5,13,166,0,0,0,0,0,0,16,0,0,0,0,0,0,Crowns,False,None
Gold New Year's Top Cloche (Level 140+),140,692,28,0,0,14,185,0,0,0,3,0,0,18,0,0,0,0,0,0,Crowns,False,None
Gold New Year's Top Hat (Level 140+),140,692,28,0,0,14,185,0,0,0,3,0,0,18,0,0,0,0,0,0,Crowns,False,None
