Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Flat Damage,Flat Resist,Unlocked Tear,Unlocked Circle,Unlocked Square,Unlocked Triangle,Locked Tear,Locked Circle,Locked Square,Locked Triangle,Source,Owned,Gear Set
Fierce Dream Reaver Ring,170,462,20,0,0,18,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Drop, Crafting, Crowns",False,None
Daemonic Ring of Surging,170,0,20,0,0,20,123,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
Fractal Aeon Ring,160,408,19,0,0,18,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Drop, Crafting, Crowns",False,None
Fractured Aeon Ring,160,408,19,0,0,18,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crafting,False,None
Fragmented Aeon Ring,160,408,19,0,0,18,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crafting,False,None
Nullity's Stormy Ring (Level 160+),160,363,19,0,0,20,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
Hunhau's Crying Sky Ring (Level 170+),170,462,18,0,0,20,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
Burrower's Divination Ring (Level 160+),160,453,18,0,0,18,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Gold Key, Crowns",False,None
Umbra Queen's Shocked Loop (Level 170+),170,411,18,0,0,22,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Rematch,False,None
Wastelander's Shocked Loop (Level 170+),170,411,18,0,0,22,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Crowns,False,None
Fierce Dream Warper Ring,170,411,18,0,0,16,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop,False,None
Hunhau's Crying Sky Ring (Level 160+),160,409,18,0,0,20,89,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
Demiurge's Temper Ring,150,404,18,0,0,18,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crafting,False,None
Merciless Storm Ring,150,404,18,0,0,18,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Drop, Crowns",False,None
Thunderous Enforcer's Ring,165,387,18,0,0,16,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop,False,None
Malistaire's Squall Band (Level 160+),160,363,18,0,0,22,89,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,1,1,0,Rematch,False,None
Wild Skyfarer's Band (Level 160+),160,363,18,0,0,22,89,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,1,1,0,Crowns,False,None
Wastelander's Shocked Loop (Level 160+),160,363,18,0,0,22,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Crowns,False,None
Striking City Dweller Ring,160,363,18,0,0,16,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop,False,None
