Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Unlocked Tear,Unlocked Circle,Unlocked Square,Unlocked Triangle,Locked Tear,Locked Circle,Locked Square,Locked Triangle,Source,Owned,Gear Set
Torc of the Ravenous Teeth,60,115,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Wooden Key,False,None
Necklace of Upper Zigazag,60,95,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Drop, Stone Key",False,None
Chilling Archival Ampul (Level 170+),170,632,0,12,0,0,0,80,0,0,0,0,98,0,0,0,0,0,0,0,0,1,1,"Housing Gauntlet, Crowns",False,None
Chilling Archival Ampul (Level 160+),160,589,0,11,0,0,0,63,0,0,0,0,90,0,0,0,0,0,0,0,0,1,1,Crowns,False,None
Icy Night Mire Amulet (Level 160+),160,589,0,11,0,0,0,63,0,0,0,0,180,0,0,0,0,0,0,0,0,2,0,"Housing Gauntlet, Crowns",False,None
Unreal Ampul of Freezing,170,553,0,11,0,0,0,70,244,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Raid,False,None
Cool Fairy Kei Necklace (Level 170+),170,553,0,11,0,0,0,70,0,0,0,0,98,0,0,0,0,0,0,0,1,0,1,Crowns,False,None
Hunhau's Comet Amulet (Level 170+),170,553,0,11,0,0,0,70,0,0,0,0,122,0,0,0,0,0,0,0,1,0,1,Raid,False,None
Xibalba Comet Amulet (Level 170+),170,553,0,11,0,0,0,70,0,0,0,0,98,0,0,0,0,0,0,0,1,0,1,Raid,False,None
Cruel Dream Stalker Amulet,170,790,0,10,0,0,0,80,0,0,0,0,122,0,0,0,0,0,0,0,0,1,1,Crafting,False,None
Chilling Archival Ampul (Level 150+),150,539,0,10,0,0,0,60,0,0,0,0,84,0,0,0,0,0,0,0,0,1,1,Crowns,False,None
Ghastly Cerberus Master Ampul (Level 150+),150,539,0,10,0,0,0,60,0,0,0,0,167,0,0,0,0,0,0,0,0,2,0,Crowns,False,None
Icy Night Mire Amulet (Level 150+),150,539,0,10,0,0,0,60,0,0,0,0,167,0,0,0,0,0,0,0,0,2,0,Crowns,False,None
Floramancer Amulet of Bark (Level 160+),160,516,0,10,0,0,0,55,0,0,0,0,225,0,0,0,0,0,0,1,0,1,0,Crowns,False,None
The Void's Glacial Totem,160,516,0,10,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Raid,False,None
Hunhau's Comet Amulet (Level 160+),160,516,0,10,0,0,0,55,0,0,0,0,203,0,0,0,0,0,0,1,0,1,0,Raid,False,None
The Void's Frigid Totem (Level 160+),160,516,0,10,0,0,0,55,0,0,0,0,225,0,0,0,0,0,0,1,0,1,0,Raid,False,None
The Void's Freezing Totem,160,516,0,10,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Raid,False,None
Xibalba Comet Amulet (Level 160+),160,516,0,10,0,0,0,55,0,0,0,0,180,0,0,0,0,0,0,1,0,1,0,Raid,False,None
Chilling Archival Ampul (Level 140+),140,487,0,10,0,0,0,57,0,0,0,0,78,0,0,0,0,0,0,0,0,1,1,Crowns,False,None
Ghastly Cerberus Master Ampul (Level 140+),140,475,0,10,0,0,0,57,0,0,0,0,154,0,0,0,0,0,0,0,0,2,0,Crowns,False,None
Eternal Crystalline Charm,160,736,0,9,0,0,0,63,0,0,0,0,203,0,0,0,0,0,0,0,0,2,0,Crafting,False,None
Eternal Glistening Charm,160,736,0,9,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Crafting,False,None
Eternal Glimmering Charm,160,736,0,9,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Crafting,False,None
Great Inventor's Ice Ampul (Level 160+),160,736,0,9,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Crowns,False,None
Burrower's Thaumaturgy Amulet (Level 160+),160,589,0,9,0,0,0,78,0,0,0,0,180,0,0,0,0,0,0,0,0,2,0,"Gold Key, Crowns",False,None
Cruel Dream Reaver Amulet,170,553,0,9,0,0,0,90,0,0,0,0,98,0,0,0,0,0,0,0,1,0,1,"Drop, Crafting, Crowns",False,None
The Void's Frigid Totem (Level 150+),150,472,0,9,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Drop,False,None
Ghastly Cerberus Master Ampul (Level 130+),130,435,0,9,0,0,0,38,0,0,0,0,130,0,0,0,0,0,0,0,0,2,0,Crowns,False,None
Icy Night Mire Amulet (Level 130+),130,435,0,9,0,0,0,38,0,0,0,0,130,0,0,0,0,0,0,0,0,2,0,Crowns,False,None
Icy Night Mire Amulet (Level 120+),120,383,0,9,0,0,0,28,0,0,0,0,124,0,0,0,0,0,0,0,0,2,0,Crowns,False,None
Floramancer Amulet of Bark (Level 130+),130,381,0,9,0,0,0,33,0,0,0,0,162,0,0,0,0,0,0,1,0,1,0,Crowns,False,None
Floramancer Amulet of Bark (Level 120+),120,335,0,9,0,0,0,25,0,0,0,0,155,0,0,0,0,0,0,1,0,1,0,Crowns,False,None
Cool Fairy Kei Necklace (Level 120+),120,335,0,9,0,0,0,25,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,Crowns,False,None
Icy Night Mire Amulet (Level 110+),110,331,0,9,0,0,0,27,0,0,0,0,114,0,0,0,0,0,0,0,0,2,0,Crowns,False,None
Chilling Archival Ampul (Level 100+),100,279,0,9,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Housing Gauntlet, Crowns",False,None
Ghastly Cerberus Master Ampul (Level 100+),100,279,0,9,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Crowns,False,None
Icy Night Mire Amulet (Level 90+),90,279,0,9,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Crowns,False,None
Icy Night Mire Amulet (Level 100+),100,279,0,9,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"Housing Gauntlet, Crowns",False,None
Ghastly Cerberus Master Ampul (Level 120+),120,257,0,9,0,0,0,28,0,0,0,0,124,0,0,0,0,0,0,0,0,2,0,Crowns,False,None
Cool Fairy Kei Necklace (Level 100+),100,244,0,9,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Crowns,False,None
Floramancer Amulet of Bark (Level 100+),100,244,0,9,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Crowns,False,None
Ghastly Cerberus Master Ampul (Level 110+),110,212,0,9,0,0,0,26,0,0,0,0,113,0,0,0,0,0,0,0,0,2,0,Crowns,False,None
