Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Flat Damage,Flat Resist,Unlocked Tear,Unlocked Circle,Unlocked Square,Unlocked Triangle,Locked Tear,Locked Circle,Locked Square,Locked Triangle,Source,Owned,Gear Set
Cool Fairy Kei Knife (Level 170+),170,1277,20,0,0,16,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,2,1,0,Crowns,False,None
Cruel Dream Reaver Knife,170,1277,20,0,0,16,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,"Drop, Crafting, Crowns",False,None
Xibalba Comet Athame (Level 170+),170,1277,20,0,0,16,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,2,1,0,Raid,False,None
Cool Fairy Kei Knife (Level 160+),160,1151,20,0,0,16,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,2,1,0,Crowns,False,None
Icy Imperial Court Knife (Level 170+),170,1135,20,0,0,18,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,"Gold Key, Crowns",False,None
Unwavering Chivalric Athame (Level 170+),170,1135,20,0,0,18,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,"Gold Key, Crowns",False,None
Daemonic Dirk of Freezing,170,0,20,0,0,18,0,88,0,0,0,8,0,0,0,0,0,0,0,0,0,1,2,0,1,Raid,False,None
Crystalline Aeon Athame,160,1151,19,0,0,16,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,"Drop, Crafting, Crowns",False,None
Glimmering Aeon Athame,160,1151,19,0,0,16,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crafting,False,None
Glistening Aeon Athame,160,1151,19,0,0,16,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crafting,False,None
Xibalba Comet Athame (Level 160+),160,1151,19,0,0,16,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Raid,False,None
Nullity's Frigid Athame (Level 160+),160,767,19,0,0,18,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Raid,False,None
Burrower's Thaumaturgy Athame (Level 160+),160,1278,18,0,0,16,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,"Gold Key, Crowns",False,None
Hunhau's Comet Athame (Level 170+),170,1277,18,0,0,18,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Raid,False,None
Hunhau's Comet Athame (Level 160+),160,1151,18,0,0,18,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Raid,False,None
Cruel Dream Warper Knife,170,1135,18,0,0,14,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,Drop,False,None
Chilling Archival Dirk (Level 170+),170,1135,18,0,0,0,0,146,0,0,0,8,0,0,0,0,0,0,0,0,0,1,2,1,0,"Housing Gauntlet, Crowns",False,None
Wastelander's Chill Dirk (Level 170+),170,1135,18,0,0,20,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Umbra Queen's Chill Dirk (Level 170+),170,1135,18,0,0,20,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,2,0,1,Rematch,False,None
Steely Enforcer's Athame,165,1079,18,0,0,14,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,Drop,False,None
Demiurge's Frigid Athame,150,1045,18,0,0,16,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crafting,False,None
Merciless Ice Athame,150,1045,18,0,0,16,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,"Drop, Crowns",False,None
Arctic Skyfarer's Athame (Level 160+),160,1023,18,0,0,20,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Chill Night Mire Athame,160,1023,18,0,0,16,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Housing Gauntlet,False,None
Brisk Night Mire Athame,160,1023,18,0,0,16,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Housing Gauntlet,False,None
Crisp City Dweller Athame,160,1023,18,0,0,14,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,Drop,False,None
Chilling Archival Dirk (Level 160+),160,1023,18,0,0,0,0,124,0,0,0,8,0,0,0,0,0,0,0,0,0,1,2,1,0,Crowns,False,None
Icy Night Mire Athame (Level 160+),160,1023,18,0,0,16,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,"Housing Gauntlet, Crowns",False,None
Malistaire's Chilly Blade (Level 160+),160,1023,18,0,0,20,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Rematch,False,None
Wastelander's Chill Dirk (Level 160+),160,1023,18,0,0,20,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Icy Imperial Court Knife (Level 140+),140,833,18,0,0,18,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Nullity's Frigid Athame (Level 150+),150,697,18,0,0,18,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Drop,False,None
Burrower's Thaumaturgy Athame (Level 150+),150,1161,17,0,0,16,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Malevolent Ice Athame,150,1120,17,0,0,0,0,165,0,0,0,8,0,0,0,0,0,1,0,0,0,0,2,0,0,Drop,False,None
Supreme Freezer Athame,148,1040,17,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,1,"Drop, Bazaar",False,None
Crystalline Masterpiece Athame,160,1022,17,0,0,13,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Drop,False,None
Arctic Skyfarer's Athame (Level 150+),150,929,17,0,0,19,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Ghastly Cerberus Master Dirk (Level 150+),150,929,17,0,0,16,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Icy Night Mire Athame (Level 150+),150,929,17,0,0,16,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Shadow Spider's Sting (Level 99+),99,420,17,0,0,14,0,17,0,0,0,18,0,0,0,0,0,1,1,0,0,0,1,0,1,Unavailable,False,None
Eternal Crystalline Athame,160,1278,16,0,0,18,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crafting,False,None
Eternal Glimmering Athame,160,1278,16,0,0,18,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crafting,False,None
Eternal Glistening Athame,160,1278,16,0,0,18,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crafting,False,None
Great Inventor's Ice Dirk (Level 160+),160,1278,16,0,0,18,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Cruel Dream Stalker Knife,170,1135,16,0,0,18,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,1,1,1,Crafting,False,None
Magician's Ice Athame,150,1097,16,0,0,0,0,160,0,0,8,0,0,0,0,0,0,1,0,0,0,0,2,0,0,Drop,False,None
Delightful Wonderneer Knife,140,1050,16,0,0,0,0,157,0,0,0,5,0,0,0,0,0,1,0,0,0,0,2,0,1,Crafting,False,None
Uber Wonderneer Knife,140,1050,16,0,0,0,0,157,0,0,0,5,0,0,0,0,0,1,0,0,0,0,2,0,1,Drop,False,None
Burrower's Thaumaturgy Athame (Level 140+),140,1041,16,0,0,16,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Hierarch's Freezer Athame,145,982,16,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,"Drop, Bazaar",False,None
Glistening Ice Dagger,155,976,16,0,0,13,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Drop,False,None
Steely Protector's Athame,165,944,16,0,0,12,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,"Drop, Bazaar",False,None
Crisp Townie Athame,160,895,16,0,0,12,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,"Drop, Bazaar",False,None
Floramancer Blade of Bark (Level 160+),160,895,16,0,0,20,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Nullity's Freezing Athame,160,895,16,0,0,20,0,112,0,0,0,7,0,0,0,0,0,0,0,0,0,1,2,0,1,Raid,False,None
Nullity's Glacial Athame,160,895,16,0,0,20,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Raid,False,None
