Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Sword Pins,Shield Pins,Power Pins,Source,Owned,Gear Set
Cool Fairy Kei Broadbrim (Level 170+),170,830,31,18,5,0,148,111,4,0,0,0,0,19,0,2,1,0,Crowns,False,False
Xibalba Comet Helm (Level 170+),170,830,31,18,5,0,148,111,4,0,0,0,0,19,0,2,1,0,Raid,False,False
Cool Fairy Kei Broadbrim (Level 160+),160,807,31,16,5,0,144,95,4,0,0,0,0,17,0,2,1,0,Crowns,False,False
Xibalba Comet Helm (Level 160+),160,807,31,16,5,0,144,95,4,0,0,0,0,17,0,2,1,0,Raid,False,False
Cruel Dream Reaver Hood,170,1067,31,14,5,9,148,111,4,0,0,0,0,0,0,2,1,0,Drop/Vendor,False,False
Crystalline Aeon Helm,160,1037,31,12,5,9,144,95,4,0,0,0,0,0,0,2,1,0,Drop/Vendor,False,False
Demiurge's Frigid Helm,150,948,30,12,5,9,136,91,4,0,0,0,0,0,0,0,0,0,Crafting,False,False
Merciless Ice Cap,150,948,30,12,5,9,136,91,4,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,False
Supreme Freezer Hat,148,674,29,0,0,9,139,0,0,0,0,0,0,19,0,0,0,0,Drop/Vendor,False,False
Burrower's Thaumaturgy Hood (Level 160+),160,922,28,17,0,7,126,108,4,0,0,0,0,17,0,2,1,0,Gold Key/Gauntlet,False,False
Chilling Hardback Helmet (Level 170+),170,1185,28,16,6,7,129,127,4,0,0,0,0,0,0,2,1,0,Gold Key/Gauntlet,False,False
Umbra Queen's Chill Crown (Level 170+),170,711,28,16,6,11,129,0,4,0,0,0,0,19,0,2,0,1,Drop/Vendor,False,False
Wastelander's Chill Hat (Level 170+),170,711,28,16,6,11,129,0,4,0,0,0,0,19,0,2,0,1,Crowns,False,False
Chilling Hardback Helmet (Level 160+),160,1152,28,14,6,7,126,108,4,0,0,0,0,0,0,2,1,0,Crowns,False,False
Icy Night Mire Top Hat (Level 160+),160,1152,28,14,6,7,126,108,4,0,0,0,0,0,0,2,1,0,Gold Key/Gauntlet,False,False
Hunhau's Comet Helm (Level 170+),170,1067,28,14,0,8,129,111,4,0,0,0,0,21,0,2,1,0,Raid,False,False
Arctic Skyfarer's Douli Hat (Level 160+),160,692,28,14,6,11,126,0,4,0,0,0,0,17,0,2,0,1,Crowns,False,False
Malistaire's Chilly Locks (Level 160+),160,692,28,14,6,11,126,0,4,0,0,0,0,17,0,2,0,1,Drop/Vendor,False,False
Wastelander's Chill Hat (Level 160+),160,692,28,14,6,11,126,0,4,0,0,0,0,17,0,2,0,1,Crowns,False,False
Hunhau's Comet Helm (Level 160+),160,1037,28,12,0,8,126,95,4,0,0,0,0,19,0,2,1,0,Raid,False,False
Crystalline Masterpiece Helm,160,922,28,10,0,0,125,81,4,0,0,0,0,15,0,0,0,0,Drop/Vendor,False,False
Cruel Dream Warper Hood,170,948,28,0,4,8,129,95,4,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,False
Steely Enforcer's Helmet,165,935,28,0,4,8,128,88,4,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,False
Crisp City Dweller Kanga-Cap,160,922,28,0,4,8,126,81,4,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,False
Burrower's Thaumaturgy Hood (Level 150+),150,843,27,17,0,7,119,104,3,0,0,0,0,16,0,2,1,0,Crowns,False,False
Icy Night Mire Top Hat (Level 150+),150,1053,27,14,6,6,119,104,3,0,0,0,0,0,0,2,1,0,Crowns,False,False
Ghastly Cerberus Master Helm (Level 150+),150,1053,27,14,6,7,119,104,0,0,0,0,0,0,0,0,0,0,Crowns,False,False
Arctic Skyfarer's Douli Hat (Level 150+),150,632,27,14,6,11,119,0,3,0,0,0,0,16,0,2,0,1,Crowns,False,False
Wastelander's Chill Hat (Level 150+),150,632,27,14,6,11,119,0,3,0,0,0,0,16,0,2,0,1,Crowns,False,False
Morganthe's Icy Arachna Crown (Level 150+),150,632,27,14,6,11,119,0,0,0,0,7,0,16,0,0,0,0,Crowns,False,False
Malevolent Ice Cap,150,789,27,0,5,13,99,0,3,0,0,0,0,18,0,0,0,0,Drop/Vendor,False,False
Supreme Detective Hat,148,770,27,0,7,11,0,0,0,0,0,0,0,18,0,0,0,0,Drop/Vendor,False,False
Hierarch's Freezer Hat,145,626,27,0,0,9,131,0,0,0,0,0,0,18,0,0,0,0,Drop/Vendor,False,False
Burrower's Thaumaturgy Hood (Level 140+),140,764,26,17,0,7,0,102,3,0,0,0,0,14,0,0,0,0,Crowns,False,False
Chilling Hardback Helmet (Level 140+),140,954,26,14,6,7,115,102,3,0,0,0,0,0,0,2,1,0,Crowns,False,False
Icy Night Mire Top Hat (Level 140+),140,954,26,14,6,7,115,102,0,0,0,0,0,0,0,0,0,0,Crowns,False,False
Wastelander's Chill Hat (Level 140+),140,573,26,14,6,11,115,0,3,0,0,0,0,14,0,0,0,0,Crowns,False,False
Arctic Skyfarer's Douli Hat (Level 140+),140,573,26,14,6,11,115,0,0,0,0,0,0,14,0,0,0,0,Crowns,False,False
Morganthe's Icy Arachna Crown (Level 140+),140,573,26,14,6,11,115,0,0,0,0,7,0,14,0,0,0,0,Crowns,False,False
Glistening Ice Helmet,155,880,26,10,0,0,122,79,4,0,0,0,0,14,0,0,0,0,Drop/Vendor,False,False
Supreme Cold Steel Hat,148,866,26,0,0,13,0,0,0,0,4,0,0,17,0,0,0,0,Drop/Vendor,False,False
Magician's Ice Cap,150,770,26,0,5,12,99,0,3,0,0,0,0,17,0,0,0,0,Drop/Vendor,False,False
Hierarch's Detective Hat,145,722,26,0,7,11,0,0,0,0,0,0,0,17,0,0,0,0,Drop/Vendor,False,False
Lemurian Freezer Hat,142,578,26,0,0,8,131,0,0,0,0,0,0,17,0,0,0,0,Drop/Vendor,False,False
Cruel Dream Stalker Hood,170,948,25,19,7,8,0,127,3,0,0,0,0,17,0,2,1,0,Crafting,False,False
Unreal Crown of Freezing,170,830,25,18,7,9,0,111,3,0,0,0,0,19,0,2,0,1,Raid,False,False
Eternal Crystalline Helm,160,922,25,17,7,8,108,108,0,0,0,0,0,15,0,2,1,0,Crafting,False,False
Great Inventor's Ice Hat (Level 160+),160,922,25,17,7,8,108,108,0,0,0,0,0,15,0,2,1,0,Crowns,False,False
Frigid Conical of The Void (Level 160+),160,807,25,16,7,9,0,95,3,0,0,0,0,17,0,2,0,1,Raid,False,False
Floramancer Helm of Bark (Level 160+),160,807,25,16,7,9,0,95,3,0,0,0,0,17,0,2,0,1,Crowns,False,False
Daemonic Crown of Freezing,170,948,25,12,5,10,148,0,5,0,0,0,0,17,0,2,0,1,Raid,False,False
Frigid Conical of The Nullity (Level 160+),160,922,25,11,5,10,144,0,5,0,0,0,0,15,0,2,0,1,Raid,False,False
Icy Imperial Court Helm (Level 170+),170,948,25,0,5,8,148,95,5,0,0,0,0,21,0,2,0,1,Gold Key/Gauntlet,False,False
Unwavering Chivalric Crown (Level 170+),170,948,25,0,5,8,148,95,5,0,0,0,0,21,0,2,0,1,Gold Key/Gauntlet,False,False
Alphoi Defender Helm,130,849,25,0,7,12,134,0,0,0,0,0,0,14,0,0,0,0,Crafting,False,False
Icy Paradox Conical,130,849,25,0,7,12,134,0,0,0,0,0,0,14,0,0,0,0,Drop/Vendor,False,False
Steely Protector's Helmet,165,818,25,0,0,7,109,74,3,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,False
Crisp Townie Kanga-Cap,160,807,25,0,0,7,108,68,3,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,False
Delightful Wonderneer Cap,140,744,25,0,5,14,92,0,2,0,0,0,0,18,0,0,0,0,Crafting,False,False
Uber Wonderneer Cap,140,744,25,0,5,14,92,0,2,0,0,0,0,18,0,0,0,0,Drop/Vendor,False,False
Great Inventor's Ice Hat (Level 150+),150,843,24,17,7,8,102,104,0,0,0,0,0,14,0,2,1,0,Crowns,False,False
