Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Unlocked Tear,Unlocked Circle,Unlocked Square,Unlocked Triangle,Locked Tear,Locked Circle,Locked Square,Locked Triangle,Source,Owned,Gear Set
Cruel Dream Reaver Ring,170,609,17,0,0,19,81,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Drop, Crafting, Crowns",False,None
Daemonic Ring of Freezing,170,0,17,0,0,21,81,0,0,0,0,10,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
Crystalline Aeon Ring,160,564,16,0,0,19,76,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Drop, Crafting, Crowns",False,None
Glistening Aeon Ring,160,564,16,0,0,19,76,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crafting,False,None
Glimmering Aeon Ring,160,564,16,0,0,19,76,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crafting,False,None
Nullity's Frigid Ring (Level 160+),160,501,16,0,0,21,76,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
Burrower's Thaumaturgy Ring (Level 160+),160,626,15,0,0,19,67,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Gold Key, Crowns",False,None
Hunhau's Comet Ring (Level 170+),170,609,15,0,0,21,71,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
Hunhau's Comet Ring (Level 160+),160,564,15,0,0,21,67,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
Cruel Dream Warper Ring,170,541,15,0,0,17,71,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop,False,None
Umbra Queen's Chill Loop (Level 170+),170,541,15,0,0,23,71,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Rematch,False,None
Wastelander's Chill Loop (Level 170+),170,541,15,0,0,23,71,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Crowns,False,None
Steely Enforcer's Ring,165,521,15,0,0,17,69,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop,False,None
Arctic Skyfarer's Band (Level 160+),160,501,15,0,0,23,67,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crowns,False,None
Crisp City Dweller Ring,160,501,15,0,0,17,67,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop,False,None
Malistaire's Chilly Band (Level 160+),160,501,15,0,0,23,67,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Rematch,False,None
Wastelander's Chill Loop (Level 160+),160,501,15,0,0,23,67,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Crowns,False,None
Executive Cryo Ring,138,209,15,0,0,0,66,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Drop, Bazaar",False,None
Crystalline Masterpiece Ring,160,501,14,0,0,15,67,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop,False,None
Glistening Ice Ring,155,478,14,0,0,15,65,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop,False,None
Director Cryo Ring,138,209,14,0,0,0,70,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"Drop, Bazaar",False,None
Chief's Cryo Ring,135,197,14,0,0,0,72,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Drop, Bazaar",False,None
Lead's Cryo Ring,135,197,14,0,0,0,66,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"Drop, Bazaar",False,None
Consultant Cryo Ring,132,186,14,0,0,0,57,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Drop, Bazaar",False,None
Cool Fairy Kei Ring (Level 170+),170,609,13,0,0,19,41,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crowns,False,None
Xibalba Comet Ring (Level 170+),170,609,13,0,0,19,41,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
Xibalba Comet Ring (Level 160+),160,564,13,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
Demiurge's Frigid Ring,150,559,13,0,0,19,72,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crafting,False,None
Merciless Ice Ring,150,559,13,0,0,19,72,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Drop, Crowns",False,None
Icy Imperial Court Band (Level 170+),170,541,13,0,0,21,41,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Gold Key, Crowns",False,None
Unwavering Chivalric Ring (Level 170+),170,541,13,0,0,21,41,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Gold Key, Crowns",False,None
Nullity's Frigid Ring (Level 150+),150,497,13,0,0,21,72,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop,False,None
Wastelander's Chill Loop (Level 150+),150,497,13,0,0,23,63,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Crowns,False,None
Steely Protector's Ring,165,456,13,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"Drop, Bazaar",False,None
Trooper Officer Band,150,455,13,0,0,15,63,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop,False,None
Crisp Townie Ring,160,439,13,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"Drop, Bazaar",False,None
Icy Liaison's Ring,130,186,13,0,0,0,63,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Quest,False,None
Specialist Cryo Ring,132,186,13,0,0,0,62,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Drop, Bazaar",False,None
Chilling Archival Band (Level 170+),170,676,12,0,0,0,41,0,0,0,0,10,0,0,0,0,0,0,0,2,0,1,0,"Housing Gauntlet, Crowns",False,None
Brisk Night Mire Ring,160,626,12,0,0,19,86,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Housing Gauntlet,False,None
Chill Night Mire Ring,160,626,12,0,0,19,86,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Housing Gauntlet,False,None
Icy Night Mire Ring (Level 160+),160,626,12,0,0,19,86,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Housing Gauntlet, Crowns",False,None
Chilling Archival Band (Level 160+),160,626,12,0,0,0,38,0,0,0,0,10,0,0,0,0,0,0,0,2,0,1,0,Crowns,False,None
Burrower's Thaumaturgy Ring (Level 150+),150,621,12,0,0,19,63,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crowns,False,None
Band of the Chilling Light,100,590,12,0,0,17,0,0,0,0,20,0,0,0,0,1,0,0,0,0,1,1,0,Stone Key,False,None
Golden Ice Ring,155,418,12,0,0,13,56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"Drop, Bazaar",False,None
Director Hazmat Ring,138,179,12,0,0,0,64,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"Drop, Bazaar",False,None
Executive Hazmat Ring,138,179,12,0,0,0,60,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Drop, Bazaar",False,None
Chief's Hazmat Ring,135,169,12,0,0,0,57,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Drop, Bazaar",False,None
