Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Sword Pins,Shield Pins,Power Pins,Source,Owned,Gear Set
Daemonic Armor of Freezing,170,1283,30,17,9,8,94,0,5,0,0,0,0,19,0,2,0,1,Raid,False,False
Frigid Robe of The Nullity (Level 160+),160,1271,30,16,9,8,89,0,4,0,0,0,0,18,0,2,0,1,Raid,False,False
Lightkeeper's Dive Suit (Level 160+),160,988,30,11,8,8,89,0,4,0,0,0,0,15,0,0,0,0,Gift Card,False,False
Frigid Robe of The Nullity (Level 150+),150,1124,29,16,8,8,85,0,4,0,0,0,0,14,0,0,0,0,Raid,False,False
Chilling Plot Armor (Level 170+),170,1711,27,21,6,9,82,161,5,0,0,0,0,0,0,2,0,1,Gold Key/Gauntlet,False,False
Icy Night Mire Coat (Level 160+),160,1695,27,20,6,9,78,144,4,0,0,0,0,0,0,2,0,1,Gold Key/Gauntlet,False,False
Icy Night Mire Coat (Level 150+),150,1499,27,19,5,9,75,136,4,0,0,0,0,0,0,2,0,1,Crowns,False,False
Ghastly Cerberus Master Armor (Level 150+),150,1499,27,19,5,9,75,136,0,0,0,0,0,0,0,0,0,0,Crowns,False,False
Hunhau's Comet Mail (Level 170+),170,1497,27,19,0,10,82,141,5,0,0,0,0,19,0,1,0,2,Raid,False,False
Hunhau's Comet Mail (Level 160+),160,1907,27,14,0,8,78,126,4,0,0,0,0,23,0,1,0,2,Raid,False,False
Umbra Queen's Chill Garment (Level 170+),170,1711,27,13,9,9,82,0,5,0,0,0,0,22,0,1,0,2,Drop/Vendor,False,False
Wastelander's Chill Armor (Level 170+),170,1711,27,13,9,9,82,0,5,0,0,0,0,22,0,1,0,2,Crowns,False,False
Arctic Skyfarer's Garb (Level 160+),160,1695,27,12,9,9,78,0,4,0,0,0,0,20,0,1,0,2,Crowns,False,False
