Name,Shape,Level,School,Effect
Unearthly Shadow Hematite +10,Triangle,170,Any,+10 Shadow Pip Rating
Unearthly Mending Opal +8%,Square,170,Any,+8 Outgoing Healing
Unearthly Mana Opal +68,Tear,170,Any,+68 Mana
Unearthly Conversion Sapphire +61,Triangle,170,Any,+61 Ice Pip Conversion Rating
Unearthly Conversion Ruby +60,Triangle,170,Any,+60 Fire Pip Conversion Rating
Unearthly Conversion Peridot +61,Triangle,170,Any,+61 Myth Pip Conversion Rating
Unearthly Conversion Onyx +62,Triangle,170,Any,+62 Death Pip Conversion Rating
Unearthly Conversion Jade +62,Triangle,170,Any,+62 Life Pip Conversion Rating
Unearthly Conversion Citrine +62,Triangle,170,Any,+62 Balance Pip Conversion Rating
Unearthly Conversion Amethyst +60,Triangle,170,Any,+60 Storm Pip Conversion Rating
Unearthly Archmastery Opal +45,Triangle,170,Any,+45 Archmastery Rating
Triage Jade,Tear,170,Any,Gives 1 Triage Item Card
Sun Trap Opal,Tear,170,Any,Gives 1 Sun Trap Item Card
Storm Blade Amethyst,Tear,170,Any,Gives 1 Stormblade Item Card
Star Blade Opal,Tear,170,Any,Gives 1 Star Blade Item Card
Spirit Blade Citrine,Tear,170,Any,Gives 1 Spirit Blade Item Card
Sharpened Blade Opal,Tear,170,Any,Gives 1 Sharpened Blade Item Card
Potent Trap Opal,Tear,170,Any,Gives 1 Potent Trap Item Card
Pierce Peridot,Tear,170,Any,Gives 1 Pierce Item Card
Myth Blade Peridot,Tear,170,Any,Gives 1 Mythblade Item Card
Moon Shield Opal,Tear,170,Any,Gives 1 Moon Shield Item Card
Life Blade Jade,Tear,170,Any,Gives 1 Lifeblade Item Card
Incapacitate Amethyst,Tear,170,Any,Gives 1 Incapacitate Item Card
Ice Blade Sapphire,Tear,170,Any,Gives 1 Iceblade Item Card
Fire Blade Ruby,Tear,170,Any,Gives 1 Fireblade Item Card
Feint Citrine,Tear,170,Any,Gives 1 Feint Item Card
Elemental Blade Citrine,Tear,170,Any,Gives 1 Elemental Blade Item Card
Disarm Onyx,Tear,170,Any,Gives 1 Disarm Item Card
Death Blade Onyx,Tear,170,Any,Gives 1 Deathblade Item Card
Cleanse Ward Ruby,Tear,170,Any,Gives 1 Cleanse Ward Item Card
Cleanse Charm Sapphire,Tear,170,Any,Gives 1 Cleanse Charm Item Card
Balance Blade Citrine,Tear,170,Any,Gives 1 Balanceblade Item Card
Unearthly Health Citrine +670,Square,170,Balance,+670 Health
Unearthly Damage Sapphire +10% (Balance),Circle,170,Balance,+10 Ice Damage
Unearthly Damage Ruby +10% (Balance),Circle,170,Balance,+10 Fire Damage
Unearthly Damage Peridot +10% (Balance),Circle,170,Balance,+10 Myth Damage
Unearthly Damage Onyx +10% (Balance),Circle,170,Balance,+10 Death Damage
Unearthly Damage Jade +10% (Balance),Circle,170,Balance,+10 Life Damage
Unearthly Damage Citrine +10% (Balance),Circle,170,Balance,+10 Balance Damage
Unearthly Damage Amethyst +10% (Balance),Circle,170,Balance,+10 Storm Damage
Unearthly Critical Sapphire +48 (Balance),Circle,170,Balance,+48 Ice Critical Rating
Unearthly Critical Ruby +48 (Balance),Circle,170,Balance,+48 Fire Critical Rating
Unearthly Critical Peridot +48 (Balance),Circle,170,Balance,+48 Myth Critical Rating
Unearthly Critical Onyx +48 (Balance),Circle,170,Balance,+48 Death Critical Rating
Unearthly Critical Jade +48 (Balance),Circle,170,Balance,+48 Life Critical Rating
Unearthly Critical Citrine +48 (Balance),Circle,170,Balance,+48 Balance Critical Rating
Unearthly Critical Amethyst +48 (Balance),Circle,170,Balance,+48 Storm Critical Rating
Unearthly Blocking Citrine +53,Square,170,Balance,+53 Global Critical Block Rating
Unearthly Health Onyx +650,Square,170,Death,+650 Health
Unearthly Damage Sapphire +11% (Death),Circle,170,Death,+11 Ice Damage
Unearthly Damage Ruby +11% (Death),Circle,170,Death,+11 Fire Damage
Unearthly Damage Peridot +11% (Death),Circle,170,Death,+11 Myth Damage
Unearthly Damage Onyx +11% (Death),Circle,170,Death,+11 Death Damage
Unearthly Damage Jade +11% (Death),Circle,170,Death,+11 Life Damage
Unearthly Damage Citrine +11% (Death),Circle,170,Death,+11 Balance Damage
Unearthly Damage Amethyst +11% (Death),Circle,170,Death,+11 Storm Damage
Unearthly Critical Sapphire +46 (Death),Circle,170,Death,+46 Ice Critical Rating
Unearthly Critical Ruby +46 (Death),Circle,170,Death,+46 Fire Critical Rating
Unearthly Critical Peridot +46 (Death),Circle,170,Death,+46 Myth Critical Rating
Unearthly Critical Onyx +46 (Death),Circle,170,Death,+46 Death Critical Rating
Unearthly Critical Jade +46 (Death),Circle,170,Death,+46 Life Critical Rating
Unearthly Critical Citrine +46 (Death),Circle,170,Death,+46 Balance Critical Rating
Unearthly Critical Amethyst +46 (Death),Circle,170,Death,+46 Storm Critical Rating
Unearthly Blocking Onyx +56,Square,170,Death,+56 Global Critical Block Rating
Unearthly Health Ruby +595,Square,170,Fire,+595 Health
Unearthly Damage Sapphire +10% (Fire),Circle,170,Fire,+10 Ice Damage
Unearthly Damage Ruby +10% (Fire),Circle,170,Fire,+10 Fire Damage
Unearthly Damage Peridot +10% (Fire),Circle,170,Fire,+10 Myth Damage
Unearthly Damage Onyx +10% (Fire),Circle,170,Fire,+10 Death Damage
Unearthly Damage Jade +10% (Fire),Circle,170,Fire,+10 Life Damage
Unearthly Damage Citrine +10% (Fire),Circle,170,Fire,+10 Balance Damage
Unearthly Damage Amethyst +10% (Fire),Circle,170,Fire,+10 Storm Damage
Unearthly Critical Sapphire +50 (Fire),Circle,170,Fire,+50 Ice Critical Rating
Unearthly Critical Ruby +50 (Fire),Circle,170,Fire,+50 Fire Critical Rating
Unearthly Critical Peridot +50 (Fire),Circle,170,Fire,+50 Myth Critical Rating
Unearthly Critical Onyx +50 (Fire),Circle,170,Fire,+50 Death Critical Rating
Unearthly Critical Jade +50 (Fire),Circle,170,Fire,+50 Life Critical Rating
Unearthly Critical Citrine +50 (Fire),Circle,170,Fire,+50 Balance Critical Rating
Unearthly Critical Amethyst +50 (Fire),Circle,170,Fire,+50 Storm Critical Rating
Unearthly Blocking Ruby +52,Square,170,Fire,+52 Global Critical Block Rating
Unearthly Health Sapphire +735,Square,170,Ice,+735 Health
Unearthly Damage Sapphire +9% (Ice),Circle,170,Ice,+9 Ice Damage
Unearthly Damage Ruby +9% (Ice),Circle,170,Ice,+9 Fire Damage
Unearthly Damage Peridot +9% (Ice),Circle,170,Ice,+9 Myth Damage
Unearthly Damage Onyx +9% (Ice),Circle,170,Ice,+9 Death Damage
Unearthly Damage Jade +9% (Ice),Circle,170,Ice,+9 Life Damage
Unearthly Damage Citrine +9% (Ice),Circle,170,Ice,+9 Balance Damage
Unearthly Damage Amethyst +9% (Ice),Circle,170,Ice,+9 Storm Damage
Unearthly Critical Sapphire +42 (Ice),Circle,170,Ice,+42 Ice Critical Rating
Unearthly Critical Ruby +42 (Ice),Circle,170,Ice,+42 Fire Critical Rating
Unearthly Critical Peridot +42 (Ice),Circle,170,Ice,+42 Myth Critical Rating
Unearthly Critical Onyx +42 (Ice),Circle,170,Ice,+42 Death Critical Rating
Unearthly Critical Jade +42 (Ice),Circle,170,Ice,+42 Life Critical Rating
Unearthly Critical Citrine +42 (Ice),Circle,170,Ice,+42 Balance Critical Rating
Unearthly Critical Amethyst +42 (Ice),Circle,170,Ice,+42 Storm Critical Rating
