Name,Shape,Level,Effect
Unearthly Health Citrine +670,Square,170,+670 Health
Unearthly Damage Citrine +10% (Balance),Circle,170,+10 Balance Damage
Flawless Health Opal +155,Tear,155,+155 Health
Flawless Defense Opal +34,Square,155,+34 Global Flat Resistance
Flawless Damage Citrine +34,Circle,155,+34 Balance Flat Damage
Flawless Accurate Citrine +16%,Triangle,155,+16 Balance Accuracy
Amazing Health Opal +145,Tear,145,+145 Health
Amazing Defense Opal +32,Square,145,+32 Global Flat Resistance
Amazing Damage Citrine +32,Circle,145,+32 Balance Flat Damage
Amazing Accurate Citrine +15%,Triangle,145,+15 Balance Accuracy
Dazzling Health Opal +135,Tear,135,+135 Health
Dazzling Defense Opal +30,Square,135,+30 Global Flat Resistance
Dazzling Damage Citrine +30,Circle,135,+30 Balance Flat Damage
Dazzling Accurate Citrine +14%,Triangle,135,+14 Balance Accuracy
Sparkling Health Opal +125,Tear,125,+125 Health
Sparkling Defense Opal +28,Square,125,+28 Global Flat Resistance
Sparkling Damage Citrine +28,Circle,125,+28 Balance Flat Damage
Sparkling Accurate Citrine +13%,Triangle,125,+13 Balance Accuracy
Shiny Health Opal +115,Tear,115,+115 Health
Shiny Defense Opal +26,Square,115,+26 Global Flat Resistance
Shiny Damage Citrine +26,Circle,115,+26 Balance Flat Damage
Shiny Accurate Citrine +12%,Triangle,115,+12 Balance Accuracy
Epic Opal,Triangle,115,Gives 1 Epic Item Card
Lustrous PIP Opal +10%,Triangle,105,+10 Power Pip Chance
Lustrous Health Opal +105,Tear,105,+105 Health
Lustrous Defense Opal +24,Square,105,+24 Global Flat Resistance
Lustrous Damage Citrine +24,Circle,105,+24 Balance Flat Damage
Lustrous Accurate Citrine +11%,Triangle,105,+11 Balance Accuracy
Polished Piercing Citrine +6%,Circle,95,+6 Balance Armor Piercing
Polished PIP Opal +9%,Triangle,95,+9 Power Pip Chance
Polished Health Opal +95,Tear,95,+95 Health
Polished Defense Opal +22,Square,95,+22 Global Flat Resistance
Polished Damage Citrine +22,Circle,95,+22 Balance Flat Damage
Polished Accurate Citrine +10%,Triangle,95,+10 Balance Accuracy
Colossal Opal,Triangle,95,Gives 1 Colossal Item Card
Clear Piercing Citrine +5%,Circle,85,+5 Balance Armor Piercing
Clear PIP Opal +8%,Triangle,85,+8 Power Pip Chance
Clear Health Opal +85,Tear,85,+85 Health
Clear Defense Opal +20,Square,85,+20 Global Flat Resistance
Clear Damage Citrine +20,Circle,85,+20 Balance Flat Damage
Clear Accurate Citrine +9%,Triangle,85,+9 Balance Accuracy
Opaque Piercing Citrine +4%,Circle,75,+4 Balance Armor Piercing
Opaque PIP Opal +7%,Triangle,75,+7 Power Pip Chance
Opaque Health Opal +75,Tear,75,+75 Health
Opaque Defense Opal +18,Square,75,+18 Global Flat Resistance
Opaque Damage Citrine +18,Circle,75,+18 Balance Flat Damage
Opaque Accurate Citrine +8%,Triangle,75,+8 Balance Accuracy
Plain Piercing Citrine +3%,Circle,65,+3 Balance Armor Piercing
Plain PIP Opal +6%,Triangle,65,+6 Power Pip Chance
Plain Health Opal +65,Tear,65,+65 Health
Plain Defense Opal +16,Square,65,+16 Global Flat Resistance
Plain Damage Citrine +16,Circle,65,+16 Balance Flat Damage
Plain Accurate Citrine +7%,Triangle,65,+7 Balance Accuracy
Dull Piercing Citrine +2%,Circle,55,+2 Balance Armor Piercing
Dull PIP Opal +5%,Triangle,55,+5 Power Pip Chance
Dull Health Opal +55,Tear,55,+55 Health
Dull Defense Opal +14,Square,55,+14 Global Flat Resistance
Dull Damage Citrine +14,Circle,55,+14 Balance Flat Damage
Dull Accurate Citrine +6%,Triangle,55,+6 Balance Accuracy
Blemished PIP Opal +4%,Triangle,45,+4 Power Pip Chance
Blemished Health Opal +45,Tear,45,+45 Health
Blemished Defense Opal +12,Square,45,+12 Global Flat Resistance
Blemished Damage Citrine +12,Circle,45,+12 Balance Flat Damage
Blemished Accurate Citrine +5%,Triangle,45,+5 Balance Accuracy
Flawed PIP Opal +3%,Triangle,35,+3 Power Pip Chance
Flawed Health Opal +35,Tear,35,+35 Health
Flawed Defense Opal +10,Square,35,+10 Global Flat Resistance
Flawed Damage Citrine +10,Circle,35,+10 Balance Flat Damage
Flawed Accurate Citrine +4%,Triangle,35,+4 Balance Accuracy
Chipped PIP Opal +2%,Triangle,25,+2 Power Pip Chance
Chipped Health Opal +25,Tear,25,+25 Health
Chipped Defense Opal +8,Square,25,+8 Global Flat Resistance
Chipped Damage Citrine +8,Circle,25,+8 Balance Flat Damage
Chipped Accurate Citrine +3%,Triangle,25,+3 Balance Accuracy
Cracked Health Opal +15,Tear,15,+15 Health
Cracked Defense Opal +6,Square,15,+6 Global Flat Resistance
Cracked Damage Citrine +6,Circle,15,+6 Balance Flat Damage
Cracked Accurate Citrine +2%,Triangle,15,+2 Balance Accuracy
Cracked Archmastery Opal +1 (Tear),Tear,1,+1 Archmastery Rating
Cracked Archmastery Opal +1 (Square),Square,1,+1 Archmastery Rating
