Name,Shape,Level,Effect
Unearthly Health Onyx +650,Square,170,+650 Health
Unearthly Damage Onyx +11% (Death),Circle,170,+11 Death Damage
Flawless Health Opal +155,Tear,155,+155 Health
Flawless Defense Opal +34,Square,155,+34 Global Flat Resistance
Flawless Damage Onyx +34,Circle,155,+34 Death Flat Damage
Flawless Accurate Onyx +16%,Triangle,155,+16 Death Accuracy
Amazing Health Opal +145,Tear,145,+145 Health
Amazing Defense Opal +32,Square,145,+32 Global Flat Resistance
Amazing Damage Onyx +32,Circle,145,+32 Death Flat Damage
Amazing Accurate Onyx +15%,Triangle,145,+15 Death Accuracy
Dazzling Health Opal +135,Tear,135,+135 Health
Dazzling Defense Opal +30,Square,135,+30 Global Flat Resistance
Dazzling Damage Onyx +30,Circle,135,+30 Death Flat Damage
Dazzling Accurate Onyx +14%,Triangle,135,+14 Death Accuracy
Sparkling Health Opal +125,Tear,125,+125 Health
Sparkling Defense Opal +28,Square,125,+28 Global Flat Resistance
Sparkling Damage Onyx +28,Circle,125,+28 Death Flat Damage
Sparkling Accurate Onyx +13%,Triangle,125,+13 Death Accuracy
Shiny Health Opal +115,Tear,115,+115 Health
Shiny Defense Opal +26,Square,115,+26 Global Flat Resistance
Shiny Damage Onyx +26,Circle,115,+26 Death Flat Damage
Shiny Accurate Onyx +12%,Triangle,115,+12 Death Accuracy
Epic Opal,Triangle,115,Gives 1 Epic Item Card
Lustrous PIP Opal +10%,Triangle,105,+10 Power Pip Chance
Lustrous Health Opal +105,Tear,105,+105 Health
Lustrous Defense Opal +24,Square,105,+24 Global Flat Resistance
Lustrous Damage Onyx +24,Circle,105,+24 Death Flat Damage
Lustrous Accurate Onyx +11%,Triangle,105,+11 Death Accuracy
Polished Piercing Onyx +6%,Circle,95,+6 Death Armor Piercing
Polished PIP Opal +9%,Triangle,95,+9 Power Pip Chance
Polished Health Opal +95,Tear,95,+95 Health
Polished Defense Opal +22,Square,95,+22 Global Flat Resistance
Polished Damage Onyx +22,Circle,95,+22 Death Flat Damage
Polished Accurate Onyx +10%,Triangle,95,+10 Death Accuracy
Colossal Opal,Triangle,95,Gives 1 Colossal Item Card
Clear Piercing Onyx +5%,Circle,85,+5 Death Armor Piercing
Clear PIP Opal +8%,Triangle,85,+8 Power Pip Chance
Clear Health Opal +85,Tear,85,+85 Health
Clear Defense Opal +20,Square,85,+20 Global Flat Resistance
Clear Damage Onyx +20,Circle,85,+20 Death Flat Damage
Clear Accurate Onyx +9%,Triangle,85,+9 Death Accuracy
Opaque Piercing Onyx +4%,Circle,75,+4 Death Armor Piercing
Opaque PIP Opal +7%,Triangle,75,+7 Power Pip Chance
Opaque Health Opal +75,Tear,75,+75 Health
Opaque Defense Opal +18,Square,75,+18 Global Flat Resistance
Opaque Damage Onyx +18,Circle,75,+18 Death Flat Damage
Opaque Accurate Onyx +8%,Triangle,75,+8 Death Accuracy
Plain Piercing Onyx +3%,Circle,65,+3 Death Armor Piercing
Plain PIP Opal +6%,Triangle,65,+6 Power Pip Chance
Plain Health Opal +65,Tear,65,+65 Health
Plain Defense Opal +16,Square,65,+16 Global Flat Resistance
Plain Damage Onyx +16,Circle,65,+16 Death Flat Damage
Plain Accurate Onyx +7%,Triangle,65,+7 Death Accuracy
Dull Piercing Onyx +2%,Circle,55,+2 Death Armor Piercing
Dull PIP Opal +5%,Triangle,55,+5 Power Pip Chance
Dull Health Opal +55,Tear,55,+55 Health
Dull Defense Opal +14,Square,55,+14 Global Flat Resistance
Dull Damage Onyx +14,Circle,55,+14 Death Flat Damage
Dull Accurate Onyx +6%,Triangle,55,+6 Death Accuracy
Blemished PIP Opal +4%,Triangle,45,+4 Power Pip Chance
Blemished Health Opal +45,Tear,45,+45 Health
Blemished Defense Opal +12,Square,45,+12 Global Flat Resistance
Blemished Damage Onyx +12,Circle,45,+12 Death Flat Damage
Blemished Accurate Onyx +5%,Triangle,45,+5 Death Accuracy
Flawed PIP Opal +3%,Triangle,35,+3 Power Pip Chance
Flawed Health Opal +35,Tear,35,+35 Health
Flawed Defense Opal +10,Square,35,+10 Global Flat Resistance
Flawed Damage Onyx +10,Circle,35,+10 Death Flat Damage
Flawed Accurate Onyx +4%,Triangle,35,+4 Death Accuracy
Chipped PIP Opal +2%,Triangle,25,+2 Power Pip Chance
Chipped Health Opal +25,Tear,25,+25 Health
Chipped Defense Opal +8,Square,25,+8 Global Flat Resistance
Chipped Damage Onyx +8,Circle,25,+8 Death Flat Damage
Chipped Accurate Onyx +3%,Triangle,25,+3 Death Accuracy
Cracked Health Opal +15,Tear,15,+15 Health
Cracked Defense Opal +6,Square,15,+6 Global Flat Resistance
Cracked Damage Onyx +6,Circle,15,+6 Death Flat Damage
Cracked Accurate Onyx +2%,Triangle,15,+2 Death Accuracy
Cracked Archmastery Opal +1 (Tear),Tear,1,+1 Archmastery Rating
Cracked Archmastery Opal +1 (Square),Square,1,+1 Archmastery Rating
