Name,Shape,Level,Effect
Unearthly Health Ruby +595,Square,170,+595 Health
Unearthly Damage Ruby +10% (Fire),Circle,170,+10 Fire Damage
Flawless Health Opal +155,Tear,155,+155 Health
Flawless Defense Opal +34,Square,155,+34 Global Flat Resistance
Flawless Damage Ruby +34,Circle,155,+34 Fire Flat Damage
Flawless Accurate Ruby +16%,Triangle,155,+16 Fire Accuracy
Amazing Health Opal +145,Tear,145,+145 Health
Amazing Defense Opal +32,Square,145,+32 Global Flat Resistance
Amazing Damage Ruby +32,Circle,145,+32 Fire Flat Damage
Amazing Accurate Ruby +15%,Triangle,145,+15 Fire Accuracy
Dazzling Health Opal +135,Tear,135,+135 Health
Dazzling Defense Opal +30,Square,135,+30 Global Flat Resistance
Dazzling Damage Ruby +30,Circle,135,+30 Fire Flat Damage
Dazzling Accurate Ruby +14%,Triangle,135,+14 Fire Accuracy
Sparkling Health Opal +125,Tear,125,+125 Health
Sparkling Defense Opal +28,Square,125,+28 Global Flat Resistance
Sparkling Damage Ruby +28,Circle,125,+28 Fire Flat Damage
Sparkling Accurate Ruby +13%,Triangle,125,+13 Fire Accuracy
Shiny Health Opal +115,Tear,115,+115 Health
Shiny Defense Opal +26,Square,115,+26 Global Flat Resistance
Shiny Damage Ruby +26,Circle,115,+26 Fire Flat Damage
Shiny Accurate Ruby +12%,Triangle,115,+12 Fire Accuracy
Epic Opal,Triangle,115,Gives 1 Epic Item Card
Lustrous PIP Opal +10%,Triangle,105,+10 Power Pip Chance
Lustrous Health Opal +105,Tear,105,+105 Health
Lustrous Defense Opal +24,Square,105,+24 Global Flat Resistance
Lustrous Damage Ruby +24,Circle,105,+24 Fire Flat Damage
Lustrous Accurate Ruby +11%,Triangle,105,+11 Fire Accuracy
Polished Piercing Ruby +6%,Circle,95,+6 Fire Armor Piercing
Polished PIP Opal +9%,Triangle,95,+9 Power Pip Chance
Polished Health Opal +95,Tear,95,+95 Health
Polished Defense Opal +22,Square,95,+22 Global Flat Resistance
Polished Damage Ruby +22,Circle,95,+22 Fire Flat Damage
Polished Accurate Ruby +10%,Triangle,95,+10 Fire Accuracy
Colossal Opal,Triangle,95,Gives 1 Colossal Item Card
Clear Piercing Ruby +5%,Circle,85,+5 Fire Armor Piercing
Clear PIP Opal +8%,Triangle,85,+8 Power Pip Chance
Clear Health Opal +85,Tear,85,+85 Health
Clear Defense Opal +20,Square,85,+20 Global Flat Resistance
Clear Damage Ruby +20,Circle,85,+20 Fire Flat Damage
Clear Accurate Ruby +9%,Triangle,85,+9 Fire Accuracy
Opaque Piercing Ruby +4%,Circle,75,+4 Fire Armor Piercing
Opaque PIP Opal +7%,Triangle,75,+7 Power Pip Chance
Opaque Health Opal +75,Tear,75,+75 Health
Opaque Defense Opal +18,Square,75,+18 Global Flat Resistance
Opaque Damage Ruby +18,Circle,75,+18 Fire Flat Damage
Opaque Accurate Ruby +8%,Triangle,75,+8 Fire Accuracy
Plain Piercing Ruby +3%,Circle,65,+3 Fire Armor Piercing
Plain PIP Opal +6%,Triangle,65,+6 Power Pip Chance
Plain Health Opal +65,Tear,65,+65 Health
Plain Defense Opal +16,Square,65,+16 Global Flat Resistance
Plain Damage Ruby +16,Circle,65,+16 Fire Flat Damage
Plain Accurate Ruby +7%,Triangle,65,+7 Fire Accuracy
Dull Piercing Ruby +2%,Circle,55,+2 Fire Armor Piercing
Dull PIP Opal +5%,Triangle,55,+5 Power Pip Chance
Dull Health Opal +55,Tear,55,+55 Health
Dull Defense Opal +14,Square,55,+14 Global Flat Resistance
Dull Damage Ruby +14,Circle,55,+14 Fire Flat Damage
Dull Accurate Ruby +6%,Triangle,55,+6 Fire Accuracy
Blemished PIP Opal +4%,Triangle,45,+4 Power Pip Chance
Blemished Health Opal +45,Tear,45,+45 Health
Blemished Defense Opal +12,Square,45,+12 Global Flat Resistance
Blemished Damage Ruby +12,Circle,45,+12 Fire Flat Damage
Blemished Accurate Ruby +5%,Triangle,45,+5 Fire Accuracy
Flawed PIP Opal +3%,Triangle,35,+3 Power Pip Chance
Flawed Health Opal +35,Tear,35,+35 Health
Flawed Defense Opal +10,Square,35,+10 Global Flat Resistance
Flawed Damage Ruby +10,Circle,35,+10 Fire Flat Damage
Flawed Accurate Ruby +4%,Triangle,35,+4 Fire Accuracy
Chipped PIP Opal +2%,Triangle,25,+2 Power Pip Chance
Chipped Health Opal +25,Tear,25,+25 Health
Chipped Defense Opal +8,Square,25,+8 Global Flat Resistance
Chipped Damage Ruby +8,Circle,25,+8 Fire Flat Damage
Chipped Accurate Ruby +3%,Triangle,25,+3 Fire Accuracy
Cracked Health Opal +15,Tear,15,+15 Health
Cracked Defense Opal +6,Square,15,+6 Global Flat Resistance
Cracked Damage Ruby +6,Circle,15,+6 Fire Flat Damage
Cracked Accurate Ruby +2%,Triangle,15,+2 Fire Accuracy
Cracked Archmastery Opal +1 (Tear),Tear,1,+1 Archmastery Rating
Cracked Archmastery Opal +1 (Square),Square,1,+1 Archmastery Rating
