Name,Shape,Level,Effect
Unearthly Health Sapphire +735,Square,170,+735 Health
Unearthly Damage Sapphire +9% (Ice),Circle,170,+9 Ice Damage
Flawless Health Opal +155,Tear,155,+155 Health
Flawless Defense Opal +34,Square,155,+34 Global Flat Resistance
Flawless Damage Sapphire +34,Circle,155,+34 Ice Flat Damage
Flawless Accurate Sapphire +16%,Triangle,155,+16 Ice Accuracy
Amazing Health Opal +145,Tear,145,+145 Health
Amazing Defense Opal +32,Square,145,+32 Global Flat Resistance
Amazing Damage Sapphire +32,Circle,145,+32 Ice Flat Damage
Amazing Accurate Sapphire +15%,Triangle,145,+15 Ice Accuracy
Dazzling Health Opal +135,Tear,135,+135 Health
Dazzling Defense Opal +30,Square,135,+30 Global Flat Resistance
Dazzling Damage Sapphire +30,Circle,135,+30 Ice Flat Damage
Dazzling Accurate Sapphire +14%,Triangle,135,+14 Ice Accuracy
Sparkling Health Opal +125,Tear,125,+125 Health
Sparkling Defense Opal +28,Square,125,+28 Global Flat Resistance
Sparkling Damage Sapphire +28,Circle,125,+28 Ice Flat Damage
Sparkling Accurate Sapphire +13%,Triangle,125,+13 Ice Accuracy
Shiny Health Opal +115,Tear,115,+115 Health
Shiny Defense Opal +26,Square,115,+26 Global Flat Resistance
Shiny Damage Sapphire +26,Circle,115,+26 Ice Flat Damage
Shiny Accurate Sapphire +12%,Triangle,115,+12 Ice Accuracy
Epic Opal,Triangle,115,Gives 1 Epic Item Card
Lustrous PIP Opal +10%,Triangle,105,+10 Power Pip Chance
Lustrous Health Opal +105,Tear,105,+105 Health
Lustrous Defense Opal +24,Square,105,+24 Global Flat Resistance
Lustrous Damage Sapphire +24,Circle,105,+24 Ice Flat Damage
Lustrous Accurate Sapphire +11%,Triangle,105,+11 Ice Accuracy
Polished Piercing Sapphire +6%,Circle,95,+6 Ice Armor Piercing
Polished PIP Opal +9%,Triangle,95,+9 Power Pip Chance
Polished Health Opal +95,Tear,95,+95 Health
Polished Defense Opal +22,Square,95,+22 Global Flat Resistance
Polished Damage Sapphire +22,Circle,95,+22 Ice Flat Damage
Polished Accurate Sapphire +10%,Triangle,95,+10 Ice Accuracy
Colossal Opal,Triangle,95,Gives 1 Colossal Item Card
Clear Piercing Sapphire +5%,Circle,85,+5 Ice Armor Piercing
Clear PIP Opal +8%,Triangle,85,+8 Power Pip Chance
Clear Health Opal +85,Tear,85,+85 Health
Clear Defense Opal +20,Square,85,+20 Global Flat Resistance
Clear Damage Sapphire +20,Circle,85,+20 Ice Flat Damage
Clear Accurate Sapphire +9%,Triangle,85,+9 Ice Accuracy
Opaque Piercing Sapphire +4%,Circle,75,+4 Ice Armor Piercing
Opaque PIP Opal +7%,Triangle,75,+7 Power Pip Chance
Opaque Health Opal +75,Tear,75,+75 Health
Opaque Defense Opal +18,Square,75,+18 Global Flat Resistance
Opaque Damage Sapphire +18,Circle,75,+18 Ice Flat Damage
Opaque Accurate Sapphire +8%,Triangle,75,+8 Ice Accuracy
Plain Piercing Sapphire +3%,Circle,65,+3 Ice Armor Piercing
Plain PIP Opal +6%,Triangle,65,+6 Power Pip Chance
Plain Health Opal +65,Tear,65,+65 Health
Plain Defense Opal +16,Square,65,+16 Global Flat Resistance
Plain Damage Sapphire +16,Circle,65,+16 Ice Flat Damage
Plain Accurate Sapphire +7%,Triangle,65,+7 Ice Accuracy
Dull Piercing Sapphire +2%,Circle,55,+2 Ice Armor Piercing
Dull PIP Opal +5%,Triangle,55,+5 Power Pip Chance
Dull Health Opal +55,Tear,55,+55 Health
Dull Defense Opal +14,Square,55,+14 Global Flat Resistance
Dull Damage Sapphire +14,Circle,55,+14 Ice Flat Damage
Dull Accurate Sapphire +6%,Triangle,55,+6 Ice Accuracy
Blemished PIP Opal +4%,Triangle,45,+4 Power Pip Chance
Blemished Health Opal +45,Tear,45,+45 Health
Blemished Defense Opal +12,Square,45,+12 Global Flat Resistance
Blemished Damage Sapphire +12,Circle,45,+12 Ice Flat Damage
Blemished Accurate Sapphire +5%,Triangle,45,+5 Ice Accuracy
Flawed PIP Opal +3%,Triangle,35,+3 Power Pip Chance
Flawed Health Opal +35,Tear,35,+35 Health
Flawed Defense Opal +10,Square,35,+10 Global Flat Resistance
Flawed Damage Sapphire +10,Circle,35,+10 Ice Flat Damage
Flawed Accurate Sapphire +4%,Triangle,35,+4 Ice Accuracy
Chipped PIP Opal +2%,Triangle,25,+2 Power Pip Chance
Chipped Health Opal +25,Tear,25,+25 Health
Chipped Defense Opal +8,Square,25,+8 Global Flat Resistance
Chipped Damage Sapphire +8,Circle,25,+8 Ice Flat Damage
Chipped Accurate Sapphire +3%,Triangle,25,+3 Ice Accuracy
Cracked Health Opal +15,Tear,15,+15 Health
Cracked Defense Opal +6,Square,15,+6 Global Flat Resistance
Cracked Damage Sapphire +6,Circle,15,+6 Ice Flat Damage
Cracked Accurate Sapphire +2%,Triangle,15,+2 Ice Accuracy
Cracked Archmastery Opal +1 (Tear),Tear,1,+1 Archmastery Rating
Cracked Archmastery Opal +1 (Square),Square,1,+1 Archmastery Rating
