Name,Shape,Level,Effect
Unearthly Health Jade +775,Square,170,+775 Health
Unearthly Damage Jade +9% (Life),Circle,170,+9 Life Damage
Flawless Health Opal +155,Tear,155,+155 Health
Flawless Defense Opal +34,Square,155,+34 Global Flat Resistance
Flawless Damage Jade +34,Circle,155,+34 Life Flat Damage
Flawless Accurate Jade +16%,Triangle,155,+16 Life Accuracy
Amazing Health Opal +145,Tear,145,+145 Health
Amazing Defense Opal +32,Square,145,+32 Global Flat Resistance
Amazing Damage Jade +32,Circle,145,+32 Life Flat Damage
Amazing Accurate Jade +15%,Triangle,145,+15 Life Accuracy
Dazzling Health Opal +135,Tear,135,+135 Health
Dazzling Defense Opal +30,Square,135,+30 Global Flat Resistance
Dazzling Damage Jade +30,Circle,135,+30 Life Flat Damage
Dazzling Accurate Jade +14%,Triangle,135,+14 Life Accuracy
Sparkling Health Opal +125,Tear,125,+125 Health
Sparkling Defense Opal +28,Square,125,+28 Global Flat Resistance
Sparkling Damage Jade +28,Circle,125,+28 Life Flat Damage
Sparkling Accurate Jade +13%,Triangle,125,+13 Life Accuracy
Shiny Health Opal +115,Tear,115,+115 Health
Shiny Defense Opal +26,Square,115,+26 Global Flat Resistance
Shiny Damage Jade +26,Circle,115,+26 Life Flat Damage
Shiny Accurate Jade +12%,Triangle,115,+12 Life Accuracy
Epic Opal,Triangle,115,Gives 1 Epic Item Card
Lustrous PIP Opal +10%,Triangle,105,+10 Power Pip Chance
Lustrous Health Opal +105,Tear,105,+105 Health
Lustrous Defense Opal +24,Square,105,+24 Global Flat Resistance
Lustrous Damage Jade +24,Circle,105,+24 Life Flat Damage
Lustrous Accurate Jade +11%,Triangle,105,+11 Life Accuracy
Polished Piercing Jade +6%,Circle,95,+6 Life Armor Piercing
Polished PIP Opal +9%,Triangle,95,+9 Power Pip Chance
Polished Health Opal +95,Tear,95,+95 Health
Polished Defense Opal +22,Square,95,+22 Global Flat Resistance
Polished Damage Jade +22,Circle,95,+22 Life Flat Damage
Polished Accurate Jade +10%,Triangle,95,+10 Life Accuracy
Colossal Opal,Triangle,95,Gives 1 Colossal Item Card
Clear Piercing Jade +5%,Circle,85,+5 Life Armor Piercing
Clear PIP Opal +8%,Triangle,85,+8 Power Pip Chance
Clear Health Opal +85,Tear,85,+85 Health
Clear Defense Opal +20,Square,85,+20 Global Flat Resistance
Clear Damage Jade +20,Circle,85,+20 Life Flat Damage
Clear Accurate Jade +9%,Triangle,85,+9 Life Accuracy
Opaque Piercing Jade +4%,Circle,75,+4 Life Armor Piercing
Opaque PIP Opal +7%,Triangle,75,+7 Power Pip Chance
Opaque Health Opal +75,Tear,75,+75 Health
Opaque Defense Opal +18,Square,75,+18 Global Flat Resistance
Opaque Damage Jade +18,Circle,75,+18 Life Flat Damage
Opaque Accurate Jade +8%,Triangle,75,+8 Life Accuracy
Plain Piercing Jade +3%,Circle,65,+3 Life Armor Piercing
Plain PIP Opal +6%,Triangle,65,+6 Power Pip Chance
Plain Health Opal +65,Tear,65,+65 Health
Plain Defense Opal +16,Square,65,+16 Global Flat Resistance
Plain Damage Jade +16,Circle,65,+16 Life Flat Damage
Plain Accurate Jade +7%,Triangle,65,+7 Life Accuracy
Dull Piercing Jade +2%,Circle,55,+2 Life Armor Piercing
Dull PIP Opal +5%,Triangle,55,+5 Power Pip Chance
Dull Health Opal +55,Tear,55,+55 Health
Dull Defense Opal +14,Square,55,+14 Global Flat Resistance
Dull Damage Jade +14,Circle,55,+14 Life Flat Damage
Dull Accurate Jade +6%,Triangle,55,+6 Life Accuracy
Blemished PIP Opal +4%,Triangle,45,+4 Power Pip Chance
Blemished Health Opal +45,Tear,45,+45 Health
Blemished Defense Opal +12,Square,45,+12 Global Flat Resistance
Blemished Damage Jade +12,Circle,45,+12 Life Flat Damage
Blemished Accurate Jade +5%,Triangle,45,+5 Life Accuracy
Flawed PIP Opal +3%,Triangle,35,+3 Power Pip Chance
Flawed Health Opal +35,Tear,35,+35 Health
Flawed Defense Opal +10,Square,35,+10 Global Flat Resistance
Flawed Damage Jade +10,Circle,35,+10 Life Flat Damage
Flawed Accurate Jade +4%,Triangle,35,+4 Life Accuracy
Chipped PIP Opal +2%,Triangle,25,+2 Power Pip Chance
Chipped Health Opal +25,Tear,25,+25 Health
Chipped Defense Opal +8,Square,25,+8 Global Flat Resistance
Chipped Damage Jade +8,Circle,25,+8 Life Flat Damage
Chipped Accurate Jade +3%,Triangle,25,+3 Life Accuracy
Cracked Health Opal +15,Tear,15,+15 Health
Cracked Defense Opal +6,Square,15,+6 Global Flat Resistance
Cracked Damage Jade +6,Circle,15,+6 Life Flat Damage
Cracked Accurate Jade +2%,Triangle,15,+2 Life Accuracy
Cracked Archmastery Opal +1 (Tear),Tear,1,+1 Archmastery Rating
Cracked Archmastery Opal +1 (Square),Square,1,+1 Archmastery Rating
