Name,Shape,Level,Effect
Unearthly Health Sapphire +735,Square,170,+735 Health
Unearthly Health Ruby +595,Square,170,+595 Health
Unearthly Health Peridot +595,Square,170,+595 Health
Unearthly Health Onyx +650,Square,170,+650 Health
Unearthly Health Jade +775,Square,170,+775 Health
Unearthly Health Citrine +670,Square,170,+670 Health
Unearthly Health Amethyst +525,Square,170,+525 Health
Unearthly Damage Sapphire +9% (Ice),Circle,170,+9 Ice Damage
Unearthly Damage Ruby +10% (Fire),Circle,170,+10 Fire Damage
Unearthly Damage Peridot +10% (Myth),Circle,170,+10 Myth Damage
Unearthly Damage Onyx +11% (Death),Circle,170,+11 Death Damage
Unearthly Damage Jade +9% (Life),Circle,170,+9 Life Damage
Unearthly Damage Citrine +10% (Balance),Circle,170,+10 Balance Damage
Unearthly Damage Amethyst +11% (Storm),Circle,170,+11 Storm Damage
Flawless Health Opal +155,Tear,155,+155 Health
Flawless Defense Opal +34,Square,155,+34 Global Flat Resistance
Flawless Damage Sapphire +34,Circle,155,+34 Ice Flat Damage
Flawless Damage Ruby +34,Circle,155,+34 Fire Flat Damage
Flawless Damage Peridot +34,Circle,155,+34 Myth Flat Damage
Flawless Damage Onyx +34,Circle,155,+34 Death Flat Damage
Flawless Damage Jade +34,Circle,155,+34 Life Flat Damage
Flawless Damage Citrine +34,Circle,155,+34 Balance Flat Damage
Flawless Damage Amethyst +34,Circle,155,+34 Storm Flat Damage
Flawless Accurate Sapphire +16%,Triangle,155,+16 Ice Accuracy
Flawless Accurate Ruby +16%,Triangle,155,+16 Fire Accuracy
Flawless Accurate Peridot +16%,Triangle,155,+16 Myth Accuracy
Flawless Accurate Onyx +16%,Triangle,155,+16 Death Accuracy
Flawless Accurate Jade +16%,Triangle,155,+16 Life Accuracy
Flawless Accurate Citrine +16%,Triangle,155,+16 Balance Accuracy
Flawless Accurate Amethyst +16%,Triangle,155,+16 Storm Accuracy
Amazing Health Opal +145,Tear,145,+145 Health
Amazing Defense Opal +32,Square,145,+32 Global Flat Resistance
Amazing Damage Sapphire +32,Circle,145,+32 Ice Flat Damage
Amazing Damage Ruby +32,Circle,145,+32 Fire Flat Damage
Amazing Damage Peridot +32,Circle,145,+32 Myth Flat Damage
Amazing Damage Onyx +32,Circle,145,+32 Death Flat Damage
Amazing Damage Jade +32,Circle,145,+32 Life Flat Damage
Amazing Damage Citrine +32,Circle,145,+32 Balance Flat Damage
Amazing Damage Amethyst +32,Circle,145,+32 Storm Flat Damage
Amazing Accurate Sapphire +15%,Triangle,145,+15 Ice Accuracy
Amazing Accurate Ruby +15%,Triangle,145,+15 Fire Accuracy
Amazing Accurate Peridot +15%,Triangle,145,+15 Myth Accuracy
Amazing Accurate Onyx +15%,Triangle,145,+15 Death Accuracy
Amazing Accurate Jade +15%,Triangle,145,+15 Life Accuracy
Amazing Accurate Citrine +15%,Triangle,145,+15 Balance Accuracy
Amazing Accurate Amethyst +15%,Triangle,145,+15 Storm Accuracy
Dazzling Health Opal +135,Tear,135,+135 Health
Dazzling Defense Opal +30,Square,135,+30 Global Flat Resistance
Dazzling Damage Sapphire +30,Circle,135,+30 Ice Flat Damage
Dazzling Damage Ruby +30,Circle,135,+30 Fire Flat Damage
Dazzling Damage Peridot +30,Circle,135,+30 Myth Flat Damage
Dazzling Damage Onyx +30,Circle,135,+30 Death Flat Damage
Dazzling Damage Jade +30,Circle,135,+30 Life Flat Damage
Dazzling Damage Citrine +30,Circle,135,+30 Balance Flat Damage
Dazzling Damage Amethyst +30,Circle,135,+30 Storm Flat Damage
Dazzling Accurate Sapphire +14%,Triangle,135,+14 Ice Accuracy
Dazzling Accurate Ruby +14%,Triangle,135,+14 Fire Accuracy
Dazzling Accurate Peridot +14%,Triangle,135,+14 Myth Accuracy
Dazzling Accurate Onyx +14%,Triangle,135,+14 Death Accuracy
Dazzling Accurate Jade +14%,Triangle,135,+14 Life Accuracy
Dazzling Accurate Citrine +14%,Triangle,135,+14 Balance Accuracy
Dazzling Accurate Amethyst +14%,Triangle,135,+14 Storm Accuracy
Sparkling Health Opal +125,Tear,125,+125 Health
Sparkling Defense Opal +28,Square,125,+28 Global Flat Resistance
Sparkling Damage Sapphire +28,Circle,125,+28 Ice Flat Damage
Sparkling Damage Ruby +28,Circle,125,+28 Fire Flat Damage
Sparkling Damage Peridot +28,Circle,125,+28 Myth Flat Damage
Sparkling Damage Onyx +28,Circle,125,+28 Death Flat Damage
Sparkling Damage Jade +28,Circle,125,+28 Life Flat Damage
Sparkling Damage Citrine +28,Circle,125,+28 Balance Flat Damage
Sparkling Damage Amethyst +28,Circle,125,+28 Storm Flat Damage
Sparkling Accurate Sapphire +13%,Triangle,125,+13 Ice Accuracy
Sparkling Accurate Ruby +13%,Triangle,125,+13 Fire Accuracy
Sparkling Accurate Peridot +13%,Triangle,125,+13 Myth Accuracy
Sparkling Accurate Onyx +13%,Triangle,125,+13 Death Accuracy
Sparkling Accurate Jade +13%,Triangle,125,+13 Life Accuracy
Sparkling Accurate Citrine +13%,Triangle,125,+13 Balance Accuracy
Sparkling Accurate Amethyst +13%,Triangle,125,+13 Storm Accuracy
Shiny Health Opal +115,Tear,115,+115 Health
Shiny Defense Opal +26,Square,115,+26 Global Flat Resistance
Shiny Damage Sapphire +26,Circle,115,+26 Ice Flat Damage
Shiny Damage Ruby +26,Circle,115,+26 Fire Flat Damage
Shiny Damage Peridot +26,Circle,115,+26 Myth Flat Damage
Shiny Damage Onyx +26,Circle,115,+26 Death Flat Damage
Shiny Damage Jade +26,Circle,115,+26 Life Flat Damage
Shiny Damage Citrine +26,Circle,115,+26 Balance Flat Damage
Shiny Damage Amethyst +26,Circle,115,+26 Storm Flat Damage
Shiny Accurate Sapphire +12%,Triangle,115,+12 Ice Accuracy
Shiny Accurate Ruby +12%,Triangle,115,+12 Fire Accuracy
Shiny Accurate Peridot +12%,Triangle,115,+12 Myth Accuracy
Shiny Accurate Onyx +12%,Triangle,115,+12 Death Accuracy
Shiny Accurate Jade +12%,Triangle,115,+12 Life Accuracy
Shiny Accurate Citrine +12%,Triangle,115,+12 Balance Accuracy
