Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Sword Pins,Shield Pins,Power Pins,Source,Owned,Gear Set
Lovely Fairy Kei Shoes (Level 170+),170,1235,37,15,3,0,128,167,5,0,0,0,0,16,0,2,0,1,Crowns,False,False
Xibalba Xenoform Boots (Level 170+),170,1235,37,15,3,0,128,167,5,0,0,0,0,16,0,2,0,1,Raid,False,False
Xibalba Xenoform Boots (Level 160+),160,964,37,14,3,0,120,155,5,0,0,0,0,14,0,2,0,1,Raid,False,False
Bold Dream Reaver Boots,170,1587,37,12,3,8,128,167,5,0,0,0,0,0,0,2,0,1,Drop/Vendor,False,False
Inspired Aeon Boots,160,1239,37,11,3,8,120,155,5,0,0,0,0,0,0,2,0,1,Drop/Vendor,False,False
Demiurge's Creation Greaves,150,1106,35,11,3,8,115,147,4,0,0,0,0,0,0,0,0,0,Crafting,False,False
Merciless Life Boots,150,1106,35,11,3,8,115,147,4,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,False
Burrower's Theurgy Boots (Level 160+),160,1101,34,15,0,6,105,177,5,0,0,0,0,14,0,1,1,1,Gold Key/Gauntlet,False,False
Vibrant Page Treaders (Level 170+),170,1763,34,13,4,6,112,191,5,0,0,0,0,0,0,1,1,1,Gold Key/Gauntlet,False,False
Umbra Queen's Wild Heels (Level 170+),170,1058,34,13,4,9,112,0,5,0,0,0,0,16,0,2,0,1,Drop/Vendor,False,False
Wastelander's Wild Boots (Level 170+),170,1058,34,13,4,9,112,0,5,0,0,0,0,16,0,2,0,1,Crowns,False,False
Hunhau's Xenoform Boots (Level 170+),170,1587,34,12,0,7,112,167,5,0,0,0,0,18,0,2,0,1,Raid,False,False
Lively Night Mire Boots (Level 160+),160,1376,34,12,4,6,105,177,5,0,0,0,0,0,0,1,1,1,Gold Key/Gauntlet,False,False
Vibrant Page Treaders (Level 160+),160,1376,34,12,4,6,105,177,5,0,0,0,0,0,0,1,1,1,Crowns,False,False
Malistaire's Thorny Boots (Level 160+),160,826,34,12,4,9,105,0,5,0,0,0,0,14,0,2,0,1,Crafting,False,False
Wastelander's Wild Boots (Level 160+),160,826,34,12,4,9,105,0,5,0,0,0,0,14,0,2,0,1,Crowns,False,False
Thrilling Skyfarer's Boots (Level 160+),160,826,34,12,4,9,0,0,5,0,0,0,0,14,0,2,0,1,Crowns,False,False
Hunhau's Xenoform Boots (Level 160+),160,1239,34,11,0,7,105,155,5,0,0,0,0,16,0,2,0,1,Raid,False,False
Bold Dream Warper Boots,170,1411,34,0,3,7,112,143,5,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,False
Dynamic Enforcer's Boots,165,1256,34,0,3,7,109,138,5,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,False
