Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Flat Damage,Flat Resist,Sword Pins,Shield Pins,Power Pins,Source,Owned,Gear Set
Lovely Fairy Kei Conical (Level 170+),170,954,32,13,5,0,160,104,5,0,0,0,0,19,0,0,0,2,1,0,Crowns,False,None
Xibalba Xenoform Helm (Level 170+),170,954,32,13,5,0,160,104,5,0,0,0,0,19,0,0,0,2,1,0,Raid,False,None
Xibalba Xenoform Helm (Level 160+),160,914,32,12,5,0,152,91,5,0,0,0,0,17,0,0,0,2,1,0,Raid,False,None
Bold Dream Reaver Hood,170,1226,32,10,5,11,160,104,5,0,0,0,0,0,0,0,0,2,1,0,"Drop, Crafting, Crowns",False,None
Inspired Aeon Helm,160,1175,32,10,5,11,152,91,5,0,0,0,0,0,0,0,0,2,1,0,"Drop, Crafting, Crowns",False,None
Lovely Fairy Kei Conical (Level 150+),150,835,30,12,5,0,144,87,4,0,0,0,0,16,0,0,0,2,1,0,Crowns,False,None
Demiurge's Creation Helm,150,1073,30,10,5,11,144,87,4,0,0,0,0,0,0,0,0,0,0,0,Crafting,False,None
Merciless Life Cap,150,1073,30,10,5,11,144,87,4,0,0,0,0,0,0,0,0,0,0,0,"Drop, Crowns",False,None
Moolinda's Hardy Headwrap (Level 150+),150,1073,30,10,5,11,144,87,4,0,0,0,0,0,0,0,0,0,0,0,Crowns,False,None
Shadoe's Hat of the Night (Level 150+),150,880,30,0,0,0,99,0,0,9,0,0,0,19,0,0,0,0,0,0,Crowns,False,None
Shadoe's Hat of Justice (Level 150+),150,660,30,0,0,0,132,0,3,0,0,0,0,19,0,0,0,0,0,0,Crowns,False,None
Burrower's Theurgy Hood (Level 160+),160,1044,29,13,0,8,133,104,5,0,0,0,0,17,0,0,0,2,1,0,"Gold Key, Crowns",False,None
Vibrant Hardback Helmet (Level 170+),170,1362,29,12,6,8,140,119,5,0,0,0,0,0,0,0,0,2,1,0,"Housing Gauntlet, Crowns",False,None
Umbra Queen's Wild Crown (Level 170+),170,818,29,12,6,13,140,0,5,0,0,0,0,19,0,0,0,2,0,1,Rematch,False,None
Wastelander's Wild Hat (Level 170+),170,818,29,12,6,13,140,0,5,0,0,0,0,19,0,0,0,2,0,1,Crowns,False,None
Lively Night Mire Top Hat (Level 160+),160,1305,29,11,6,8,133,104,5,0,0,0,0,0,0,0,0,2,1,0,"Housing Gauntlet, Crowns",False,None
Vibrant Hardback Helmet (Level 160+),160,1305,29,11,6,8,133,104,5,0,0,0,0,0,0,0,0,2,1,0,Crowns,False,None
Malistaire's Thorny Locks (Level 160+),160,783,29,11,6,13,133,0,5,0,0,0,0,17,0,0,0,2,0,1,Rematch,False,None
Thrilling Skyfarer's Douli Hat (Level 160+),160,783,29,11,6,13,133,0,5,0,0,0,0,17,0,0,0,2,0,1,Crowns,False,None
Wastelander's Wild Hat (Level 160+),160,783,29,11,6,13,133,0,5,0,0,0,0,17,0,0,0,2,0,1,Crowns,False,None
Hunhau's Xenoform Helm (Level 170+),170,1226,29,10,0,10,140,104,5,0,0,0,0,21,0,0,0,2,1,0,Raid,False,None
Hunhau's Xenoform Helm (Level 160+),160,1175,29,10,0,10,133,91,5,0,0,0,0,19,0,0,0,2,1,0,Raid,False,None
Inspired Masterpiece Helm,160,1044,29,8,0,0,132,78,4,0,0,0,0,15,0,0,0,0,0,0,Drop,False,None
Bold Dream Warper Hood,170,1090,29,0,4,10,140,89,5,0,0,0,0,0,0,0,0,0,0,0,Drop,False,None
Dynamic Enforcer's Helmet,165,1067,29,0,4,10,137,84,5,0,0,0,0,0,0,0,0,0,0,0,Drop,False,None
Vibrant City Dweller Kanga-Cap,160,1044,29,0,4,10,133,78,5,0,0,0,0,0,0,0,0,0,0,0,Drop,False,None
Glorious Chivalric Crown (Level 140+),140,810,29,0,8,0,90,0,3,0,0,0,0,12,0,0,0,0,0,0,Crowns,False,None
Supreme Lifeforce Hat,148,725,29,0,0,10,149,0,0,0,0,0,0,19,0,0,0,0,0,0,"Drop, Bazaar",False,None
Moolinda's Hardy Headwrap (Level 140+),140,969,28,9,5,9,137,85,4,0,0,0,0,0,0,0,0,0,0,0,Crowns,False,None
Outback Adventurer's Hat (Level 160+),160,666,28,9,0,8,126,84,4,0,0,0,0,17,0,0,0,0,0,0,Gift Card,False,None
Veggilante Helmet,135,767,28,0,0,13,146,0,0,0,0,0,0,17,0,0,0,0,0,0,Crowns,False,None
Creepy Clown Mask (Level 140+),140,682,28,0,7,11,138,0,4,0,0,0,0,15,0,0,0,0,0,0,Gift Card,False,None
Sweetish Chef Hat (Level 130+),130,504,28,0,6,15,113,0,4,0,0,0,0,16,0,0,0,0,0,0,Gift Card,False,Sweetish Chef Set
Burrower's Theurgy Hood (Level 150+),150,954,27,13,0,8,126,100,4,0,0,0,0,16,0,0,0,2,1,0,Crowns,False,None
Lively Night Mire Top Hat (Level 150+),150,1192,27,11,6,6,126,100,4,0,0,0,0,0,0,0,0,2,1,0,Crowns,False,None
Grisly Cerberus Master Helm (Level 150+),150,1192,27,11,6,8,126,100,0,0,0,0,0,0,0,0,0,0,0,0,Crowns,False,None
Thrilling Skyfarer's Douli Hat (Level 150+),150,716,27,11,6,13,126,0,4,0,0,0,0,16,0,0,0,2,0,1,Crowns,False,None
Wastelander's Wild Hat (Level 150+),150,716,27,11,6,13,126,0,4,0,0,0,0,16,0,0,0,2,0,1,Crowns,False,None
Malistaire's Spirited Locks (Level 150+),150,716,27,11,6,13,126,0,0,0,0,12,0,16,0,0,0,0,0,0,Crowns,False,None
Glistening Life Helmet,155,942,27,9,0,0,129,76,4,0,0,0,0,14,0,0,0,0,0,0,Drop,False,None
Outback Adventurer's Hat (Level 150+),150,612,27,9,0,8,119,80,3,0,0,0,0,16,0,0,0,0,0,0,Gift Card,False,None
Malevolent Life Cap,150,849,27,0,4,14,106,0,3,0,0,0,0,18,0,0,0,0,0,0,Drop,False,None
Supreme Jungle Hat,148,828,27,0,5,12,0,0,0,0,0,0,0,18,0,0,0,0,0,0,"Drop, Bazaar",False,None
Black New Year's Top Cloche (Level 150+),150,821,27,0,0,15,142,0,0,0,0,0,0,19,0,0,0,0,0,0,Crowns,False,None
Black New Year's Top Hat (Level 150+),150,821,27,0,0,15,142,0,0,0,0,0,0,19,0,0,0,0,0,0,Crowns,False,None
Shadoe's Hat of the Night (Level 140+),140,792,27,0,0,0,89,0,0,8,0,0,0,18,0,0,0,0,0,0,Crowns,False,None
Glorious Chivalric Crown (Level 130+),130,735,27,0,8,0,90,0,3,0,0,0,0,10,0,0,0,0,0,0,Crowns,False,None
Hierarch's Lifeforce Hat,145,673,27,0,0,10,140,0,0,0,0,0,0,18,0,0,0,0,0,0,"Drop, Bazaar",False,None
Shadoe's Hat of Justice (Level 140+),140,594,27,0,0,0,119,0,3,0,0,0,0,18,0,0,0,0,0,0,Crowns,False,None
Pet Trainer Conical (Level 130+),130,543,27,0,9,9,0,0,0,0,0,0,0,16,0,0,0,0,0,0,Gift Card,False,None
Bold Dream Stalker Hood,170,1090,26,14,7,10,0,119,4,0,0,0,0,17,0,0,0,2,1,0,Crafting,False,None
Eternal Inspired Helm,160,1044,26,13,7,10,114,104,0,0,0,0,0,15,0,0,0,2,1,0,Crafting,False,None
Great Inventor's Life Hat (Level 160+),160,1044,26,13,7,10,114,104,0,0,0,0,0,15,0,0,0,2,1,0,Crowns,False,None
Unreal Crown of Health,170,954,26,13,7,11,0,104,4,0,0,0,0,19,0,0,0,2,0,1,Raid,False,None
Floramancer Helm of Life (Level 160+),160,914,26,12,7,11,0,91,4,0,0,0,0,17,0,0,0,2,0,1,Crowns,False,None
Lively Conical of The Void (Level 160+),160,914,26,12,7,11,0,91,4,0,0,0,0,17,0,0,0,2,0,1,Raid,False,None
Vibrant Hardback Helmet (Level 140+),140,1076,26,10,6,7,120,97,4,0,0,0,0,0,0,0,0,2,1,0,Crowns,False,None
Grisly Cerberus Master Helm (Level 140+),140,1076,26,10,6,7,120,97,0,0,0,0,0,0,0,0,0,0,0,0,Crowns,False,None
Lively Night Mire Top Hat (Level 140+),140,1076,26,10,6,7,120,97,0,0,0,0,0,0,0,0,0,0,0,0,Crowns,False,None
Thrilling Skyfarer's Douli Hat (Level 140+),140,646,26,10,6,11,120,0,0,0,0,12,0,14,0,0,0,0,0,0,Crowns,False,None
Daemonic Crown of Health,170,1090,26,9,5,12,160,0,6,0,0,0,0,17,0,0,0,2,0,1,Raid,False,None
Lively Conical of The Nullity (Level 160+),160,1044,26,8,5,12,152,0,6,0,0,0,0,15,0,0,0,2,0,1,Raid,False,None
Outback Adventurer's Hat (Level 140+),140,560,26,8,0,7,0,76,3,0,0,0,0,14,0,0,0,0,0,0,Gift Card,False,None
Arcane Beach Hat (Level 170+),170,767,26,6,8,0,130,130,5,0,0,0,0,0,0,0,0,0,0,0,Gift Card,False,None
Spring Palace Helmet (Level 170+),170,1090,26,0,5,10,160,89,6,0,0,0,0,21,0,0,0,2,0,1,"Gold Key, Crowns",False,None
Vivid Imperial Court Helm (Level 170+),170,1090,26,0,5,10,160,89,6,0,0,0,0,21,0,0,0,2,0,1,"Gold Key, Crowns",False,None
Dynamic Protector's Helmet,165,934,26,0,0,8,117,70,4,0,0,0,0,0,0,0,0,0,0,0,"Drop, Bazaar",False,None
Supreme Preservation Hat,148,932,26,0,0,14,0,0,0,0,0,5,0,17,0,0,0,0,0,0,"Drop, Bazaar",False,None
Vibrant Townie Kanga-Cap,160,914,26,0,0,8,114,65,4,0,0,0,0,0,0,0,0,0,0,0,"Drop, Bazaar",False,None
Night King's Crown (Level 140+),140,850,26,0,0,13,0,0,0,0,11,12,0,12,0,0,0,0,0,0,Crowns,False,None
Magician's Life Cap,150,828,26,0,4,13,106,0,3,0,0,0,0,17,0,0,0,0,0,0,Drop,False,None
Astromancer's Cowl (Level 140+),140,795,26,0,0,15,106,0,0,0,0,0,0,18,0,0,0,0,0,0,Crowns,False,None
Hierarch's Jungle Hat,145,776,26,0,5,11,0,0,0,0,0,0,0,17,0,0,0,0,0,0,"Drop, Bazaar",False,None
Allfather's Helm (Level 140+),140,732,26,0,0,9,148,0,0,5,0,0,0,17,0,0,0,0,0,0,Crowns,False,None
Cap of Tomorrow (Level 140+),140,682,26,0,8,13,123,0,0,0,3,0,0,15,0,0,0,0,0,0,Gift Card,False,None
Rokugo Helmet (Level 140+),140,680,26,0,4,13,131,0,3,0,0,0,0,12,0,0,0,0,0,0,Crowns,False,None
Prairie Rambler's Hat (Level 140+),140,650,26,0,7,14,162,0,0,0,0,0,0,18,0,0,0,0,0,0,Crowns,False,None
Lemurian Lifeforce Hat,142,621,26,0,0,9,140,0,0,0,0,0,0,17,0,0,0,0,0,0,"Drop, Bazaar",False,None
Creepy Clown Mask (Level 130+),130,620,26,0,7,11,132,0,4,0,0,0,0,14,0,0,0,0,0,0,Gift Card,False,None
Drum Jungle Tribal Helm (Level 130+),130,599,26,0,8,10,118,0,0,0,0,0,0,16,0,0,0,0,0,0,Crowns,False,None
Medic Officer Hat,150,898,25,8,0,0,126,74,4,0,0,0,0,13,0,0,0,0,0,0,Drop,False,None
Arcane Beach Hat (Level 160+),160,766,25,6,8,0,124,124,4,0,0,0,0,0,0,0,0,0,0,0,Gift Card,False,None
Lightkeeper's Dive Helmet (Level 160+),160,666,25,6,5,10,144,0,5,0,0,0,0,15,0,0,0,0,0,0,Gift Card,False,None
Delightful Sweetsmith Cap,140,800,25,0,4,15,99,0,2,0,0,0,0,18,0,0,0,0,0,0,Crafting,False,None
Uber Sweetsmith Cap,140,800,25,0,4,15,99,0,2,0,0,0,0,18,0,0,0,0,0,0,Drop,False,None
Alphoi Guerilla Helm,130,790,25,0,5,13,134,0,0,0,0,0,0,14,0,0,0,0,0,0,Crafting,False,None
Lively Paradox Conical,130,790,25,0,5,13,134,0,0,0,0,0,0,14,0,0,0,0,0,0,Unavailable,False,None
Monarch's Diadem (Level 130+),130,729,25,0,7,12,146,0,0,0,0,0,0,16,0,0,0,0,0,0,Gift Card,False,None
Helm of the Briny Deep (Level 130+),130,729,25,0,0,13,140,0,0,9,0,7,0,16,0,0,0,0,0,0,Gift Card,False,None
Dwarven Helmet,125,698,25,0,0,12,120,0,0,0,0,0,0,13,0,0,0,0,0,0,Crowns,False,None
Merry Sleeping Cap (Level 150+),150,670,25,0,0,14,127,0,0,0,0,0,0,19,0,0,0,0,0,0,Crowns,False,None
Sinister Harlequin Mask (Level 130+),130,620,25,0,0,11,151,0,4,0,7,0,0,15,0,0,0,0,0,0,Gift Card,False,None
Sweetish Chef Hat (Level 120+),120,389,25,0,6,15,102,0,3,0,0,0,0,15,0,0,0,0,0,0,Gift Card,False,Sweetish Chef Set
Great Inventor's Life Hat (Level 150+),150,954,24,13,7,10,108,100,0,0,0,0,0,14,0,0,0,2,1,0,Crowns,False,None
Highlands Militia Balmoral (Level 150+),150,954,24,13,7,10,108,100,0,0,0,0,0,14,0,0,0,0,0,0,Crowns,False,None
Lively Conical of The Void (Level 150+),150,835,24,12,7,11,0,87,3,0,0,12,0,16,0,0,0,0,0,0,Raid,False,None
Burrower's Theurgy Hood (Level 130+),130,768,24,12,0,7,0,88,3,0,0,0,0,13,0,0,0,0,0,0,Crowns,False,None
Witchcrafter's Conical (Level 160+),160,766,24,11,0,8,0,84,4,15,0,0,0,0,0,0,0,0,0,0,Gift Card,False,None
