Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Flat Damage,Flat Resist,Unlocked Tear,Unlocked Circle,Unlocked Square,Unlocked Triangle,Locked Tear,Locked Circle,Locked Square,Locked Triangle,Source,Owned,Gear Set
Nullity's Lively Ring (Level 160+),160,952,15,0,0,23,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
Bold Dream Reaver Ring,170,701,15,0,0,20,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Drop, Crafting, Crowns",False,None
Impressive Aeon Ring,160,666,15,0,0,20,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crafting,False,None
Inspirited Aeon Ring,160,666,15,0,0,20,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crafting,False,None
Inspired Aeon Ring,160,666,15,0,0,20,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Drop, Crafting, Crowns",False,None
Executive Survival Ring,138,188,15,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Drop, Bazaar",False,None
Daemonic Ring of Health,170,0,15,0,0,23,89,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
Burrower's Theurgy Ring (Level 160+),160,740,14,0,0,20,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Gold Key, Crowns",False,None
Hunhau's Xenoform Ring (Level 170+),170,701,14,0,0,23,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
Hunhau's Xenoform Ring (Level 160+),160,666,14,0,0,23,70,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
Bold Dream Warper Ring,170,623,14,0,0,18,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop,False,None
Umbra Queen's Wild Loop (Level 170+),170,623,14,0,0,25,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Rematch,False,None
Wastelander's Wild Loop (Level 170+),170,623,14,0,0,25,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Crowns,False,None
Dynamic Enforcer's Ring,165,608,14,0,0,18,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop,False,None
Inspired Masterpiece Ring,160,592,14,0,0,18,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop,False,None
Malistaire's Thorny Band (Level 160+),160,592,14,0,0,25,70,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1,1,1,0,Rematch,False,None
Thrilling Skyfarer's Band (Level 160+),160,592,14,0,0,25,70,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1,1,1,0,Crowns,False,None
Vibrant City Dweller Ring,160,592,14,0,0,18,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop,False,None
Wastelander's Wild Loop (Level 160+),160,592,14,0,0,25,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Crowns,False,None
Glistening Life Ring,155,511,14,0,0,17,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop,False,None
Director Survival Ring,138,188,14,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"Drop, Bazaar",False,None
Chief's Survival Ring,135,178,14,0,0,0,72,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Drop, Bazaar",False,None
Lead's Survival Ring,135,178,14,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"Drop, Bazaar",False,None
Consultant Survival Ring,132,167,14,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Drop, Bazaar",False,None
Demiurge's Creation Ring,150,649,13,0,0,20,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crafting,False,None
Merciless Life Ring,150,649,13,0,0,20,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Drop, Crowns",False,None
Nullity's Lively Ring (Level 150+),150,577,13,0,0,22,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop,False,None
Wastelander's Wild Loop (Level 150+),150,577,13,0,0,24,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Crowns,False,None
Medic Officer Band,150,486,13,0,0,17,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop,False,None
Specialist Survival Ring,132,167,13,0,0,0,66,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Drop, Bazaar",False,None
Lively Liaison's Ring,130,167,13,0,0,0,63,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Quest,False,None
Burrower's Theurgy Ring (Level 150+),150,721,12,0,0,20,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crowns,False,None
Lovely Fairy Kei Band (Level 170+),170,701,12,0,0,20,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crowns,False,None
Xibalba Xenoform Ring (Level 170+),170,701,12,0,0,20,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
Xibalba Xenoform Ring (Level 160+),160,666,12,0,0,20,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
Spring Palace Ring (Level 170+),170,623,12,0,0,23,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Gold Key, Crowns",False,None
Vivid Imperial Court Band (Level 170+),170,623,12,0,0,23,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Gold Key, Crowns",False,None
Thrilling Skyfarer's Band (Level 150+),150,577,12,0,0,24,67,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,1,1,0,Crowns,False,None
Dynamic Protector's Ring,165,532,12,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"Drop, Bazaar",False,None
Vibrant Townie Ring,160,518,12,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"Drop, Bazaar",False,None
Ring of the Usurper,100,480,12,0,0,17,0,0,0,0,12,12,0,0,0,0,0,1,0,0,0,0,1,1,0,Stone Key,False,None
Golden Life Ring,155,447,12,0,0,15,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"Drop, Bazaar",False,None
Director Hazmat Ring,138,179,12,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"Drop, Bazaar",False,None
Executive Hazmat Ring,138,179,12,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Drop, Bazaar",False,None
Chief's Hazmat Ring,135,169,12,0,0,0,57,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Drop, Bazaar",False,None
Vibrant Archival Band (Level 170+),170,778,11,0,0,0,101,0,0,0,0,16,0,0,0,0,0,0,0,0,0,2,0,1,0,"Housing Gauntlet, Crowns",False,None
Lively Night Mire Ring (Level 160+),160,740,11,0,0,20,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Housing Gauntlet, Crowns",False,None
Marshy Night Mire Ring,160,740,11,0,0,20,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Housing Gauntlet,False,None
Swampy Night Mire Ring,160,740,11,0,0,20,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Housing Gauntlet,False,None
Vibrant Archival Band (Level 160+),160,740,11,0,0,0,90,0,0,0,0,16,0,0,0,0,0,0,0,0,0,2,0,1,0,Crowns,False,None
Thrilling Skyfarer's Band (Level 140+),140,564,11,0,0,24,64,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,1,1,0,Crowns,False,None
Wastelander's Wild Loop (Level 140+),140,564,11,0,0,24,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Crowns,False,None
Wastelander's Wild Loop (Level 130+),130,550,11,0,0,23,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Crowns,False,None
Regulation Medic Band,150,426,11,0,0,14,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"Drop, Bazaar",False,None
Leaf Shield Ring of Ardor,96,355,11,0,0,14,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Drop,False,None
Malevolent Life Ring,150,335,11,0,0,0,88,0,0,0,24,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Drop,False,None
Magician's Life Ring,150,328,11,0,0,0,85,0,0,0,0,24,0,0,0,0,0,0,0,1,0,0,1,0,0,Drop,False,None
Delightful Sweetsmith Ring,140,314,11,0,0,0,90,0,0,0,21,0,0,0,0,0,0,1,0,1,0,0,1,0,0,Crafting,False,None
Uber Sweetsmith Ring,140,314,11,0,0,0,90,0,0,0,21,0,0,0,0,0,0,1,0,1,0,0,1,0,0,Drop,False,None
Supreme Jungle Ring,148,311,11,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"Drop, Bazaar",False,None
Supreme Lifeforce Ring,148,311,11,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Drop, Bazaar",False,None
Hierarch's Lifeforce Ring,145,293,11,0,0,0,71,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Drop, Bazaar",False,None
Lead's Hazmat Ring,135,169,11,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"Drop, Bazaar",False,None
