Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Sword Pins,Shield Pins,Power Pins,Source,Owned,Gear Set
Daemonic Armor of Health,170,1428,33,16,8,9,106,0,6,0,0,0,0,19,0,2,0,1,Raid,False,False
Lively Robe of The Nullity (Level 160+),160,1361,33,15,8,9,97,0,5,0,0,0,0,18,0,2,0,1,Raid,False,False
Vibrant Plot Armor (Level 170+),170,1904,30,19,5,10,93,150,5,0,0,0,0,0,0,2,0,1,Gold Key/Gauntlet,False,False
Lively Night Mire Coat (Level 160+),160,1814,30,18,5,10,85,136,5,0,0,0,0,0,0,2,0,1,Gold Key/Gauntlet,False,False
Vibrant Plot Armor (Level 160+),160,1814,30,18,5,10,85,136,5,0,0,0,0,0,0,2,0,1,Crowns,False,False
Hunhau's Xenoform Mail (Level 170+),170,1666,30,18,0,11,93,131,5,0,0,0,0,19,0,1,0,2,Raid,False,False
Lively Robe of The Nullity (Level 150+),150,1211,30,14,8,9,92,0,5,0,0,0,0,14,0,0,0,0,Raid,False,False
Hunhau's Xenoform Mail (Level 160+),160,2041,30,13,0,9,85,119,5,0,0,0,0,23,0,1,0,2,Raid,False,False
Umbra Queen's Wild Garment (Level 170+),170,1904,30,12,8,10,93,0,5,0,0,0,0,22,0,1,0,2,Drop/Vendor,False,False
Wastelander's Wild Armor (Level 170+),170,1904,30,12,8,10,93,0,5,0,0,0,0,22,0,1,0,2,Crowns,False,False
Malistaire's Thorny Vestment (Level 160+),160,1814,30,11,8,10,85,0,5,0,0,0,0,20,0,1,0,2,Drop/Vendor,False,False
Thrilling Skyfarer's Garb (Level 160+),160,1814,30,11,8,10,85,0,5,0,0,0,0,20,0,1,0,2,Crowns,False,False
Wastelander's Wild Armor (Level 160+),160,1814,30,11,8,10,85,0,5,0,0,0,0,20,0,1,0,2,Crowns,False,False
Bold Dream Reaver Armor,170,1666,27,18,7,8,106,131,7,0,0,0,0,0,0,2,0,1,Drop/Vendor,False,False
Lively Night Mire Coat (Level 150+),150,1614,27,17,5,10,81,130,5,0,0,0,0,0,0,2,0,1,Crowns,False,False
Grisly Cerberus Master Armor (Level 150+),150,1614,27,17,5,10,81,130,0,0,0,0,0,0,0,0,0,0,Crowns,False,False
Inspired Aeon Cape,160,1587,27,17,7,8,97,119,6,0,0,0,0,0,0,2,0,1,Drop/Vendor,False,False
Bold Dream Stalker Armor,170,2379,27,16,6,11,0,150,5,0,0,0,0,19,0,1,0,2,Crafting,False,False
Vibrant Plot Armor (Level 140+),140,1412,27,16,5,10,79,126,5,0,0,0,0,0,0,2,0,1,Crowns,False,False
Grisly Cerberus Master Armor (Level 140+),140,1412,27,16,5,10,79,126,0,0,0,0,0,0,0,0,0,0,Crowns,False,False
Lively Night Mire Coat (Level 140+),140,1412,27,16,5,10,79,126,0,0,0,0,0,0,0,0,0,0,Crowns,False,False
Eternal Inspired Cape,160,2267,27,15,6,11,73,136,0,0,0,0,0,18,0,1,0,2,Crafting,False,False
Great Inventor's Life Coat (Level 160+),160,2267,27,15,6,11,73,136,0,0,0,0,0,18,0,1,0,2,Crowns,False,False
Lovely Fairy Kei Suit (Level 170+),170,2142,27,14,7,0,106,131,7,0,0,0,0,17,0,2,0,1,Crowns,False,False
Xibalba Xenoform Mail (Level 170+),170,2142,27,14,7,0,106,131,7,0,0,0,0,17,0,2,0,1,Raid,False,False
Unreal Armor of Health,170,2142,27,14,7,12,0,131,5,0,0,0,0,22,0,1,0,2,Raid,False,False
Xibalba Xenoform Mail (Level 160+),160,2041,27,13,5,0,97,102,6,0,0,0,0,20,0,2,0,1,Raid,False,False
Floramancer Armor of Life (Level 160+),160,2041,27,13,7,12,0,119,4,0,0,0,0,20,0,1,0,2,Crowns,False,False
Lively Robe of The Void (Level 160+),160,2041,27,13,7,12,0,119,4,0,0,0,0,20,0,1,0,2,Raid,False,False
Thrilling Skyfarer's Garb (Level 150+),150,1614,27,11,8,10,81,0,5,0,0,0,0,19,0,1,0,2,Crowns,False,False
Wastelander's Wild Armor (Level 150+),150,1614,27,11,8,10,81,0,5,0,0,0,0,19,0,1,0,2,Crowns,False,False
Malistaire's Spirited Vestment (Level 150+),150,1614,27,11,8,10,81,0,0,0,0,15,0,19,0,0,0,0,Crowns,False,False
