Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Unlocked Tear,Unlocked Circle,Unlocked Square,Unlocked Triangle,Locked Tear,Locked Circle,Locked Square,Locked Triangle,Source,Owned,Gear Set
Fabled Dream Reaver Knife,170,1091,25,0,0,16,0,84,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,"Drop, Crafting, Crowns",False,None
Trendy Fairy Kei Blade (Level 170+),170,1091,25,0,0,16,0,0,0,0,0,7,0,0,0,0,0,0,0,1,2,1,0,Crowns,False,None
Xibalba Heavenly Athame (Level 170+),170,1091,25,0,0,16,0,0,0,0,0,7,0,0,0,0,0,0,0,1,2,1,0,Raid,False,None
Mystic Chrysanthemum Knife (Level 170+),170,970,25,0,0,18,0,72,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,"Gold Key, Crowns",False,None
Summer Palace Athame (Level 170+),170,970,25,0,0,18,0,72,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,"Gold Key, Crowns",False,None
Daemonic Dirk of Infamy,170,0,25,0,0,18,0,72,0,0,0,8,0,0,0,0,0,0,0,1,2,0,1,Raid,False,None
Trendy Fairy Kei Blade (Level 160+),160,1076,24,0,0,16,0,0,0,0,0,7,0,0,0,0,0,0,0,1,2,1,0,Crowns,False,None
Dreamscape Aeon Athame,160,1076,23,0,0,16,0,75,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,"Drop, Crafting, Crowns",False,None
Dreamlike Aeon Athame,160,1076,23,0,0,16,0,75,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crafting,False,None
Surreal Aeon Athame,160,1076,23,0,0,16,0,75,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crafting,False,None
Xibalba Heavenly Athame (Level 160+),160,1076,23,0,0,16,0,75,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Raid,False,None
Nullity's Mythic Athame (Level 160+),160,717,23,0,0,18,0,85,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Raid,False,None
Hunhau's Heavenly Athame (Level 170+),170,1091,22,0,0,18,0,84,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Raid,False,None
Epic Archival Dirk (Level 170+),170,970,22,0,0,0,0,119,0,0,0,8,0,0,0,0,0,0,0,1,2,1,0,"Housing Gauntlet, Crowns",False,None
Fabled Dream Warper Knife,170,970,22,0,0,14,0,72,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,Drop,False,None
Umbra Queen's Furious Dirk (Level 170+),170,970,22,0,0,20,0,0,0,0,0,6,0,0,0,0,0,0,0,1,2,0,1,Rematch,False,None
Wastelander's Furious Dirk (Level 170+),170,970,22,0,0,20,0,0,0,0,0,6,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Trendy Fairy Kei Blade (Level 150+),150,965,22,0,0,16,0,0,0,0,0,7,0,0,0,0,0,0,0,1,2,1,0,Crowns,False,None
Legendary Enforcer's Athame,165,963,22,0,0,14,0,68,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,Drop,False,None
Wastelander's Furious Dirk (Level 160+),160,956,22,0,0,20,0,0,0,0,0,6,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Burrower's Conjuration Athame (Level 160+),160,1195,21,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,"Gold Key, Crowns",False,None
Hunhau's Heavenly Athame (Level 160+),160,1076,21,0,0,18,0,75,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Raid,False,None
Demiurge's Ego Athame,150,965,21,0,0,16,0,71,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crafting,False,None
Merciless Myth Athame,150,965,21,0,0,16,0,71,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,"Drop, Crowns",False,None
Dreamscape Masterpiece Athame,160,956,21,0,0,14,0,64,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Drop,False,None
Famed Night Mire Athame,160,956,21,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Housing Gauntlet,False,None
Fabled Skyfarer's Athame (Level 160+),160,956,21,0,0,20,0,64,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Iconic City Dweller Athame,160,956,21,0,0,14,0,64,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,Drop,False,None
Malistaire's Infamous Blade (Level 160+),160,956,21,0,0,20,0,64,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Rematch,False,None
Mythic Night Mire Athame (Level 160+),160,956,21,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,"Housing Gauntlet, Crowns",False,None
Storied Night Mire Athame,160,956,21,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Housing Gauntlet,False,None
Nullity's Mythic Athame (Level 150+),150,644,21,0,0,18,0,81,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Drop,False,None
Fabled Dream Stalker Knife,170,970,20,0,0,18,0,0,0,0,0,9,0,0,0,0,0,0,0,1,1,1,1,Crafting,False,None
Wastelander's Furious Dirk (Level 150+),150,858,20,0,0,19,0,0,0,0,0,6,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Unreal Dirk of Infamy,170,0,20,0,0,20,0,108,0,0,0,7,0,0,0,0,0,0,0,1,1,1,1,Raid,False,None
Eternal Surreal Athame,160,1195,19,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crafting,False,None
Eternal Dreamlike Athame,160,1195,19,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crafting,False,None
Eternal Dreamscape Athame,160,1195,19,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crafting,False,None
Great Inventor's Myth Dirk (Level 160+),160,1195,19,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Burrower's Conjuration Athame (Level 150+),150,1072,19,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Malevolent Myth Athame,150,1060,19,0,0,0,0,121,0,0,0,6,0,0,0,1,0,0,0,0,2,0,0,Drop,False,None
Supreme Ferocious Athame,148,984,19,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,1,"Drop, Bazaar",False,None
Fabled Skyfarer's Athame (Level 150+),150,858,19,0,0,19,0,61,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Gruesome Cerberus Master Dirk (Level 150+),150,858,19,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Mythic Night Mire Athame (Level 150+),150,858,19,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Legendary Protector's Athame,165,843,19,0,0,12,0,57,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,"Drop, Bazaar",False,None
Floramancer Blade of Ages (Level 160+),160,837,19,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Iconic Townie Athame,160,837,19,0,0,12,0,53,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,"Drop, Bazaar",False,None
Nullity's Mysterious Athame,160,837,19,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Raid,False,None
Nullity's Mystic Athame,160,837,19,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Raid,False,None
The Void's Mystic Athame,160,837,19,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Raid,False,None
The Void's Mysterious Athame,160,837,19,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Raid,False,None
The Void's Mythic Athame (Level 160+),160,837,19,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Raid,False,None
Magician's Myth Athame,150,1038,18,0,0,0,0,117,0,0,6,0,0,0,0,1,0,0,0,0,2,0,0,Drop,False,None
Delightful Artisan Knife,140,994,18,0,0,0,0,115,0,0,0,5,0,0,0,1,0,0,0,0,2,0,1,Crafting,False,None
Uber Artisan Knife,140,994,18,0,0,0,0,115,0,0,0,5,0,0,0,1,0,0,0,0,2,0,1,Drop,False,None
Hierarch's Ferocious Athame,145,929,18,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,"Drop, Bazaar",False,None
Glistening Myth Dagger,155,912,18,0,0,14,0,62,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Drop,False,None
Gruesome Cerberus Master Dirk (Level 140+),140,760,18,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Fabled Skyfarer's Athame (Level 140+),140,760,18,0,0,19,0,56,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Mythic Night Mire Athame (Level 140+),140,760,18,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Mystic Chrysanthemum Knife (Level 130+),130,661,18,0,0,18,0,44,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Great Inventor's Myth Dirk (Level 150+),150,1072,17,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Supreme Barbarian Athame,148,984,17,0,0,0,0,109,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,"Drop, Bazaar",False,None
Supreme Undaunting Athame,148,984,17,0,0,0,0,109,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,"Drop, Bazaar",False,None
Wunderbar Artisan Knife,140,964,17,0,0,0,0,113,0,0,0,5,0,0,0,1,0,0,0,0,2,0,0,"Drop, Stone Key",False,None
Lemurian Ferocious Athame,142,874,17,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,"Drop, Bazaar",False,None
Messenger Officer Knife,150,869,17,0,0,13,0,61,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Unavailable,False,None
The Void's Mythic Athame (Level 150+),150,751,17,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Drop,False,None
Executive Pressure Knife,138,616,17,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,1,"Drop, Bazaar",False,None
Morganthe's Bite (Level 99+),99,364,17,0,0,14,0,17,0,0,0,21,0,0,0,0,0,0,0,1,2,0,1,Unavailable,False,None
Great Inventor's Myth Dirk (Level 140+),140,949,16,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Dragoon's Mythic Dagger,130,946,16,0,0,0,0,131,0,0,6,0,0,0,0,1,0,0,0,0,2,0,1,"Crafting, Stone Key",False,Dragoon's Mythic Set
Guten Artisan Knife,140,944,16,0,0,0,0,109,0,0,0,5,0,0,0,1,0,0,0,0,2,0,0,Drop,False,None
Hierarch's Undaunting Athame,145,929,16,0,0,0,0,103,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"Drop, Bazaar",False,None
Hierarch's Barbarian Athame,145,929,16,0,0,0,0,103,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Golden Myth Dagger,155,798,16,0,0,12,0,52,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,"Drop, Bazaar",False,None
Fabled Skyfarer's Athame (Level 130+),130,661,16,0,0,19,0,44,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Wastelander's Furious Dirk (Level 130+),130,661,16,0,0,19,0,0,0,0,0,5,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
