Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Sword Pins,Shield Pins,Power Pins,Source,Owned,Gear Set
Trendy Fairy Kei Shoes (Level 170+),170,854,42,13,5,0,147,137,8,0,0,0,0,16,0,2,0,1,Crowns,False,False
Xibalba Heavenly Boots (Level 170+),170,854,42,13,5,0,147,137,8,0,0,0,0,16,0,2,0,1,Raid,False,False
Fabled Dream Reaver Boots,170,1098,42,10,5,8,147,137,8,0,0,0,0,0,0,2,0,1,Drop/Vendor,False,False
Xibalba Heavenly Boots (Level 160+),160,798,41,12,5,0,135,129,8,0,0,0,0,14,0,2,0,1,Raid,False,False
Dreamscape Aeon Boots,160,1026,41,10,5,8,135,129,8,0,0,0,0,0,0,2,0,1,Drop/Vendor,False,False
Demiurge's Ego Greaves,150,912,40,10,5,7,128,123,8,0,0,0,0,0,0,0,0,0,Crafting,False,False
Merciless Myth Boots,150,912,40,10,5,7,128,123,8,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,False
Cyrus's Scholarly Striders (Level 150+),150,912,40,10,5,7,128,123,8,0,0,0,0,0,0,0,0,0,Crowns,False,False
Epic Page Treaders (Level 170+),170,1220,38,12,6,6,129,156,7,0,0,0,0,0,0,1,1,1,Gold Key/Gauntlet,False,False
Wastelander's Furious Boots (Level 170+),170,732,38,12,6,9,129,0,7,0,0,0,0,16,0,2,0,1,Crowns,False,False
Umbra Queen's Furious Heels (Level 170+),170,732,38,12,6,9,129,0,7,0,0,0,0,16,0,2,0,1,Drop/Vendor,False,False
Hunhau's Heavenly Boots (Level 170+),170,1098,38,10,0,7,129,137,7,0,0,0,0,18,0,2,0,1,Raid,False,False
Fabled Dream Warper Boots,170,976,38,0,4,7,129,117,7,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,False
Legendary Enforcer's Boots,165,944,38,0,4,7,123,114,7,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,False
Burrower's Conjuration Boots (Level 160+),160,912,37,13,0,6,118,147,7,0,0,0,0,14,0,1,1,1,Gold Key/Gauntlet,False,False
Mythic Night Mire Boots (Level 160+),160,1140,37,11,6,6,118,147,7,0,0,0,0,0,0,1,1,1,Gold Key/Gauntlet,False,False
Fabled Skyfarer's Boots (Level 160+),160,684,37,11,6,9,118,0,7,0,0,0,0,14,0,2,0,1,Crowns,False,False
Malistaire's Infamous Boots (Level 160+),160,684,37,11,6,9,118,0,7,0,0,0,0,14,0,2,0,1,Crafting,False,False
Wastelander's Furious Boots (Level 160+),160,684,37,11,6,9,118,0,7,0,0,0,0,14,0,2,0,1,Crowns,False,False
Hunhau's Heavenly Boots (Level 160+),160,1026,37,10,0,7,118,129,7,0,0,0,0,16,0,2,0,1,Raid,False,False
Cyrus's Scholarly Striders (Level 140+),140,796,37,10,4,7,123,118,7,0,0,0,0,0,0,0,0,0,Crowns,False,False
Dreamscape Masterpiece Boots,160,912,37,8,0,0,118,110,6,0,0,0,0,12,0,0,0,0,Drop/Vendor,False,False
Iconic City Dweller Hoppers,160,912,37,0,4,7,118,110,7,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,False
Supreme Ferocious Shoes,148,850,37,0,3,0,139,0,0,0,0,0,0,15,0,0,0,0,Drop/Vendor,False,False
Burrower's Conjuration Boots (Level 150+),150,811,36,13,0,5,112,140,7,0,0,0,0,12,0,1,1,1,Crowns,False,False
Mythic Night Mire Boots (Level 150+),150,1013,36,11,6,5,112,140,7,0,0,0,0,0,0,1,1,1,Crowns,False,False
Gruesome Cerberus Master Boots (Level 150+),150,1013,36,11,6,5,112,140,0,0,0,0,0,0,0,0,0,0,Crowns,False,False
Grandfather Spider's Mythic Boots (Level 150+),150,608,36,11,6,8,112,0,0,0,0,0,0,12,0,0,0,0,Crowns,False,False
Shadoe's Boots of Justice (Level 150+),150,880,36,8,2,6,83,0,0,0,0,0,0,15,0,0,0,0,Crowns,False,False
Forgemaster's Boots (Level 140+),140,724,35,13,0,5,122,0,0,0,0,3,0,14,0,0,0,0,Gift Card,False,False
Malevolent Myth Boots,150,996,35,12,0,8,116,0,0,0,2,0,0,14,0,0,0,0,Drop/Vendor,False,False
Trendy Fairy Kei Shoes (Level 130+),130,529,35,11,4,0,106,116,7,0,0,0,0,10,0,2,0,1,Crowns,False,False
Supreme Barbarian Shoes,148,972,35,10,0,0,123,0,0,0,0,0,0,14,0,0,0,0,Drop/Vendor,False,False
Glistening Myth Boots,155,870,35,6,0,0,115,107,5,0,0,0,0,11,0,0,0,0,Drop/Vendor,False,False
Gold New Year's Wingtips (Level 150+),150,1015,35,0,0,9,0,0,0,0,3,0,0,15,0,0,0,0,Crowns,False,False
Gold New Year's Flats (Level 150+),150,1015,35,0,0,9,0,0,0,0,3,0,0,15,0,0,0,0,Crowns,False,False
Allfather's Boots (Level 140+),140,977,35,0,4,6,122,0,0,0,0,0,0,13,0,0,0,0,Crowns,False,False
