Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Flat Damage,Flat Resist,Starting Pips,Unlocked Tear,Unlocked Circle,Unlocked Square,Unlocked Triangle,Locked Tear,Locked Circle,Locked Square,Locked Triangle,Source,Owned,Gear Set
Barbed Case of Stratagem,93,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Drop,False,None
Epic Archival Array (Level 170+),170,198,0,0,0,0,78,71,0,0,0,0,0,0,55,0,0,1,0,0,0,0,0,0,1,0,"Housing Gauntlet, Crowns",False,None
Xibalba Heavenly Deck (Level 170+),170,179,0,0,0,0,86,62,0,0,0,0,0,0,55,0,0,1,0,0,0,0,0,1,0,0,Raid,False,None
Trendy Fairy Kei Deck (Level 170+),170,179,0,0,0,0,86,62,0,0,0,0,0,0,55,0,0,1,0,0,0,0,0,1,0,0,Crowns,False,None
Hunhau's Heavenly Deck (Level 170+),170,179,0,0,0,0,78,62,0,0,0,0,0,0,62,0,0,1,0,0,0,0,0,1,0,0,Raid,False,None
Unreal Deck of Infamy,170,179,0,0,0,0,0,62,0,0,0,0,133,0,68,0,0,1,0,0,0,0,0,0,0,1,Raid,False,None
Daemonic Deck of Infamy,170,159,0,0,0,0,86,0,0,0,0,0,120,0,62,0,0,1,0,0,0,0,0,1,0,0,Raid,False,None
Fabled Dream Stalker Deck,170,159,0,0,0,0,0,88,0,0,0,0,120,0,62,0,0,1,0,0,0,0,0,0,1,0,Crafting,False,None
Famed Night Mire Deck,160,151,0,0,0,0,64,60,0,0,0,0,0,0,52,0,0,1,0,0,0,0,0,0,1,0,Housing Gauntlet,False,None
Mythic Night Mire Deck (Level 160+),160,151,0,0,0,0,64,60,0,0,0,0,0,0,52,0,0,1,0,0,0,0,0,0,1,0,"Housing Gauntlet, Crowns",False,None
Storied Night Mire Deck,160,151,0,0,0,0,64,60,0,0,0,0,0,0,52,0,0,1,0,0,0,0,0,0,1,0,Housing Gauntlet,False,None
Fabled Dream Reaver Deck,170,139,0,0,0,0,86,80,0,0,0,0,0,0,55,0,0,1,0,0,0,0,0,1,0,0,"Drop, Crafting, Crowns",False,None
Xibalba Heavenly Deck (Level 160+),160,136,0,0,0,0,71,53,0,0,0,0,0,0,52,0,0,1,0,0,0,0,1,0,0,0,Raid,False,None
Hunhau's Heavenly Deck (Level 160+),160,136,0,0,0,0,64,53,0,0,0,0,0,0,58,0,0,1,0,0,0,0,0,0,0,1,Raid,False,None
Floramancer Deck of Ages (Level 160+),160,136,0,0,0,0,0,53,0,0,0,0,123,0,64,0,0,1,0,0,0,0,0,0,0,1,Crowns,False,None
The Void's Mythic Cards (Level 160+),160,136,0,0,0,0,0,53,0,0,0,0,123,0,64,0,0,1,0,0,0,0,0,0,0,1,Raid,False,None
The Void's Mystic Cards,160,136,0,0,0,0,0,53,0,0,0,0,123,0,64,0,0,1,0,0,0,0,0,0,0,1,Raid,False,None
The Void's Mysterious Cards,160,136,0,0,0,0,0,53,0,0,0,0,123,0,64,0,0,1,0,0,0,0,0,0,0,1,Raid,False,None
Mythic Night Mire Deck (Level 150+),150,125,0,0,0,0,61,57,0,0,0,0,0,0,48,0,0,1,0,0,0,0,0,0,1,0,Crowns,False,None
Supreme Ancient One Deck,148,125,0,0,0,0,0,52,0,0,0,0,69,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Nullity's Mysterious Cards,160,121,0,0,0,0,71,0,0,0,0,0,111,0,58,0,0,1,0,0,0,0,1,0,0,0,Raid,False,None
Nullity's Mystic Cards,160,121,0,0,0,0,71,0,0,0,0,0,111,0,58,0,0,1,0,0,0,0,1,0,0,0,Raid,False,None
Nullity's Mythic Cards (Level 160+),160,121,0,0,0,0,71,0,0,0,0,0,111,0,58,0,0,1,0,0,0,0,1,0,0,0,Raid,False,None
Burrower's Conjuration Deck (Level 160+),160,121,0,0,0,0,64,75,0,0,0,0,0,0,52,0,0,1,0,0,0,0,0,0,1,0,"Gold Key, Crowns",False,None
Eternal Dreamscape Deck,160,121,0,0,0,0,0,75,0,0,0,0,111,0,58,0,0,1,0,0,0,0,0,0,1,0,Crafting,False,None
Eternal Dreamlike Deck,160,121,0,0,0,0,0,75,0,0,0,0,111,0,58,0,0,1,0,0,0,0,0,0,1,0,Crafting,False,None
Eternal Surreal Deck,160,121,0,0,0,0,0,75,0,0,0,0,111,0,58,0,0,1,0,0,0,0,0,0,1,0,Crafting,False,None
Great Inventor's Myth Deck (Level 160+),160,121,0,0,0,0,0,75,0,0,0,0,111,0,58,0,0,1,0,0,0,0,0,0,1,0,Crowns,False,None
Supreme Undaunting Deck,148,121,0,0,0,0,0,48,0,0,0,0,92,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Fabled Dream Warper Deck,170,119,0,0,0,0,78,71,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Drop,False,None
Supreme Old Judge Deck,148,119,0,0,0,0,41,0,0,0,0,0,73,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Supreme Founder's Deck,148,119,0,0,0,0,37,46,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Hierarch's Ancient One Deck,145,119,0,0,0,0,0,49,0,0,0,0,63,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Supreme Ferocious Deck,148,115,0,0,0,0,62,0,0,0,0,0,98,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Supreme Barbarian Deck,148,115,0,0,0,0,56,43,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Hierarch's Undaunting Deck,145,115,0,0,0,0,0,46,0,0,0,0,83,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
Producer's Hazmat Box,138,114,0,0,0,0,0,47,0,0,0,0,64,0,0,0,0,1,0,0,0,0,0,0,0,1,"Drop, Bazaar",False,None
