Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Sword Pins,Shield Pins,Power Pins,Source,Owned,Gear Set
Trendy Fairy Kei Conical (Level 170+),170,658,35,15,6,0,191,87,8,0,0,0,0,19,0,2,1,0,Crowns,False,False
Xibalba Heavenly Helm (Level 170+),170,658,35,15,6,0,191,87,8,0,0,0,0,19,0,2,1,0,Raid,False,False
Fabled Dream Reaver Hood,170,846,35,12,6,9,191,87,8,0,0,0,0,0,0,2,1,0,Drop/Vendor,False,False
Trendy Fairy Kei Conical (Level 160+),160,638,34,14,6,0,179,78,7,0,0,0,0,17,0,2,1,0,Crowns,False,False
Xibalba Heavenly Helm (Level 160+),160,638,34,14,6,0,179,78,7,0,0,0,0,17,0,2,1,0,Raid,False,False
Dreamscape Aeon Helm,160,820,34,11,6,9,179,78,7,0,0,0,0,0,0,2,1,0,Drop/Vendor,False,False
Epic Hardback Helmet (Level 170+),170,940,32,13,8,7,167,100,7,0,0,0,0,0,0,2,1,0,Gold Key/Gauntlet,False,False
Umbra Queen's Furious Crown (Level 170+),170,564,32,13,8,11,167,0,7,0,0,0,0,19,0,2,0,1,Drop/Vendor,False,False
Wastelander's Furious Hat (Level 170+),170,564,32,13,8,11,167,0,7,0,0,0,0,19,0,2,0,1,Crowns,False,False
Hunhau's Heavenly Helm (Level 170+),170,846,32,12,0,8,167,87,7,0,0,0,0,21,0,2,1,0,Raid,False,False
Fabled Dream Warper Hood,170,752,32,0,5,8,167,75,7,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,False
Legendary Enforcer's Helmet,165,741,32,0,5,8,162,71,6,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,False
Burrower's Conjuration Hood (Level 160+),160,729,31,15,0,7,157,89,6,0,0,0,0,17,0,2,1,0,Gold Key/Gauntlet,False,False
Mythic Night Mire Top Hat (Level 160+),160,911,31,12,8,7,157,89,6,0,0,0,0,0,0,2,1,0,Gold Key/Gauntlet,False,False
Fabled Skyfarer's Douli Hat (Level 160+),160,547,31,12,8,11,157,0,6,0,0,0,0,17,0,2,0,1,Crowns,False,False
Malistaire's Infamous Locks (Level 160+),160,547,31,12,8,11,157,0,6,0,0,0,0,17,0,2,0,1,Crafting,False,False
Wastelander's Furious Hat (Level 160+),160,547,31,12,8,11,157,0,6,0,0,0,0,17,0,2,0,1,Crowns,False,False
Hunhau's Heavenly Helm (Level 160+),160,820,31,11,0,8,157,78,6,0,0,0,0,19,0,2,1,0,Raid,False,False
Demiurge's Ego Helm,150,753,31,11,6,9,170,75,7,0,0,0,0,0,0,0,0,0,Crafting,False,False
Merciless Myth Cap,150,753,31,11,6,9,170,75,7,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,False
Cyrus's Secret Skullcap (Level 150+),150,753,31,11,6,9,170,75,7,0,0,0,0,0,0,0,0,0,Crowns,False,False
Dreamscape Masterpiece Helm,160,729,31,9,0,0,156,67,6,0,0,0,0,15,0,0,0,0,Drop/Vendor,False,False
Iconic City Dweller Kanga-Cap,160,729,31,0,5,8,157,67,6,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,False
Supreme Ferocious Hat,148,638,31,0,0,9,194,0,0,0,0,0,0,19,0,0,0,0,Drop/Vendor,False,False
Shadoe's Hat of the Night (Level 150+),150,880,30,0,0,0,99,0,0,9,0,0,0,19,0,0,0,0,Crowns,False,False
Gold New Year's Top Hat (Level 150+),150,761,30,0,0,14,0,0,0,0,3,0,0,19,0,0,0,0,Crowns,False,False
Gold New Year's Top Cloche (Level 150+),150,761,30,0,0,14,0,0,0,0,3,0,0,19,0,0,0,0,Crowns,False,False
Shadoe's Hat of Justice (Level 150+),150,660,30,0,0,0,132,0,3,0,0,0,0,19,0,0,0,0,Crowns,False,False
Trendy Fairy Kei Conical (Level 140+),140,533,29,14,6,0,165,74,7,0,0,0,0,14,0,2,1,0,Crowns,False,False
Cyrus's Secret Skullcap (Level 140+),140,685,29,11,6,9,165,74,7,0,0,0,0,0,0,0,0,0,Crowns,False,False
Glistening Myth Helmet,155,696,29,8,0,0,152,65,5,0,0,0,0,14,0,0,0,0,Drop/Vendor,False,False
Glorious Chivalric Crown (Level 140+),140,810,29,0,8,0,90,0,3,0,0,0,0,12,0,0,0,0,Crowns,False,False
Astromancer's Cowl (Level 140+),140,795,29,0,0,15,138,0,0,0,0,0,0,18,0,0,0,0,Crowns,False,False
Malevolent Myth Cap,150,747,29,0,5,13,139,0,5,0,0,0,0,18,0,0,0,0,Drop/Vendor,False,False
Allfather's Helm (Level 140+),140,732,29,0,0,9,148,0,0,5,0,0,0,17,0,0,0,0,Crowns,False,False
Magician's Myth Cap,150,729,29,0,5,12,139,0,5,0,0,0,0,17,0,0,0,0,Drop/Vendor,False,False
Supreme Barbarian Hat,148,729,29,0,7,11,0,0,0,0,0,0,0,18,0,0,0,0,Drop/Vendor,False,False
Prairie Rambler's Hat (Level 140+),140,650,29,0,7,14,211,0,0,0,0,0,0,18,0,0,0,0,Crowns,False,False
Hierarch's Ferocious Hat,145,592,29,0,0,9,184,0,0,0,0,0,0,18,0,0,0,0,Drop/Vendor,False,False
Fabled Dream Stalker Hood,170,752,28,16,9,8,0,100,6,0,0,0,0,17,0,2,1,0,Crafting,False,False
Eternal Dreamscape Helm,160,729,28,15,9,8,134,89,0,0,0,0,0,15,0,2,1,0,Crafting,False,False
Great Inventor's Myth Hat (Level 160+),160,729,28,15,9,8,134,89,0,0,0,0,0,15,0,2,1,0,Crowns,False,False
Burrower's Conjuration Hood (Level 150+),150,669,28,15,0,7,149,85,6,0,0,0,0,16,0,2,1,0,Crowns,False,False
Unreal Crown of Infamy,170,658,28,15,9,9,0,87,6,0,0,0,0,19,0,2,0,1,Raid,False,False
Floramancer Helm of Ages (Level 160+),160,638,28,14,9,9,0,78,5,0,0,0,0,17,0,2,0,1,Crowns,False,False
Mythic Conical of The Void (Level 160+),160,638,28,14,9,9,0,78,5,0,0,0,0,17,0,2,0,1,Raid,False,False
Epic Hardback Helmet (Level 150+),150,836,28,12,8,7,149,85,6,0,0,0,0,0,0,2,1,0,Crowns,False,False
Mythic Night Mire Top Hat (Level 150+),150,836,28,12,8,6,149,85,6,0,0,0,0,0,0,2,1,0,Crowns,False,False
Gruesome Cerberus Master Helm (Level 150+),150,836,28,12,8,7,149,85,0,0,0,0,0,0,0,0,0,0,Crowns,False,False
Wastelander's Furious Hat (Level 150+),150,502,28,12,8,11,149,0,6,0,0,0,0,16,0,2,0,1,Crowns,False,False
Grandfather Spider's Mythic Cowl (Level 150+),150,502,28,12,8,11,149,0,0,0,0,0,0,16,0,0,0,0,Crowns,False,False
Daemonic Crown of Infamy,170,752,28,10,7,10,191,0,9,0,0,0,0,17,0,2,0,1,Raid,False,False
Mythic Conical of The Nullity (Level 160+),160,729,28,9,7,10,179,0,8,0,0,0,0,15,0,2,0,1,Raid,False,False
Outback Adventurer's Hat (Level 160+),160,666,28,9,0,8,126,84,4,0,0,0,0,17,0,0,0,0,Gift Card,False,False
Supreme Undaunting Hat,148,820,28,0,0,13,0,0,0,0,3,0,0,17,0,0,0,0,Drop/Vendor,False,False
Veggilante Helmet,135,767,28,0,0,13,146,0,0,0,0,0,0,17,0,0,0,0,Crowns,False,False
Summer Palace Helmet (Level 170+),170,752,28,0,7,8,191,75,9,0,0,0,0,21,0,2,0,1,Gold Key/Gauntlet,False,False
Mystic Chrysanthemum Cowl (Level 170+),170,752,28,0,7,8,191,75,9,0,0,0,0,21,0,2,0,1,Gold Key/Gauntlet,False,False
