Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Unlocked Tear,Unlocked Circle,Unlocked Square,Unlocked Triangle,Locked Tear,Locked Circle,Locked Square,Locked Triangle,Source,Owned,Gear Set
Fabled Dream Reaver Ring,170,498,20,0,0,19,105,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Drop, Crafting, Crowns",False,None
Daemonic Ring of Infamy,170,0,20,0,0,21,105,0,0,0,0,10,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
Hunhau's Heavenly Ring (Level 170+),170,498,18,0,0,21,92,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
Dreamscape Aeon Ring,160,471,18,0,0,19,93,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,"Drop, Crafting, Crowns",False,None
Dreamlike Aeon Ring,160,471,18,0,0,19,93,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crafting,False,None
Surreal Aeon Ring,160,471,18,0,0,19,93,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crafting,False,None
Fabled Dream Warper Ring,170,443,18,0,0,17,92,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop,False,None
Wastelander's Furious Loop (Level 170+),170,443,18,0,0,23,92,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Crowns,False,None
Umbra Queen's Furious Loop (Level 170+),170,443,18,0,0,23,92,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Rematch,False,None
Nullity's Mythic Ring (Level 160+),160,419,18,0,0,21,93,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
Nullity's Mystic Ring,160,419,18,0,0,21,93,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
Burrower's Conjuration Ring (Level 160+),160,523,17,0,0,19,82,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Gold Key, Crowns",False,None
Hunhau's Heavenly Ring (Level 160+),160,471,17,0,0,21,82,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
Legendary Enforcer's Ring,165,431,17,0,0,17,87,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop,False,None
Fabled Skyfarer's Band (Level 160+),160,419,17,0,0,23,82,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crowns,False,None
Malistaire's Infamous Band (Level 160+),160,419,17,0,0,23,82,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Rematch,False,None
Iconic City Dweller Ring,160,419,17,0,0,17,82,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop,False,None
Wastelander's Furious Loop (Level 160+),160,419,17,0,0,23,82,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Crowns,False,None
Executive Pressure Ring,138,171,17,0,0,0,83,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Drop, Bazaar",False,None
Xibalba Heavenly Ring (Level 170+),170,498,16,0,0,19,53,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
Trendy Fairy Kei Band (Level 170+),170,498,16,0,0,19,53,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crowns,False,None
Demiurge's Ego Ring,150,461,16,0,0,19,89,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crafting,False,None
Merciless Myth Ring,150,461,16,0,0,19,89,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Drop, Crowns",False,None
Mystic Chrysanthemum Band (Level 170+),170,443,16,0,0,21,53,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Gold Key, Crowns",False,None
Summer Palace Ring (Level 170+),170,443,16,0,0,21,53,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Gold Key, Crowns",False,None
Dreamscape Masterpiece Ring,160,418,16,0,0,15,81,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop,False,None
Nullity's Mythic Ring (Level 150+),150,410,16,0,0,21,89,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop,False,None
Director Pressure Ring,138,171,16,0,0,0,88,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"Drop, Bazaar",False,None
Chief's Pressure Ring,135,162,16,0,0,0,75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Drop, Bazaar",False,None
Burrower's Conjuration Ring (Level 150+),150,512,15,0,0,19,78,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crowns,False,None
Xibalba Heavenly Ring (Level 160+),160,471,15,0,0,19,116,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Raid,False,None
Trendy Fairy Kei Band (Level 160+),160,471,15,0,0,19,47,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crowns,False,None
Fabled Skyfarer's Band (Level 150+),150,410,15,0,0,23,78,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Crowns,False,None
Wastelander's Furious Loop (Level 150+),150,410,15,0,0,23,78,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Crowns,False,None
Glistening Myth Ring,155,399,15,0,0,15,79,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Drop,False,None
Legendary Protector's Ring,165,377,15,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"Drop, Bazaar",False,None
