Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Sword Pins,Shield Pins,Power Pins,Source,Owned,Gear Set
Daemonic Armor of Infamy,170,1068,32,16,10,8,125,0,9,0,0,0,0,19,0,2,0,1,Raid,False,False
Mythic Robe of The Nullity (Level 160+),160,1062,32,15,10,8,113,0,8,0,0,0,0,18,0,2,0,1,Raid,False,False
Lightkeeper's Dive Suit (Level 160+),160,988,30,11,8,8,89,0,4,0,0,0,0,15,0,0,0,0,Gift Card,False,False
Epic Plot Armor (Level 170+),170,1424,29,19,7,9,110,128,8,0,0,0,0,0,0,2,0,1,Gold Key/Gauntlet,False,False
Mythic Night Mire Coat (Level 160+),160,1416,29,18,7,9,99,117,7,0,0,0,0,0,0,2,0,1,Gold Key/Gauntlet,False,False
Hunhau's Heavenly Mail (Level 170+),170,1246,29,18,0,10,110,112,8,0,0,0,0,19,0,1,0,2,Raid,False,False
Mythic Robe of The Nullity (Level 150+),150,943,29,14,9,8,0,0,8,0,0,0,0,14,0,0,0,0,Raid,False,False
Hunhau's Heavenly Mail (Level 160+),160,1593,29,13,0,8,99,103,7,0,0,0,0,23,0,1,0,2,Raid,False,False
Wastelander's Furious Armor (Level 170+),170,1424,29,12,11,9,110,0,8,0,0,0,0,22,0,1,0,2,Crowns,False,False
Umbra Queen's Furious Garment (Level 170+),170,1424,29,12,11,9,110,0,8,0,0,0,0,22,0,1,0,2,Drop/Vendor,False,False
Fabled Skyfarer's Garb (Level 160+),160,1416,29,11,11,9,99,0,7,0,0,0,0,20,0,1,0,2,Crowns,False,False
Malistaire's Infamous Vestment (Level 160+),160,1416,29,11,11,9,99,0,7,0,0,0,0,20,0,1,0,2,Drop/Vendor,False,False
Wastelander's Furious Armor (Level 160+),160,1416,29,11,11,9,99,0,7,0,0,0,0,20,0,1,0,2,Crowns,False,False
Epic Plot Armor (Level 150+),150,1257,27,17,6,9,94,112,7,0,0,0,0,0,0,2,0,1,Crowns,False,False
Mythic Night Mire Coat (Level 150+),150,1257,27,17,6,9,94,112,7,0,0,0,0,0,0,2,0,1,Crowns,False,False
Gruesome Cerberus Master Armor (Level 150+),150,1257,27,17,6,9,94,112,0,0,0,0,0,0,0,0,0,0,Crowns,False,False
Fabled Skyfarer's Garb (Level 150+),150,1257,27,11,10,9,94,0,7,0,0,0,0,19,0,1,0,2,Crowns,False,False
Wastelander's Furious Armor (Level 150+),150,1257,27,11,10,9,94,0,7,0,0,0,0,19,0,1,0,2,Crowns,False,False
Grandfather Spider's Mythic Raiment (Level 150+),150,1257,27,11,10,9,94,0,0,0,0,0,0,19,0,0,0,0,Crowns,False,False
Lightkeeper's Dive Suit (Level 150+),150,875,27,11,8,8,85,0,4,0,0,0,0,14,0,0,0,0,Gift Card,False,False
Fabled Dream Reaver Armor,170,1246,26,18,9,7,125,112,11,0,0,0,0,0,0,2,0,1,Drop/Vendor,False,False
Dreamscape Aeon Cape,160,1239,26,17,9,7,113,103,10,0,0,0,0,0,0,2,0,1,Drop/Vendor,False,False
Fabled Dream Stalker Armor,170,1780,26,16,8,10,0,128,7,0,0,0,0,19,0,1,0,2,Crafting,False,False
Epic Plot Armor (Level 140+),140,1100,26,16,6,8,91,108,7,0,0,0,0,0,0,2,0,1,Crowns,False,False
Mythic Night Mire Coat (Level 140+),140,1100,26,16,6,8,91,108,0,0,0,0,0,0,0,0,0,0,Crowns,False,False
Eternal Dreamscape Cape,160,1769,26,15,8,10,85,117,0,0,0,0,0,18,0,1,0,2,Crafting,False,False
Great Inventor's Myth Coat (Level 160+),160,1769,26,15,8,10,85,117,0,0,0,0,0,18,0,1,0,2,Crowns,False,False
Trendy Fairy Kei Suit (Level 170+),170,1602,26,14,9,0,125,112,11,0,0,0,0,17,0,2,0,1,Crowns,False,False
Xibalba Heavenly Mail (Level 170+),170,1602,26,14,9,0,125,112,11,0,0,0,0,17,0,2,0,1,Raid,False,False
Unreal Armor of Infamy,170,1602,26,14,9,11,0,112,7,0,0,0,0,22,0,1,0,2,Raid,False,False
Xibalba Heavenly Mail (Level 160+),160,1593,26,13,7,0,113,88,10,0,0,0,0,20,0,2,0,1,Raid,False,False
Floramancer Armor of Ages (Level 160+),160,1593,26,13,9,11,0,103,6,0,0,0,0,20,0,1,0,2,Crowns,False,False
Mythic Robe of The Void (Level 160+),160,1593,26,13,9,11,0,103,6,0,0,0,0,20,0,1,0,2,Raid,False,False
Wastelander's Furious Armor (Level 140+),140,1100,26,10,10,8,91,0,7,0,0,0,0,17,0,0,0,0,Crowns,False,False
Fabled Skyfarer's Garb (Level 140+),140,1100,26,10,10,8,91,0,0,0,0,0,0,17,0,0,0,0,Crowns,False,False
Grandfather Spider's Mythic Raiment (Level 140+),140,1100,26,10,10,8,91,0,0,0,0,0,0,17,0,0,0,0,Crowns,False,False
Lightkeeper's Dive Suit (Level 140+),140,762,26,10,8,7,83,0,4,0,0,0,0,13,0,0,0,0,Gift Card,False,False
Mystic Chrysanthemum Coat (Level 170+),170,1424,26,0,10,8,125,96,11,0,0,0,0,19,0,2,0,1,Gold Key/Gauntlet,False,False
Summer Palace Plate (Level 170+),170,1424,26,0,10,8,125,96,11,0,0,0,0,19,0,2,0,1,Gold Key/Gauntlet,False,False
Summer Palace Plate (Level 160+),160,1416,26,0,10,8,113,88,10,0,0,0,0,18,0,2,0,1,Crowns,False,False
Royal Fusilier's Dress Coat (Level 130+),130,690,26,0,5,10,55,0,6,0,0,0,0,0,0,0,0,0,Crowns,False,False
Royal Fusilier's Dress Coat (Level 120+),120,615,26,0,5,9,52,0,6,0,0,0,0,0,0,0,0,0,Crowns,False,False
Royal Fusilier's Dress Coat (Level 100+),100,465,26,0,4,8,45,0,6,0,0,0,0,0,0,0,0,0,Crowns,False,False
Epic Plot Armor (Level 130+),130,944,25,16,6,8,82,102,6,0,0,0,0,0,0,2,0,1,Crowns,False,False
Mythic Night Mire Coat (Level 130+),130,944,25,16,6,8,82,102,0,0,0,0,0,0,0,0,0,0,Crowns,False,False
Grandfather Spider's Mythic Raiment (Level 130+),130,944,25,10,10,8,82,0,0,0,0,0,0,16,0,0,0,0,Crowns,False,False
Lightkeeper's Dive Suit (Level 130+),130,648,25,9,8,7,68,0,4,0,0,0,0,12,0,0,0,0,Gift Card,False,False
Royal Fusilier's Dress Coat (Level 90+),90,445,25,0,4,8,40,0,5,0,0,0,0,0,0,0,0,0,Crowns,False,False
Demiurge's Ego Armor,150,1100,24,16,8,7,108,98,10,0,0,0,0,0,0,0,0,0,Crafting,False,False
Merciless Myth Cloak,150,1100,24,16,8,7,108,98,10,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,False
Great Inventor's Myth Coat (Level 150+),150,1571,24,14,7,10,81,112,0,0,0,0,0,17,0,1,0,2,Crowns,False,False
Highlands Soldier's Kit (Level 150+),150,1571,24,14,7,10,81,112,0,0,0,0,0,14,0,0,0,0,Gold Key/Gauntlet,False,False
Mythic Robe of The Void (Level 150+),150,1414,24,12,8,11,0,98,6,0,0,0,0,19,0,0,0,0,Raid,False,False
Winter Solstice Vesture (Level 100+),100,671,24,12,0,8,64,0,0,0,0,0,0,0,0,0,0,0,Crowns,False,False
Wastelander's Furious Armor (Level 120+),120,786,24,9,10,8,79,0,5,0,0,0,0,15,0,0,0,0,Crowns,False,False
Grandfather Spider's Mythic Raiment (Level 120+),120,786,24,9,10,8,79,0,0,0,0,0,0,15,0,0,0,0,Crowns,False,False
Lightkeeper's Dive Suit (Level 120+),120,535,24,9,7,7,64,0,3,0,0,0,0,11,0,0,0,0,Gift Card,False,False
Paladin Robe of Brilliance,95,625,24,0,0,8,84,28,5,0,5,0,0,0,0,0,0,0,Crowns,False,False
Royal Fusilier's Dress Coat (Level 80+),80,425,24,0,4,8,35,0,4,0,0,0,0,0,0,0,0,0,Crowns,False,False
Fabled Dream Warper Armor,170,0,23,16,8,6,110,96,10,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,False
Burrower's Conjuration Robe (Level 160+),160,1769,23,15,0,7,99,117,9,0,0,0,0,20,0,2,0,1,Gold Key/Gauntlet,False,False
Drake's Reflection Robe (Level 140+),140,963,23,15,8,6,104,95,9,0,0,0,0,17,0,0,0,0,Crowns,False,False
Quixotic Light Brigade Armor,125,818,23,15,11,8,100,0,0,0,0,0,0,16,0,0,0,0,Drop/Vendor,False,False
Epic Plot Armor (Level 110+),110,629,23,15,6,8,79,88,5,0,0,0,0,0,0,2,0,1,Crowns,False,False
Legendary Enforcer's Uniform,165,0,23,15,8,6,104,92,10,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,False
Iconic City Dweller Vest,160,0,23,15,8,6,99,88,9,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,False
Trendy Fairy Kei Suit (Level 140+),140,1238,23,12,8,0,104,95,9,0,0,0,0,13,0,2,0,1,Crowns,False,False
Sacred Yarn Kasaya (Level 150+),150,1197,23,12,7,0,74,105,0,0,0,0,0,14,0,0,0,0,Gift Card,False,False
Wastelander's Furious Armor (Level 110+),110,629,23,9,10,8,79,0,5,0,0,0,0,13,0,0,0,0,Crowns,False,False
Fabled Skyfarer's Garb (Level 110+),110,629,23,9,10,8,79,0,0,0,0,0,0,13,0,0,0,0,Crowns,False,False
