Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Starting Pips,Unlocked Tear,Unlocked Circle,Unlocked Square,Unlocked Triangle,Locked Tear,Locked Circle,Locked Square,Locked Triangle,Source,Owned,Gear Set
Trendy Fairy Kei Umbrella (Level 170+),170,0,28,0,3,0,152,83,10,0,0,0,0,19,0,2,0,0,0,0,1,0,0,0,Crowns,False,None
Xibalba Heavenly Sword (Level 170+),170,0,28,0,3,0,152,83,10,0,0,0,0,19,0,2,0,0,0,0,1,0,0,0,Raid,False,None
Fabled Dream Reaver Boomerang,170,0,28,0,3,0,76,83,10,0,0,0,243,0,0,2,0,0,0,0,1,0,0,0,"Drop, Crafting, Crowns",False,None
Dreamscape Aeon Sword,160,0,26,0,0,0,140,72,8,0,0,0,225,0,0,2,0,0,0,0,0,0,1,0,"Drop, Crafting, Crowns",False,None
Dreamlike Aeon Sword,160,0,26,0,0,0,140,72,8,0,0,0,225,0,0,2,0,0,0,0,0,0,1,0,Crafting,False,None
Xibalba Heavenly Sword (Level 160+),160,0,26,0,0,0,140,72,8,0,0,0,0,17,0,2,0,0,0,0,0,0,1,0,Raid,False,None
Surreal Aeon Sword,160,0,26,0,0,0,0,72,8,0,0,0,225,0,0,2,0,0,0,0,0,0,1,0,Crafting,False,None
Demiurge's Ego Sunderer,150,0,26,0,0,0,133,68,7,0,0,0,208,0,0,2,0,0,0,0,0,0,1,0,Crafting,False,None
Merciless Myth Wand,150,0,26,0,0,0,133,68,7,0,0,0,208,0,0,2,0,0,0,0,0,0,1,0,"Drop, Crowns",False,None
Headmaster's Dream Staff (Level 150+),150,0,26,0,0,0,133,68,7,0,0,0,208,0,0,2,0,0,0,0,0,0,1,0,Crowns,False,None
Fabled Dream Warper Boomerang,170,0,25,0,2,0,133,74,9,0,0,0,213,0,0,2,0,0,0,0,0,0,0,0,Drop,False,None
Hunhau's Heavenly Sword (Level 170+),170,0,25,0,0,0,133,83,9,0,0,0,213,21,0,2,0,0,0,0,1,0,0,0,Raid,False,None
Epic Archival Quill (Level 170+),170,0,25,0,4,0,57,92,9,0,0,0,182,0,0,2,0,0,0,0,0,0,1,0,"Housing Gauntlet, Crowns",False,None
Legendary Enforcer's Gavel,165,0,25,0,2,0,128,69,8,0,0,0,205,0,0,2,0,0,0,0,0,0,0,0,Drop,False,None
Headmaster's Dream Staff (Level 140+),140,0,25,0,0,0,131,66,6,0,0,0,192,0,0,2,0,0,0,0,0,0,1,0,Crowns,False,None
Wastelander's Furious Crusher (Level 170+),170,0,25,0,4,0,133,74,0,0,0,0,182,19,0,2,0,0,0,0,0,0,0,1,Crowns,False,None
