Name,Level,School,Max Health,Global Damage,Fire Damage,Ice Damage,Storm Damage,Myth Damage,Life Damage,Death Damage,Balance Damage,Shadow Damage,Global Flat Damage,Fire Flat Damage,Ice Flat Damage,Storm Flat Damage,Myth Flat Damage,Life Flat Damage,Death Flat Damage,Balance Flat Damage,Shadow Flat Damage,Global Resistance,Fire Resistance,Ice Resistance,Storm Resistance,Myth Resistance,Life Resistance,Death Resistance,Balance Resistance,Shadow Resistance,Global Flat Resistance,Fire Flat Resistance,Ice Flat Resistance,Storm Flat Resistance,Myth Flat Resistance,Life Flat Resistance,Death Flat Resistance,Balance Flat Resistance,Shadow Flat Resistance,Global Accuracy,Fire Accuracy,Ice Accuracy,Storm Accuracy,Myth Accuracy,Life Accuracy,Death Accuracy,Balance Accuracy,Shadow Accuracy,Global Critical Rating,Fire Critical Rating,Ice Critical Rating,Storm Critical Rating,Myth Critical Rating,Life Critical Rating,Death Critical Rating,Balance Critical Rating,Shadow Critical Rating,Global Critical Block Rating,Fire Critical Block Rating,Ice Critical Block Rating,Storm Critical Block Rating,Myth Critical Block Rating,Life Critical Block Rating,Death Critical Block Rating,Balance Critical Block Rating,Shadow Critical Block Rating,Global Armor Piercing,Fire Armor Piercing,Ice Armor Piercing,Storm Armor Piercing,Myth Armor Piercing,Life Armor Piercing,Death Armor Piercing,Balance Armor Piercing,Shadow Armor Piercing,Stun Resistance,Incoming Healing,Outgoing Healing,Global Pip Conversion Rating,Fire Pip Conversion Rating,Ice Pip Conversion Rating,Storm Pip Conversion Rating,Myth Pip Conversion Rating,Life Pip Conversion Rating,Death Pip Conversion Rating,Balance Pip Conversion Rating,Shadow Pip Conversion Rating,Power Pip Chance,Shadow Pip Rating,Archmastery Rating,Enchant Damage,Sword Pins,Shield Pins,Power Pins,Source,Gear Set,Usable In,Pins Used
Astute Page Treaders (Level 170+),170,Balance,1413,0,0,18,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,13,24,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,119,0,172,172,172,172,172,172,172,172,172,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,1,1,"Housing Gauntlet, Crowns",No Gear Set,Everything,(SwdPun)(ShdRes)(PwrAcc)
Balanced August Sage Shoes (Level 170+),170,Balance,1131,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,136,0,129,129,129,129,129,129,129,129,129,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,0,0,2,0,1,"Gold Key, Crowns",No Gear Set,Everything,(No Pins)
Cute Fairy Kei Slippers (Level 170+),170,Balance,990,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,136,0,150,150,150,150,150,150,150,150,150,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,1,Crowns,No Gear Set,Everything,(No Pins)
Deft Dream Reaver Boots,170,Balance,1272,0,0,39,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,136,0,150,150,150,150,150,150,150,150,150,0,0,8,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,1,"Drop, Crafting, Crowns",No Gear Set,Everything,(SwdPun)(SwdPun)(PwrAcc)
Deft Dream Stalker Boots,170,Balance,1131,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,16,26,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,172,172,172,172,172,172,172,172,172,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,0,0,1,1,1,Crafting,No Gear Set,Everything,(ShdRes)(PwrAcc)
Dragoon's Balanced Boots,130,Balance,1075,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,12,0,0,0,0,0,Crafting,Dragoon's Balanced Set,Everything,(No Pins)
Eternal Abstract Boots,160,Balance,983,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,26,15,15,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,93,0,160,160,160,160,160,160,160,160,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0,0,1,1,1,Crafting,No Gear Set,Everything,(ShdRes)(PwrAcc)
Malevolent Balance Boots,150,Balance,1018,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,14,0,0,0,0,0,Drop,No Gear Set,Everything,(No Pins)
Stable Skyfarer's Boots (Level 160+),160,Balance,737,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,0,0,2,0,1,Crowns,No Gear Set,Everything,(PwrAcc)
Uber Dreamsearcher Boots,140,Balance,960,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,14,0,0,0,0,0,Drop,No Gear Set,Everything,(No Pins)
Baleful Page Treaders (Level 170+),170,Death,1280,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,12,12,12,23,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,117,0,0,182,182,182,182,182,182,182,182,182,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,1,1,"Housing Gauntlet, Crowns",No Gear Set,Everything,(ShdRes)(PwrAcc)
