Name,Level,School,Max Health,Global Damage,Fire Damage,Ice Damage,Storm Damage,Myth Damage,Life Damage,Death Damage,Balance Damage,Shadow Damage,Global Flat Damage,Fire Flat Damage,Ice Flat Damage,Storm Flat Damage,Myth Flat Damage,Life Flat Damage,Death Flat Damage,Balance Flat Damage,Shadow Flat Damage,Global Resistance,Fire Resistance,Ice Resistance,Storm Resistance,Myth Resistance,Life Resistance,Death Resistance,Balance Resistance,Shadow Resistance,Global Flat Resistance,Fire Flat Resistance,Ice Flat Resistance,Storm Flat Resistance,Myth Flat Resistance,Life Flat Resistance,Death Flat Resistance,Balance Flat Resistance,Shadow Flat Resistance,Global Accuracy,Fire Accuracy,Ice Accuracy,Storm Accuracy,Myth Accuracy,Life Accuracy,Death Accuracy,Balance Accuracy,Shadow Accuracy,Global Critical Rating,Fire Critical Rating,Ice Critical Rating,Storm Critical Rating,Myth Critical Rating,Life Critical Rating,Death Critical Rating,Balance Critical Rating,Shadow Critical Rating,Global Critical Block Rating,Fire Critical Block Rating,Ice Critical Block Rating,Storm Critical Block Rating,Myth Critical Block Rating,Life Critical Block Rating,Death Critical Block Rating,Balance Critical Block Rating,Shadow Critical Block Rating,Global Armor Piercing,Fire Armor Piercing,Ice Armor Piercing,Storm Armor Piercing,Myth Armor Piercing,Life Armor Piercing,Death Armor Piercing,Balance Armor Piercing,Shadow Armor Piercing,Stun Resistance,Incoming Healing,Outgoing Healing,Global Pip Conversion Rating,Fire Pip Conversion Rating,Ice Pip Conversion Rating,Storm Pip Conversion Rating,Myth Pip Conversion Rating,Life Pip Conversion Rating,Death Pip Conversion Rating,Balance Pip Conversion Rating,Shadow Pip Conversion Rating,Power Pip Chance,Shadow Pip Rating,Archmastery Rating,Enchant Damage,Sword Pins,Shield Pins,Power Pins,Source,Gear Set,Usable In,Pins Used
Astute Hardback Helmet (Level 170+),170,Balance,1092,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,161,0,109,109,109,109,109,109,109,109,109,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,1,0,"Housing Gauntlet, Crowns",No Gear Set,Everything,(No Pins)
Balanced August Sage Cap (Level 170+),170,Balance,874,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,184,0,82,82,82,82,82,82,82,82,82,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,10,21,0,0,2,0,1,"Gold Key, Crowns",No Gear Set,Everything,(No Pins)
Burrower's Sorcery Hood (Level 160+),160,Balance,812,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,15,15,15,15,26,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,97,97,97,97,97,97,97,97,97,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,0,0,2,1,0,"Gold Key, Crowns",No Gear Set,Everything,(ShdRes)
Deft Dream Reaver Hood,170,Balance,983,0,0,39,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,12,12,12,23,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,201,0,0,0,0,184,0,96,96,96,96,96,96,96,96,96,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2,1,0,"Drop, Crafting, Crowns",No Gear Set,Everything,(SwdDis)(SwdDis)(ShdRes)
Deft Dream Stalker Hood,170,Balance,874,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,16,16,16,16,16,25,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,109,109,109,109,109,109,109,109,109,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,0,0,2,1,0,Crafting,No Gear Set,Everything,(ShdRes)
Delightful Dreamsearcher Cap,140,Balance,720,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,0,315,0,0,0,Crafting,No Gear Set,Everything,(No Pins)
Dragoon's Balanced Helm,130,Balance,806,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,Crafting,Dragoon's Balanced Set,Everything,(No Pins)
Dworgyn's Havoc Hood (Level 150+),150,Balance,782,0,0,18,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,155,0,0,83,83,83,83,83,83,83,83,83,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,Crowns,No Gear Set,Everything,(No Pins)
Eternal Abstract Helm,160,Balance,812,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,15,15,15,15,26,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,128,0,97,97,97,97,97,97,97,97,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,0,0,2,1,0,Crafting,No Gear Set,Everything,(ShdRes)
Floramancer Helm of Cycles (Level 170+),170,Balance,983,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,96,96,96,96,96,96,96,96,96,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,10,21,0,0,2,1,0,Crowns,No Gear Set,Everything,(No Pins)
