Name,Level,School,Max Health,Global Damage,Fire Damage,Ice Damage,Storm Damage,Myth Damage,Life Damage,Death Damage,Balance Damage,Shadow Damage,Global Flat Damage,Fire Flat Damage,Ice Flat Damage,Storm Flat Damage,Myth Flat Damage,Life Flat Damage,Death Flat Damage,Balance Flat Damage,Shadow Flat Damage,Global Resistance,Fire Resistance,Ice Resistance,Storm Resistance,Myth Resistance,Life Resistance,Death Resistance,Balance Resistance,Shadow Resistance,Global Flat Resistance,Fire Flat Resistance,Ice Flat Resistance,Storm Flat Resistance,Myth Flat Resistance,Life Flat Resistance,Death Flat Resistance,Balance Flat Resistance,Shadow Flat Resistance,Global Accuracy,Fire Accuracy,Ice Accuracy,Storm Accuracy,Myth Accuracy,Life Accuracy,Death Accuracy,Balance Accuracy,Shadow Accuracy,Global Critical Rating,Fire Critical Rating,Ice Critical Rating,Storm Critical Rating,Myth Critical Rating,Life Critical Rating,Death Critical Rating,Balance Critical Rating,Shadow Critical Rating,Global Critical Block Rating,Fire Critical Block Rating,Ice Critical Block Rating,Storm Critical Block Rating,Myth Critical Block Rating,Life Critical Block Rating,Death Critical Block Rating,Balance Critical Block Rating,Shadow Critical Block Rating,Global Armor Piercing,Fire Armor Piercing,Ice Armor Piercing,Storm Armor Piercing,Myth Armor Piercing,Life Armor Piercing,Death Armor Piercing,Balance Armor Piercing,Shadow Armor Piercing,Stun Resistance,Incoming Healing,Outgoing Healing,Global Pip Conversion Rating,Fire Pip Conversion Rating,Ice Pip Conversion Rating,Storm Pip Conversion Rating,Myth Pip Conversion Rating,Life Pip Conversion Rating,Death Pip Conversion Rating,Balance Pip Conversion Rating,Shadow Pip Conversion Rating,Power Pip Chance,Shadow Pip Rating,Archmastery Rating,Enchant Damage,Unlocked Tear,Unlocked Circle,Unlocked Square,Unlocked Triangle,Locked Tear,Locked Circle,Locked Square,Locked Triangle,Source,Gear Set,Usable In,Unlocked,Jewels Used
Astute Archival Band (Level 170+),170,Balance,623,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,65,65,65,65,65,117,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,"Housing Gauntlet, Crowns",No Gear Set,Everything,False,(No Jewels)
Balanced August Sage Band (Level 170+),170,Balance,499,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,78,78,78,78,78,78,130,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,1,1,1,0,"Gold Key, Crowns",No Gear Set,Everything,False,(No Jewels)
Balanced August Sage Band (Level 170+),170,Balance,499,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,78,78,78,78,78,78,130,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,1,1,1,0,"Gold Key, Crowns",No Gear Set,Everything,False,(No Jewels)
Band of Harmony,25,Balance,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,"Drop, Wooden Key",No Gear Set,Everything,True,(TerHlt)
Deft Dream Reaver Ring,170,Balance,561,11,11,11,11,11,11,11,18,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,1,1,1,0,"Drop, Crafting, Crowns",No Gear Set,Everything,False,(No Jewels)
Deft Dream Reaver Ring,170,Balance,1383,11,11,11,11,11,11,11,18,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,1,1,1,0,"Drop, Crafting, Crowns",No Gear Set,Everything,True,(TerHlt)(CirPrc)(SqrHlt)
Eternal Abstract Ring,160,Balance,575,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,1,1,1,0,Crafting,No Gear Set,Everything,False,(No Jewels)
Eternal Abstract Ring,160,Balance,575,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,1,1,1,0,Crafting,No Gear Set,Everything,False,(No Jewels)
Floramancer Ring of Cycles (Level 170+),170,Balance,561,9,9,9,9,9,9,9,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,1,1,1,0,Crowns,No Gear Set,Everything,False,(No Jewels)
Merciless Balance Ring,150,Balance,651,0,0,10,0,0,0,0,15,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,1,1,1,0,"Drop, Crowns",No Gear Set,Everything,True,(TerHlt)(CirDmg)(SqrRes)
