Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Flat Damage,Flat Resist,Unlocked Tear,Unlocked Circle,Unlocked Square,Unlocked Triangle,Locked Tear,Locked Circle,Locked Square,Locked Triangle,Source,Owned,Gear Set
Condemned Soldier's Charm,60,115,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Wooden Key,False,None
Memento of Ammit's Revolt,60,95,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Drop,False,None
Fraught Archival Ampul (Level 170+),170,539,0,7,0,0,0,59,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,1,1,"Housing Gauntlet, Crowns",False,None
Unreal Ampul of Surging,170,472,0,7,0,0,0,52,244,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Raid,False,None
Electric Fairy Kei Necklace (Level 170+),170,472,0,7,0,0,0,52,0,0,0,0,196,0,0,0,0,0,0,0,0,0,1,0,1,Crowns,False,None
Hunhau's Crying Sky Amulet (Level 170+),170,472,0,7,0,0,0,52,0,0,0,0,220,0,0,0,0,0,0,0,0,0,1,0,1,Raid,False,None
Xibalba Crying Sky Amulet (Level 170+),170,472,0,7,0,0,0,52,0,0,0,0,196,0,0,0,0,0,0,0,0,0,1,0,1,Raid,False,None
Fierce Dream Stalker Amulet,170,673,0,6,0,0,0,59,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,1,1,Crafting,False,None
Malevolent Storm Talisman,150,569,0,6,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Drop,False,None
Fraught Archival Ampul (Level 160+),160,523,0,6,0,0,0,55,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,1,1,Crowns,False,None
Stormy Night Mire Amulet (Level 160+),160,523,0,6,0,0,0,55,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,2,0,"Housing Gauntlet, Crowns",False,None
Gloomy Cerberus Master Ampul (Level 150+),150,476,0,6,0,0,0,52,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,2,0,Crowns,False,None
Stormy Night Mire Amulet (Level 150+),150,476,0,6,0,0,0,52,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,2,0,Crowns,False,None
Floramancer Amulet of Thorns (Level 160+),160,458,0,6,0,0,0,48,0,0,0,0,225,0,0,0,0,0,0,0,0,1,0,1,0,Crowns,False,None
Hunhau's Crying Sky Amulet (Level 160+),160,458,0,6,0,0,0,48,0,0,0,0,203,0,0,0,0,0,0,0,0,1,0,1,0,Raid,False,None
The Void's Shocking Totem,160,458,0,6,0,0,0,48,0,0,0,0,225,0,0,0,0,0,0,0,0,1,0,1,0,Raid,False,None
The Void's Lightning Totem,160,458,0,6,0,0,0,48,0,0,0,0,225,0,0,0,0,0,0,0,0,1,0,1,0,Raid,False,None
The Void's Stormy Totem (Level 160+),160,458,0,6,0,0,0,48,0,0,0,0,225,0,0,0,0,0,0,0,0,1,0,1,0,Raid,False,None
Xibalba Crying Sky Amulet (Level 160+),160,458,0,6,0,0,0,48,0,0,0,0,180,0,0,0,0,0,0,0,0,1,0,1,0,Raid,False,None
Fraught Archival Ampul (Level 140+),140,432,0,6,0,0,0,45,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,1,1,Crowns,False,None
Gloomy Cerberus Master Ampul (Level 140+),140,432,0,6,0,0,0,45,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,2,0,Crowns,False,None
Floramancer Amulet of Thorns (Level 150+),150,417,0,6,0,0,0,46,0,0,0,0,208,0,0,0,0,0,0,0,0,1,0,1,0,Crowns,False,None
The Void's Stormy Totem (Level 150+),150,417,0,6,0,0,0,46,0,0,0,0,208,0,0,0,0,0,0,0,0,1,0,1,0,Drop,False,None
Fraught Archival Ampul (Level 130+),130,387,0,6,0,0,0,32,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,1,1,Crowns,False,None
Stormy Night Mire Amulet (Level 130+),130,387,0,6,0,0,0,32,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,2,0,Crowns,False,None
Electric Fairy Kei Necklace (Level 140+),140,378,0,6,0,0,0,40,0,0,0,0,156,0,0,0,0,0,0,0,0,0,1,0,1,Crowns,False,None
Floramancer Amulet of Thorns (Level 140+),140,378,0,6,0,0,0,40,0,0,0,0,193,0,0,0,0,0,0,0,0,1,0,1,0,Crowns,False,None
Electric Fairy Kei Necklace (Level 130+),130,339,0,6,0,0,0,28,0,0,0,0,130,0,0,0,0,0,0,0,0,0,1,0,1,Crowns,False,None
Floramancer Amulet of Thorns (Level 130+),130,339,0,6,0,0,0,28,0,0,0,0,162,0,0,0,0,0,0,1,0,1,0,0,0,Crowns,False,None
Gloomy Cerberus Master Ampul (Level 130+),130,314,0,6,0,0,0,31,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,2,0,Crowns,False,None
Eternal Fractal Charm,160,653,0,5,0,0,0,55,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,2,0,Crafting,False,None
Eternal Fractured Charm,160,653,0,5,0,0,0,55,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,2,0,Crafting,False,None
Eternal Fragmented Charm,160,653,0,5,0,0,0,55,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,2,0,Crafting,False,None
Great Inventor's Storm Ampul (Level 160+),160,653,0,5,0,0,0,55,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,2,0,Crowns,False,None
Great Inventor's Storm Ampul (Level 150+),150,595,0,5,0,0,0,52,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,2,0,Crowns,False,None
Uber Candymancer Rope,140,568,0,5,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,Drop,False,None
Magician's Storm Talisman,150,557,0,5,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Drop,False,None
Wunderbar Candymancer Rope,140,551,0,5,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Drop,False,None
Great Inventor's Storm Ampul (Level 140+),140,539,0,5,0,0,0,45,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,2,0,Crowns,False,None
Shocking August Sage Ampul (Level 170+),170,539,0,5,0,0,0,44,0,0,0,0,220,0,0,0,0,0,0,0,0,0,1,0,1,"Gold Key, Crowns",False,None
Squall King's Charm (Level 170+),170,539,0,5,0,0,0,44,0,0,0,0,220,0,0,0,0,0,0,0,0,0,1,0,1,"Gold Key, Crowns",False,None
Umbra Queen's Shocked Totem (Level 170+),170,539,0,5,0,0,0,44,0,0,0,0,244,0,0,0,0,0,0,0,0,1,0,0,1,Rematch,False,None
Wastelander's Shocked Totem (Level 170+),170,539,0,5,0,0,0,44,0,0,0,0,244,0,0,0,0,0,0,0,0,1,0,0,1,Crowns,False,None
Delightful Sciencer Rope,140,533,0,5,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Crafting,False,None
Uber Sciencer Rope,140,533,0,5,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Drop,False,None
Burrower's Divination Amulet (Level 160+),160,523,0,5,0,0,0,68,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,2,0,"Gold Key, Crowns",False,None
Wunderbar Sciencer Rope,140,517,0,5,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Drop,False,None
Great Inventor's Storm Ampul (Level 130+),130,483,0,5,0,0,0,32,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,2,0,Crowns,False,None
Fierce Dream Reaver Amulet,170,472,0,5,0,0,0,66,0,0,0,0,196,0,0,0,0,0,0,0,0,0,1,0,1,"Drop, Crafting, Crowns",False,None
Fractal Aeon Charm,160,458,0,5,0,0,0,62,0,0,0,0,180,0,0,0,0,0,0,0,0,1,0,1,0,"Drop, Crafting, Crowns",False,None
Demiurge's Temper Talisman,150,417,0,5,0,0,0,59,0,0,0,0,167,0,0,0,0,0,0,0,0,1,0,1,0,Crafting,False,None
Merciless Storm Talisman,150,417,0,5,0,0,0,59,0,0,0,0,167,0,0,0,0,0,0,0,0,1,0,1,0,Drop,False,None
Daemonic Ampul of Surging,170,404,0,5,0,0,0,59,0,0,0,0,220,0,0,0,0,0,0,0,0,0,1,0,1,Raid,False,None
Burrower's Divination Amulet (Level 130+),130,387,0,5,0,0,0,39,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,2,0,Crowns,False,None
Fraught Archival Ampul (Level 120+),120,342,0,5,0,0,0,22,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,1,1,Crowns,False,None
Electric Fairy Kei Necklace (Level 120+),120,299,0,5,0,0,0,19,0,0,0,0,124,0,0,0,0,0,0,0,0,0,1,0,1,Crowns,False,None
Floramancer Amulet of Thorns (Level 120+),120,299,0,5,0,0,0,19,0,0,0,0,155,0,0,0,0,0,0,0,0,1,0,1,0,Crowns,False,None
Fraught Archival Ampul (Level 110+),110,297,0,5,0,0,0,21,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,1,1,Crowns,False,None
Stormy Night Mire Amulet (Level 110+),110,297,0,5,0,0,0,21,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,2,0,Crowns,False,None
Floramancer Amulet of Thorns (Level 110+),110,260,0,5,0,0,0,19,0,0,0,0,142,0,0,0,0,0,0,0,0,1,0,1,0,Crowns,False,None
Chillvenom's Maelstrom Charm,110,259,0,5,0,0,0,76,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,Unavailable,False,None
Arcanum Exile Relic of Gales,110,245,0,5,0,0,0,74,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Drop,False,None
Gloomy Cerberus Master Ampul (Level 120+),120,210,0,5,0,0,0,22,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,2,0,Crowns,False,None
Fierce Dream Warper Amulet,170,0,0,5,0,0,0,59,0,0,0,0,171,0,0,0,0,0,0,0,0,0,1,0,1,Drop,False,None
