Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Unlocked Tear,Unlocked Circle,Unlocked Square,Unlocked Triangle,Locked Tear,Locked Circle,Locked Square,Locked Triangle,Source,Owned,Gear Set
Electric Fairy Kei Knife (Level 170+),170,1026,27,0,0,17,0,0,0,0,0,7,0,0,0,0,0,0,0,1,2,1,0,Crowns,False,None
Fierce Dream Reaver Knife,170,1026,27,0,0,17,0,75,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,"Drop, Crafting, Crowns",False,None
Xibalba Crying Sky Athame (Level 170+),170,1026,27,0,0,17,0,0,0,0,0,7,0,0,0,0,0,0,0,1,2,1,0,Raid,False,None
Squall King's Athame (Level 170+),170,912,27,0,0,19,0,65,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,"Gold Key, Crowns",False,None
Shocking August Sage Knife (Level 170+),170,912,27,0,0,19,0,65,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,"Gold Key, Crowns",False,None
Daemonic Dirk of Surging,170,0,27,0,0,19,0,65,0,0,0,8,0,0,0,0,0,0,0,1,2,0,1,Raid,False,None
Electric Fairy Kei Knife (Level 160+),160,1017,25,0,0,17,0,0,0,0,0,7,0,0,0,0,0,0,0,1,2,1,0,Crowns,False,None
Hunhau's Crying Sky Athame (Level 170+),170,1026,24,0,0,19,0,75,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Raid,False,None
Fractured Aeon Athame,160,1017,24,0,0,17,0,72,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crafting,False,None
Fractal Aeon Athame,160,1017,24,0,0,17,0,72,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,"Drop, Crafting, Crowns",False,None
Fragmented Aeon Athame,160,1017,24,0,0,17,0,72,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Crafting,False,None
Xibalba Crying Sky Athame (Level 160+),160,1017,24,0,0,17,0,72,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Raid,False,None
Fierce Dream Warper Knife,170,912,24,0,0,15,0,65,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,Drop,False,None
Fraught Archival Dirk (Level 170+),170,912,24,0,0,0,0,107,0,0,0,8,0,0,0,0,0,0,0,1,2,1,0,"Housing Gauntlet, Crowns",False,None
Wastelander's Shocked Dirk (Level 170+),170,912,24,0,0,21,0,0,0,0,0,6,0,0,0,0,0,0,0,1,2,0,1,Crowns,False,None
Umbra Queen's Shocked Dirk (Level 170+),170,912,24,0,0,21,0,0,0,0,0,6,0,0,0,0,0,0,0,1,2,0,1,Rematch,False,None
Nullity's Stormy Athame (Level 160+),160,678,24,0,0,19,0,82,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,Raid,False,None
