Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Flat Damage,Flat Resist,Sword Pins,Shield Pins,Power Pins,Source,Owned,Gear Set
Electric Fairy Kei Slippers (Level 170+),170,805,43,10,5,0,164,124,7,0,0,0,0,16,0,0,0,2,0,1,Crowns,False,None
Xibalba Crying Sky Boots (Level 170+),170,805,43,10,5,0,164,124,7,0,0,0,0,16,0,0,0,2,0,1,Raid,False,None
Fierce Dream Reaver Boots,170,1035,43,8,5,8,164,124,7,0,0,0,0,0,0,0,0,2,0,1,"Drop, Crafting, Crowns",False,None
Electric Fairy Kei Slippers (Level 160+),160,780,42,10,5,0,144,120,7,0,0,0,0,14,0,0,0,2,0,1,Crowns,False,None
Xibalba Crying Sky Boots (Level 160+),160,780,42,10,5,0,144,120,7,0,0,0,0,14,0,0,0,2,0,1,Raid,False,None
Fractal Aeon Boots,160,1002,42,8,5,8,144,120,7,0,0,0,0,0,0,0,0,2,0,1,"Drop, Crafting, Crowns",False,None
Fraught Page Treaders (Level 170+),170,1149,39,9,6,6,144,141,6,0,0,0,0,0,0,0,0,1,1,1,"Housing Gauntlet, Crowns",False,None
Umbra Queen's Shocked Heels (Level 170+),170,690,39,9,6,9,144,0,6,0,0,0,0,16,0,0,0,2,0,1,Rematch,False,None
Wastelander's Shocked Boots (Level 170+),170,690,39,9,6,9,144,0,6,0,0,0,0,16,0,0,0,2,0,1,Crowns,False,None
Hunhau's Crying Sky Boots (Level 170+),170,1035,39,8,0,7,144,124,6,0,0,0,0,18,0,0,0,2,0,1,Raid,False,None
Fractal Masterpiece Boots,160,890,39,7,0,0,125,103,6,0,0,0,0,12,0,0,0,0,0,0,Drop,False,None
Glistening Storm Boots,155,850,39,5,0,0,122,100,5,0,0,0,0,11,0,0,0,0,0,0,Drop,False,None
Fierce Dream Warper Boots,170,920,39,0,4,7,144,106,6,0,0,0,0,0,0,0,0,0,0,0,Drop,False,None
Thunderous Enforcer's Boots,165,905,39,0,4,7,135,105,6,0,0,0,0,0,0,0,0,0,0,0,Drop,False,None
Wild Skyfarer's Boots (Level 160+),160,668,38,14,6,9,126,0,6,0,0,0,0,14,0,0,0,2,0,1,Crowns,False,None
Burrower's Divination Boots (Level 160+),160,891,38,11,0,6,126,137,6,0,0,0,0,14,0,0,0,1,1,1,"Gold Key, Crowns",False,None
Fraught Page Treaders (Level 160+),160,1113,38,9,6,6,126,137,6,0,0,0,0,0,0,0,0,1,1,1,Crowns,False,None
Stormy Night Mire Boots (Level 160+),160,1113,38,9,6,6,126,137,6,0,0,0,0,0,0,0,0,1,1,1,"Housing Gauntlet, Crowns",False,None
Malistaire's Squall Boots (Level 160+),160,668,38,9,6,9,126,0,6,0,0,0,0,14,0,0,0,2,0,1,Rematch,False,None
Wastelander's Shocked Boots (Level 160+),160,668,38,9,6,9,126,0,6,0,0,0,0,14,0,0,0,2,0,1,Crowns,False,None
Hunhau's Crying Sky Boots (Level 160+),160,1002,38,8,0,7,126,120,6,0,0,0,0,16,0,0,0,2,0,1,Raid,False,None
Striking City Dweller Hoppers,160,891,38,0,4,7,126,103,6,0,0,0,0,0,0,0,0,0,0,0,Drop,False,None
Supreme Electric Shoes,148,821,38,0,3,0,149,0,0,0,0,0,0,15,0,0,0,0,0,0,"Drop, Bazaar",False,None
Electric Fairy Kei Slippers (Level 150+),150,689,37,9,5,0,136,115,6,0,0,0,0,12,0,0,0,2,0,1,Crowns,False,None
Demiurge's Temper Greaves,150,885,37,7,5,7,136,115,6,0,0,0,0,0,0,0,0,0,0,0,Crafting,False,None
Merciless Storm Boots,150,885,37,7,5,7,136,115,6,0,0,0,0,0,0,0,0,0,0,0,"Drop, Crowns",False,None
Halston's Stormy Slippers (Level 150+),150,885,37,7,5,7,136,115,6,0,0,0,0,0,0,0,0,0,0,0,Crowns,False,None
Artillery Officer Footwear,150,810,37,5,0,0,119,98,5,0,0,0,0,11,0,0,0,0,0,0,Drop,False,None
Gold New Year's Flats (Level 150+),150,1015,37,0,0,9,165,0,0,0,3,0,0,15,0,0,0,0,0,0,Crowns,False,None
Gold New Year's Wingtips (Level 150+),150,1015,37,0,0,9,165,0,0,0,3,0,0,15,0,0,0,0,0,0,Crowns,False,None
Winter Slippers (Level 150+),150,920,37,0,0,9,149,0,0,5,0,0,0,15,0,0,0,0,0,0,Crowns,False,None
Malevolent Storm Boots,150,962,36,11,0,8,124,0,0,0,2,0,0,14,0,0,0,0,0,0,Drop,False,None
Magician's Storm Boots,150,938,36,11,0,8,124,0,0,0,2,0,0,13,0,0,0,0,0,0,Drop,False,None
Supreme Science Shoes,148,938,36,9,0,0,132,0,0,0,0,0,0,14,0,0,0,0,0,0,"Drop, Bazaar",False,None
Shadoe's Boots of Justice (Level 150+),150,880,36,8,2,6,83,0,0,0,0,0,0,15,0,0,0,0,0,0,Crowns,False,None
Odin's Boots (Level 140+),140,938,36,0,4,6,123,0,0,0,0,0,0,13,0,0,0,0,0,0,"Gold Key, Crowns",False,None
Hierarch's Electric Shoes,145,762,36,0,3,0,140,0,0,0,0,0,0,14,0,0,0,0,0,0,"Drop, Bazaar",False,None
Forgemaster's Boots (Level 140+),140,724,35,13,0,5,122,0,0,0,0,3,0,14,0,0,0,0,0,0,Gift Card,False,None
Fierce Dream Stalker Boots,170,920,35,11,7,7,0,141,5,0,0,0,0,14,0,0,0,1,1,1,Crafting,False,None
Unreal Wraps of Surging,170,805,35,10,7,8,0,124,5,0,0,0,0,16,0,0,0,1,1,1,Raid,False,None
