Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Sword Pins,Shield Pins,Power Pins,Source,Owned,Gear Set
Daemonic Armor of Surging,170,1000,35,11,11,8,142,0,8,0,0,0,0,19,0,2,0,1,Raid,False,False
Stormy Robe of The Nullity (Level 160+),160,988,34,11,11,8,120,0,7,0,0,0,0,18,0,2,0,1,Raid,False,False
Stormy Robe of The Nullity (Level 150+),150,875,33,11,11,8,115,0,7,0,0,0,0,14,0,0,0,0,Raid,False,False
Fraught Plot Armor (Level 170+),170,1333,32,13,8,9,124,115,7,0,0,0,0,0,0,2,0,1,Gold Key/Gauntlet,False,False
Hunhau's Crying Sky Mail (Level 170+),170,1167,32,12,0,10,124,101,7,0,0,0,0,19,0,1,0,2,Raid,False,False
Umbra Queen's Shocked Garment (Level 170+),170,1333,32,8,12,9,124,0,7,0,0,0,0,22,0,1,0,2,Drop/Vendor,False,False
Wastelander's Shocked Armor (Level 170+),170,1333,32,8,12,9,124,0,7,0,0,0,0,22,0,1,0,2,Crowns,False,False
Fraught Plot Armor (Level 160+),160,1317,31,13,8,9,105,111,6,0,0,0,0,0,0,2,0,1,Crowns,False,False
Stormy Night Mire Coat (Level 160+),160,1317,31,13,8,9,105,111,6,0,0,0,0,0,0,2,0,1,Gold Key/Gauntlet,False,False
Hunhau's Crying Sky Mail (Level 160+),160,1482,31,10,0,8,105,97,6,0,0,0,0,23,0,1,0,2,Raid,False,False
Malistaire's Squall Vestment (Level 160+),160,1317,31,8,12,9,105,0,6,0,0,0,0,20,0,1,0,2,Drop/Vendor,False,False
Wastelander's Shocked Armor (Level 160+),160,1317,31,8,12,9,105,0,6,0,0,0,0,20,0,1,0,2,Crowns,False,False
Wild Skyfarer's Garb (Level 160+),160,1317,31,8,12,9,105,0,6,0,0,0,0,20,0,1,0,2,Crowns,False,False
Fraught Plot Armor (Level 150+),150,1167,30,13,8,9,101,105,6,0,0,0,0,0,0,2,0,1,Crowns,False,False
Stormy Night Mire Coat (Level 150+),150,1167,30,13,8,9,101,105,6,0,0,0,0,0,0,2,0,1,Crowns,False,False
Gloomy Cerberus Master Armor (Level 150+),150,1167,30,13,8,9,101,105,0,0,0,0,0,0,0,0,0,0,Crowns,False,False
Wastelander's Shocked Armor (Level 150+),150,1167,30,8,12,9,101,0,6,0,0,0,0,19,0,1,0,2,Crowns,False,False
Wild Skyfarer's Garb (Level 150+),150,1167,30,8,12,9,101,0,6,0,0,0,0,19,0,1,0,2,Crowns,False,False
Morganthe's Stormy Trappings (Level 150+),150,1167,30,8,12,9,101,0,0,0,0,0,0,19,0,0,0,0,Crowns,False,False
Fraught Plot Armor (Level 140+),140,1016,29,12,8,9,98,102,5,0,0,0,0,0,0,2,0,1,Crowns,False,False
Gloomy Cerberus Master Armor (Level 140+),140,1016,29,12,8,9,98,102,0,0,0,0,0,0,0,0,0,0,Crowns,False,False
Stormy Night Mire Coat (Level 140+),140,1016,29,12,8,9,98,102,0,0,0,0,0,0,0,0,0,0,Crowns,False,False
Wastelander's Shocked Armor (Level 140+),140,1016,29,8,12,9,98,0,5,0,0,0,0,17,0,0,0,0,Crowns,False,False
Wild Skyfarer's Garb (Level 140+),140,1016,29,8,12,9,98,0,0,0,0,10,0,17,0,0,0,0,Crowns,False,False
Fierce Dream Reaver Armor,170,1167,28,12,10,7,142,101,9,0,0,0,0,0,0,2,0,1,Drop/Vendor,False,False
Fractal Aeon Cape,160,1153,28,12,10,7,120,97,8,0,0,0,0,0,0,2,0,1,Drop/Vendor,False,False
Fierce Dream Stalker Armor,170,1666,28,11,9,10,0,115,6,0,0,0,0,19,0,1,0,2,Crafting,False,False
